Game Date,Away Team,Away Lineup,Home Team,Home Lineup,Away Score,Home Score
20190323,두산,"허경민, 정수빈, 박건우, 김재환, 오재일, 페르난데스, 오재원, 박세혁, 김재호, 린드블럼",한화,"정근우, 송광민, 호잉, 김태균, 이성열, 하주석, 김민하, 최재훈, 정은원, 서폴드",4 , 5
20190323,SK,"노수광, 한동민, 최정, 로맥, 이재원, 정의윤, 김강민, 최항, 김성현, 김광현",KT,"황재균, 박경수, 강백호, 로하스, 유한준, 윤석민, 오태곤, 장성우, 배정대, 쿠에바스",4 , 7
20190323,KIA,"김선빈, 해즐베이커, 안치홍, 최형우, 김주찬, 이명기, 나지완, 한승택, 최원준, 양현종",LG,"이형종, 오지환, 김현수, 조셉, 채은성, 박용택, 양종민, 유강남, 정주현, 윌슨",2 , 0
20190323,롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 한동희, 아수아헤, 안중열, 신본기, 레일리",키움,"서건창, 김하성, 박병호, 샌즈, 장영석, 임병욱, 허정협, 김혜성, 주효상, 브리검",7 , 4
20190323,NC,"이상호, 노진혁, 박석민, 베탄코트, 양의지, 모창민, 권희동, 지석훈, 김성욱, 버틀러",삼성,"박해민, 구자욱, 이원석, 러프, 김동엽, 김헌곤, 강민호, 이학주, 김상수, 맥과이어",0 , 7
20190324,두산,"허경민, 정수빈, 박건우, 김재환, 오재일, 페르난데스, 오재원, 박세혁, 김재호, 이용찬",한화,"정근우, 장진혁, 송광민, 호잉, 김태균, 이성열, 최재훈, 하주석, 정은원, 채드벨",11 , 1
20190324,SK,"김강민, 한동민, 최정, 로맥, 이재원, 정의윤, 강승호, 김성현, 노수광, 산체스",KT,"황재균, 박경수, 강백호, 로하스, 유한준, 윤석민, 오태곤, 장성우, 김민혁, 금민철",3 , 6
20190324,KIA,"김선빈, 해즐베이커, 안치홍, 최형우, 김주찬, 이명기, 나지완, 한승택, 최원준, 터너",LG,"이형종, 오지환, 김현수, 조셉, 채은성, 박용택, 양종민, 유강남, 정주현, 켈리",9 , 3
20190324,롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 한동희, 아수아헤, 나종덕, 신본기, 김원중",키움,"이정후, 김하성, 박병호, 샌즈, 서건창, 장영석, 임병욱, 이지영, 김혜성, 요키시",2 , 6
20190324,NC,"이상호, 노진혁, 박석민, 베탄코트, 양의지, 모창민, 권희동, 지석훈, 김성욱, 루친스키",삼성,"박해민, 구자욱, 이원석, 러프, 김동엽, 김헌곤, 강민호, 이학주, 김상수, 백정현",4 , 3
20190326,두산,"허경민, 페르난데스, 박건우, 김재환, 오재일, 오재원, 김재호, 박세혁, 정수빈, 후랭코프",키움,"이정후, 김하성, 박병호, 샌즈, 서건창, 송성문, 임병욱, 주효상, 김규민, 최원태",2 , 7
20190326,SK,"노수광, 한동민, 최정, 로맥, 이재원, 김강민, 정의윤, 최항, 김성현, 다익손",LG,"이형종, 오지환, 김현수, 조셉, 채은성, 박용택, 양종민, 유강남, 정주현, 임찬규",6 , 3
20190326,KIA,"김선빈, 해즐베이커, 안치홍, 최형우, 김주찬, 이명기, 나지완, 김민식, 최원준, 임기영",한화,"정근우, 양성우, 송광민, 호잉, 김태균, 이성열, 정은원, 하주석, 최재훈, 김재영",13 , 7
20190326,롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 한동희, 아수아헤, 김준태, 신본기, 톰슨",삼성,"박해민, 김헌곤, 구자욱, 러프, 김동엽, 강민호, 이학주, 최영진, 손주인, 헤일리",2 , 7
20190326,NC,"이상호, 권희동, 박석민, 베탄코트, 양의지, 모창민, 노진혁, 지석훈, 김성욱, 이재학",KT,"김민혁, 유한준, 강백호, 로하스, 박경수, 윤석민, 황재균, 장성우, 오태곤, 이대은",8 , 9
20190327,두산,"허경민, 페르난데스, 박건우, 김재환, 오재일, 오재원, 김재호, 박세혁, 김대한, 유희관",키움,"이정후, 김하성, 박병호, 샌즈, 서건창, 장영석, 송성문, 이지영, 임병욱, 이승호",2 , 3
20190327,SK,"노수광, 한동민, 최정, 로맥, 이재원, 김강민, 정의윤, 최항, 강승호, 박종훈",LG,"이형종, 오지환, 김현수, 조셉, 채은성, 박용택, 양종민, 유강남, 정주현, 배재준",1 , 2
20190327,KIA,"김선빈, 해즐베이커, 안치홍, 최형우, 김주찬, 이명기, 나지완, 김민식, 최원준, 윌랜드",한화,"양성우, 송광민, 호잉, 김태균, 이성열, 하주석, 정은원, 최재훈, 장진혁, 김성훈",4 , 9
20190327,롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 전병우, 아수아헤, 나종덕, 신본기, 장시환",삼성,"박해민, 김상수, 구자욱, 러프, 김헌곤, 김동엽, 강민호, 이학주, 최영진, 최충연",23 , 4
20190327,NC,"이상호, 노진혁, 권희동, 양의지, 모창민, 이원재, 강진성, 지석훈, 김성욱, 김영규",KT,"황재균, 유한준, 강백호, 로하스, 박경수, 장성우, 윤석민, 송민섭, 고명성, 김민",1 , 4
20190328,두산,"허경민, 페르난데스, 박건우, 김재환, 오재일, 오재원, 김재호, 박세혁, 정수빈, 이영하",키움,"이정후, 서건창, 박병호, 샌즈, 김하성, 송성문, 허정협, 임병욱, 이지영, 안우진",5 , 4
20190328,SK,"김강민, 한동민, 최정, 로맥, 이재원, 정의윤, 강승호, 최항, 노수광, 문승원",LG,"이형종, 오지환, 김현수, 조셉, 채은성, 박용택, 양종민, 정상호, 정주현, 차우찬",1 , 3
20190328,KIA,"김선빈, 나지완, 안치홍, 최형우, 김주찬, 이명기, 해즐베이커, 김민식, 최원준, 김기훈",한화,"정근우, 김민하, 송광민, 호잉, 김태균, 이성열, 최재훈, 하주석, 정은원, 박주홍",4 , 6
20190328,롯데,"민병헌, 손아섭, 전준우, 이대호, 오윤석, 한동희, 아수아헤, 안중열, 신본기, 윤성빈",삼성,"김상수, 박한이, 구자욱, 러프, 김헌곤, 강민호, 김동엽, 이학주, 최영진, 최채흥",12 , 7
