Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김윤동,1,1,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,9,5.04,1.02,0.484
 윌슨,9,9,9,3,8,1,2,0,13,2,0,0,0,0,0,0,0,0.889,0.889,1.444,2.333,30,0.86,4.55,0.393
 하준영,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.82,1.59,0.363
 후랭코프,14,14,14,6,6,0,0,0,6,3,0,0,0,3,0,0,0,0.429,0.429,0.429,0.858,42,1.06,2.92,0.315
 터너,8,8,8,2,5,1,0,0,6,3,0,0,0,0,1,0,0,0.625,0.625,0.750,1.375,15,1.01,1.89,0.263
 버틀러,3,2,2,1,2,0,0,0,2,1,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,6,1.81,1.71,0.155
 손동현,5,5,5,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,17,1.56,0.95,0.154
 최지광,2,2,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,10,1.83,0.52,0.139
 조상우,3,3,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,1.47,1.01,0.127
 이재학,8,8,8,2,3,3,0,0,6,1,0,0,0,1,0,0,0,0.375,0.375,0.750,1.125,26,0.70,1.82,0.123
 이태양,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,1.57,0.74,0.122
 헤일리,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.97,1.30,0.121
 윌랜드,5,5,5,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0.400,0.400,0.400,0.800,19,1.31,1.57,0.120
 린드블럼,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,0.98,0.66,0.120
 다익손,5,5,5,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,24,0.73,1.17,0.118
