Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 원종현,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,1.80,0.42,0.118
 윌슨,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.35,1.41,0.094
 켈리,3,3,2,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,9,1.77,0.55,0.094
 이보근,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,3.12,0.71,0.091
 김상수,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,5,2.30,0.24,0.048
 송은범,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.76,0.28,0.027
 신재웅,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.60,0.10,0.003
 박종훈,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,12,0.82,0.08,0.001
 송승준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.02,0.44,0.001
 정성곤,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.02,-0.10,0.000
 오석주,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.08,-0.16,-0.002
 이우찬,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.13,-0.26,-0.003
 서진용,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.53,-0.10,-0.014
 정우람,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.95,-0.33,-0.024
 강이준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.99,-0.26,-0.025
 김종수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,1.19,-0.33,-0.029
 하준영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.19,-0.16,-0.030
 김민수,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,0.74,-0.59,-0.036
 전상현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.51,-0.26,-0.039
 윌랜드,3,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,0.69,-0.97,-0.040
 김민우,2,2,2,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0.500,0.500,1.000,1.500,8,0.93,-0.29,-0.040
 소사,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.84,-0.44,-0.046
 이준영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.61,-0.80,-0.048
 배제성,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,10,1.25,-0.59,-0.062
 조상우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,2.63,-0.16,-0.065
 채드벨,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.000,0.000,0.000,0.000,2,1.85,-2.51,-0.195
 산체스,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,1.90,-1.99,-0.211
 하재훈,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,7.61,-0.80,-0.225
