Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 함덕주,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,2.32,1.00,0.338
 배재환,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,3.26,0.84,0.238
 문동욱,4,4,4,3,4,1,0,0,5,1,0,0,0,0,0,0,0,1.000,1.000,1.250,2.250,16,0.95,3.08,0.221
 이민우,5,5,3,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0.667,0.800,0.667,1.467,24,0.85,2.26,0.186
 고영창,5,5,4,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,21,0.97,1.98,0.184
 장민재,9,9,8,3,5,2,0,0,7,2,0,0,0,1,0,0,1,0.625,0.556,0.875,1.431,27,0.86,1.90,0.181
 문경찬,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,23,1.88,0.54,0.165
 김기훈,5,5,5,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0.400,0.400,0.600,1.000,20,1.26,0.90,0.161
 이현호,6,6,4,0,3,1,0,0,4,1,2,0,0,0,0,0,0,0.750,0.833,1.000,1.833,22,0.42,2.04,0.135
 양현종,15,15,14,3,7,0,0,0,7,1,1,0,0,1,0,0,0,0.500,0.533,0.500,1.033,53,0.94,2.05,0.133
 차명진,3,3,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,0.91,1.57,0.115
 소사,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,10,0.66,1.04,0.106
 김택형,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,1.27,0.71,0.090
 이상동,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.18,1.00,0.080
