Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 차우찬,8,7,6,2,3,1,0,1,7,3,1,0,0,0,0,1,0,0.500,0.571,1.167,1.738,32,0.93,2.78,0.253
 송은범,3,3,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,13,2.41,-1.16,0.243
 박종훈,4,4,4,1,3,0,0,1,6,4,0,0,0,0,0,0,0,0.750,0.750,1.500,2.250,15,1.02,3.53,0.195
 김대현,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1,3.09,1.04,0.188
 임찬규,5,5,3,2,2,1,0,1,6,1,2,0,0,1,0,0,0,0.667,0.800,2.000,2.800,22,0.87,2.14,0.184
 홍건희,5,5,4,2,1,0,0,0,1,1,0,1,0,1,0,0,0,0.250,0.400,0.250,0.650,17,1.34,0.81,0.171
 이형범,4,3,2,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0.500,0.667,0.500,1.167,17,2.41,0.54,0.154
 윤성환,8,7,7,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0.286,0.286,0.714,1.000,29,0.80,0.75,0.127
 장시환,3,3,2,2,2,0,0,1,5,1,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,17,0.52,1.51,0.125
 배제성,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.28,1.36,0.091
 레일리,5,5,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0.333,0.600,0.333,0.933,23,0.74,1.09,0.091
 서준원,3,3,3,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,10,0.52,0.58,0.079
 신재영,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.95,0.98,0.072
 윤명준,2,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,6,0.53,0.79,0.070
 신정락,2,1,1,1,1,1,0,0,2,0,0,0,0,0,0,1,0,1.000,1.000,2.000,3.000,4,0.92,1.11,0.068
 헤일리,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,2.24,0.54,0.065
 조영건,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,7,1.86,1.00,0.064
 이승호,7,7,7,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0.429,0.429,0.571,1.000,22,0.84,1.26,0.059
 김태훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,3.26,0.41,0.058
 장필준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,3.52,0.41,0.051
 요키시,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,1.40,0.31,0.043
 김동준,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,0.99,0.65,0.043
 윌랜드,7,7,7,1,1,0,0,1,4,2,0,0,0,2,0,0,0,0.143,0.143,0.571,0.714,26,0.70,0.46,0.043
 이승현,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,1.26,-0.05,0.043
 이대은,3,3,3,0,1,0,1,0,3,1,0,0,0,1,0,0,0,0.333,0.333,1.000,1.333,14,0.80,0.31,0.038
 심수창,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.93,0.44,0.038
 최원태,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,5,1.06,0.24,0.037
 맥과이어,4,4,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,17,0.91,0.32,0.034
 배재준,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,0.78,0.40,0.032
 박상원,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,0.35,0.00,0.024
 후랭코프,7,7,5,1,1,0,0,0,1,1,2,0,0,1,0,0,0,0.200,0.429,0.200,0.629,37,1.39,0.52,0.024
 산체스,6,6,6,1,2,0,0,0,2,0,0,0,0,3,0,0,0,0.333,0.333,0.333,0.666,23,1.28,-0.14,0.023
 엄상백,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.25,1.12,0.019
 박진형,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,0.32,0.34,0.016
 김상수,4,4,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.500,0.000,0.500,24,1.94,-0.12,0.007
 임현준,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,13,0.07,0.17,0.006
 홍정우,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.02,1.00,0.004
 신재웅,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.06,0.19,0.004
 장지수,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,0.13,0.12,0.001
 이보근,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.05,0.41,0.001
 최원준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.01,0.27,0.000
 장원삼,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,2,0.00,-0.41,0.000
 김재영,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.00,1.36,0.000
 조무근,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.01,-0.33,0.000
 강정현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.20,0.000
 김광현,5,5,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,17,0.70,0.23,0.000
 문동욱,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.01,-0.44,0.000
 이상영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.01,-0.44,0.000
 임준섭,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.02,-0.16,0.000
 김정우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.02,-0.44,0.000
 김대우,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,3,0.13,-0.14,-0.001
 백승건,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.06,-0.26,-0.002
 강지광,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.06,-0.26,-0.002
 최동환,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.07,-0.43,-0.002
 전유수,3,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,10,0.25,0.16,-0.002
 여건욱,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,10,0.08,-0.60,-0.002
 윤호솔,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.08,-0.80,-0.002
 이우찬,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2,0.62,0.42,-0.003
 김범수,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,0.07,-0.21,-0.003
 고영창,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,5,0.08,-0.61,-0.004
 임지섭,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.14,-0.10,-0.004
 정영일,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.17,-0.16,-0.004
 김건국,2,2,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,10,0.11,-0.09,-0.005
 이동현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.19,-0.16,-0.005
 차재용,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.21,-0.26,-0.005
 원태인,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,1.04,0.07,-0.006
 장지훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.22,-0.53,-0.006
 문승원,5,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,15,0.42,-0.35,-0.007
 하재훈,2,2,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,11,0.24,-0.20,-0.007
 정재원,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.36,-0.43,-0.009
 배영수,5,5,5,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0.400,0.400,0.800,1.200,21,0.38,0.59,-0.009
 문경찬,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,12,0.46,0.07,-0.010
 김승회,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.40,-0.26,-0.010
 임기영,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.41,-0.16,-0.011
 김민우,4,4,4,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,9,0.29,1.11,-0.012
 구승민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.45,-0.34,-0.013
 문광은,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,10,0.26,-0.32,-0.013
 이영준,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000,5,0.26,-1.06,-0.015
