Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김재윤,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,1.89,0.51,0.172
 이형범,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,2,4.11,-1.53,0.156
 켈리,3,3,2,1,1,0,0,1,4,1,0,1,0,0,0,0,0,0.500,0.667,2.000,2.667,8,0.82,0.84,0.104
 심수창,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.98,1.00,0.093
 이승호,3,3,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,4,1.05,1.10,0.093
 원태인,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,0.97,0.78,0.075
 린드블럼,4,4,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.000,0.250,0.000,0.250,15,0.69,0.32,0.069
 박치국,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.45,0.44,0.067
 요키시,3,3,3,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,7,1.68,0.55,0.059
 김성민,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.62,0.34,0.053
 장시환,3,2,2,2,2,1,1,0,5,2,0,0,0,0,0,1,0,1.000,1.000,2.500,3.500,11,0.57,2.47,0.045
 백정현,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,9,0.99,0.32,0.036
 김원중,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.43,0.54,0.033
 홍성민,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.40,1.10,0.026
 박주홍,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.54,0.44,0.021
 오주원,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.49,0.44,0.018
 배재준,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.667,0.000,0.667,15,0.49,0.08,0.013
 진명호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.47,0.10,0.013
 박준표,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.24,0.44,0.011
 류제국,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.97,0.01,0.010
 윌랜드,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,0.44,-0.09,0.004
 이동현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.14,0.10,0.004
 전상현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.08,0.24,0.003
 여건욱,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.08,0.52,0.002
