Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 브리검,5,5,4,0,2,0,0,0,2,2,1,0,0,1,0,0,0,0.500,0.600,0.500,1.100,25,1.75,2.25,0.306
 최지광,3,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,2.12,1.71,0.247
 김건태,3,3,2,1,2,0,0,1,5,2,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,18,0.85,2.11,0.218
 차우찬,11,11,9,1,5,0,0,0,5,0,2,0,0,1,0,0,0,0.556,0.636,0.556,1.192,32,0.82,2.02,0.187
 이용찬,11,11,11,3,5,1,0,1,9,4,0,0,0,1,0,0,0,0.455,0.455,0.818,1.273,35,0.84,3.34,0.185
 윤성환,7,7,6,2,3,2,0,0,5,0,1,0,0,0,0,0,0,0.500,0.571,0.833,1.404,22,0.82,1.74,0.170
 김주한,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.95,1.71,0.167
 강윤구,3,3,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,12,1.95,1.28,0.148
 박시영,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.02,1.00,0.140
 배재환,4,4,4,1,2,0,0,1,5,1,0,0,0,1,0,0,0,0.500,0.500,1.250,1.750,13,0.56,0.35,0.134
 함덕주,5,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.600,0.000,0.600,31,1.47,1.27,0.130
 맥과이어,12,12,10,0,3,1,0,0,4,0,1,1,0,5,0,0,0,0.300,0.417,0.400,0.817,49,0.58,0.72,0.115
 임기영,4,4,4,2,3,1,0,0,4,1,0,0,0,1,0,0,0,0.750,0.750,1.000,1.750,17,0.91,1.34,0.112
 최채흥,6,6,4,2,1,0,0,0,1,1,2,0,0,1,0,0,0,0.250,0.500,0.250,0.750,26,1.41,0.65,0.106
 박준표,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,2.11,0.84,0.106
 김광현,9,9,9,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.222,0.222,0.222,0.444,30,1.24,0.91,0.105
 권혁,2,2,2,2,2,1,0,1,6,2,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,8,0.37,2.86,0.104
 이대은,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,8.90,-0.12,0.101
 김원중,6,6,5,1,3,0,0,0,3,1,0,1,0,1,0,0,0,0.600,0.667,0.600,1.267,16,0.99,0.99,0.100
 하준영,2,2,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,8,1.20,1.11,0.096
 프리드릭,8,8,8,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0.375,0.375,0.375,0.750,31,0.96,0.33,0.087
 김승회,3,3,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,15,1.07,1.01,0.087
 버틀러,3,3,3,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,12,0.53,0.76,0.086
 한현희,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.667,0.000,0.667,15,1.20,0.39,0.081
 정인욱,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,5,1.43,1.02,0.076
 강이준,3,3,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,14,0.90,0.90,0.074
 김성민,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.93,0.69,0.073
 안우진,5,5,4,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,21,1.31,0.51,0.060
 헤일리,3,3,3,1,2,1,0,0,3,2,0,0,0,0,1,0,0,0.667,0.667,1.000,1.667,12,1.24,1.03,0.060
 켈리,5,5,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,16,0.94,0.96,0.058
 김영규,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,14,1.22,0.69,0.055
 최충연,2,2,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,11,0.52,1.44,0.054
 윤영삼,4,4,4,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0.250,0.250,0.250,0.500,11,1.13,-1.51,0.048
 장시환,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,23,0.92,0.35,0.048
 윤길현,2,2,2,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.37,1.46,0.046
 이재학,13,13,11,1,5,1,0,0,6,1,1,1,0,4,0,0,0,0.455,0.538,0.545,1.083,47,1.00,0.78,0.046
 오주원,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,2.08,0.48,0.042
 진해수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.91,0.27,0.040
 이승호,9,9,7,1,1,1,0,0,2,1,2,0,0,3,0,0,0,0.143,0.333,0.286,0.619,35,1.06,0.58,0.039
 고영창,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.50,0.17,0.037
 임찬규,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.55,0.14,0.036
 이현호,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,15,1.62,0.49,0.035
 주권,3,3,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,13,1.19,0.25,0.033
 구승민,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.42,0.28,0.032
 배제성,8,8,6,0,1,0,0,0,1,2,2,0,0,1,0,0,0,0.167,0.375,0.167,0.542,26,1.21,0.02,0.029
 김재윤,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.60,-0.16,0.027
 김대우,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.31,0.81,0.026
 차명진,5,5,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.400,0.000,0.400,24,0.88,-0.39,0.025
 린드블럼,11,11,11,1,4,1,0,0,5,1,0,0,0,3,0,0,0,0.364,0.364,0.455,0.819,38,0.90,0.17,0.024
 알칸타라,8,8,8,1,3,0,0,1,6,2,0,0,0,2,0,0,0,0.375,0.375,0.750,1.125,37,0.93,0.81,0.023
 레일리,12,12,11,1,4,1,0,0,5,2,1,0,0,2,0,0,0,0.364,0.417,0.455,0.872,53,0.93,0.08,0.023
 루친스키,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,9,0.93,0.43,0.023
 김동준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.62,0.27,0.023
 고우석,4,3,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.333,0.500,0.333,0.833,10,1.90,-0.05,0.021
 이준영,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,11,0.29,0.69,0.021
 홍건희,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,5,0.52,0.46,0.019
 요키시,9,9,9,3,4,1,0,0,5,2,0,0,0,1,1,0,0,0.444,0.444,0.556,1.000,39,0.75,0.41,0.019
 박세웅,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.04,0.15,0.015
 신재웅,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.46,0.10,0.014
 윤정현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.29,1.00,0.014
 양현,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,15,0.38,-0.09,0.012
 윤지웅,2,2,1,1,1,0,0,1,4,2,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,9,0.05,1.83,0.009
 정수민,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.12,0.84,0.009
 김민,6,6,6,0,3,0,0,0,3,1,0,0,0,1,1,0,0,0.500,0.500,0.500,1.000,34,1.70,0.47,0.007
 우규민,5,5,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,15,1.61,-0.80,0.007
 백정현,3,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,9,0.67,-0.19,0.003
 전유수,5,5,4,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0.500,0.600,0.500,1.100,22,0.99,0.55,0.002
 김선기,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,3,2.54,-0.12,0.001
 김기훈,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,0.50,-0.06,0.001
 임기준,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,3,0.02,0.04,0.001
 박주성,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.03,0.12,0.000
 유원상,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,-0.16,0.000
 강동연,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.01,-0.34,0.000
 여건욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.02,-0.10,0.000
 김진성,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.02,-0.36,-0.001
 이민우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,3,0.02,-0.53,-0.001
 이승현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.03,-0.33,-0.001
 엄상백,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.04,-0.34,-0.001
 이상동,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.07,-0.10,-0.002
 문경찬,3,3,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,12,0.64,-0.12,-0.004
 손동현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.18,-0.10,-0.005
 하재훈,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,15,0.47,-0.16,-0.009
 홍성무,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.41,-0.26,-0.010
 박희수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.47,-0.26,-0.012
 신재영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.52,-0.26,-0.013
 박민호,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.39,-0.42,-0.019
 정영일,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.95,-0.16,-0.024
 김윤동,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.50,-0.50,-0.025
 이우찬,12,12,8,2,2,0,0,0,2,0,4,0,1,0,2,0,0,0.250,0.500,0.250,0.750,47,0.60,-0.74,-0.026
 진명호,4,4,4,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.250,0.250,0.250,0.500,17,0.49,-0.56,-0.026
 장현식,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.55,-0.43,-0.027
 임현준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.15,-0.16,-0.029
 서준원,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,0.67,-0.32,-0.029
 양현종,9,9,8,0,2,1,0,0,3,0,1,0,0,3,0,0,0,0.250,0.333,0.375,0.708,40,0.95,-0.54,-0.029
 박종훈,9,9,7,1,2,0,0,0,2,0,2,0,0,3,0,0,0,0.286,0.444,0.286,0.730,40,1.12,-0.33,-0.031
 최원준,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11,0.65,-0.36,-0.033
 장필준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.18,-0.34,-0.033
 박진형,2,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0.000,0.500,0.000,0.500,9,1.38,-0.10,-0.035
 고효준,3,2,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0.000,0.667,0.000,0.667,14,2.08,0.00,-0.036
 라이블리,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.47,-0.62,-0.037
 다익손,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,9,0.99,-0.39,-0.041
 김건국,5,5,4,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0.250,0.200,0.250,0.450,17,1.17,-0.67,-0.047
 박진우,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.96,-0.52,-0.049
 정성곤,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,2.51,-0.25,-0.061
 최원태,6,6,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,21,0.63,-1.05,-0.074
 톰슨,3,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,13,1.47,-0.89,-0.079
 김상수,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,17,3.21,-0.10,-0.082
 터너,7,7,5,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0.000,0.143,0.000,0.143,32,1.27,0.35,-0.084
 박치국,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,3.03,-0.34,-0.085
 손승락,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,18,0.86,-0.83,-0.087
 강지광,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,3.36,-0.37,-0.092
 후랭코프,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,17,1.34,-1.61,-0.097
 서진용,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,2.62,-0.52,-0.101
 배재준,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,24,0.91,-1.49,-0.102
 김민수,5,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,21,0.83,-1.22,-0.109
 이영하,9,9,7,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0.143,0.222,0.143,0.365,36,1.38,-1.40,-0.109
 이영준,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,19,1.11,-1.34,-0.110
 쿠에바스,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666,15,1.34,-1.00,-0.125
 전상현,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,16,1.76,-0.65,-0.128
 구창모,7,7,6,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0.167,0.286,0.167,0.453,29,0.64,-0.42,-0.131
 윤명준,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,15,1.17,-0.79,-0.131
 원태인,6,6,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.167,0.167,0.167,0.334,19,0.90,-1.28,-0.131
 김태훈,3,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,12,1.71,-0.34,-0.132
 산체스,12,12,12,1,2,0,0,0,2,0,0,0,0,2,1,0,0,0.167,0.167,0.167,0.334,36,1.00,-1.83,-0.142
 원종현,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,5,3.11,-0.76,-0.150
 이형범,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,9,2.04,-1.79,-0.181
 윌슨,9,9,9,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0.111,0.111,0.111,0.222,25,1.10,-2.03,-0.191
 윌랜드,3,3,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666,15,1.59,-1.64,-0.193
