Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김광현,13,13,12,1,6,0,0,0,6,3,1,0,0,1,0,0,0,0.500,0.538,0.500,1.038,46,1.35,3.49,0.424
 김범수,6,6,6,3,3,0,0,2,9,4,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,19,0.92,2.36,0.404
 장현식,3,3,2,1,2,1,0,0,3,2,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500,11,1.73,2.18,0.350
 박준표,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,8,1.77,2.32,0.337
 이재학,3,3,2,1,2,1,0,1,6,3,1,0,0,0,0,0,0,1.000,1.000,3.000,4.000,8,0.84,3.17,0.291
 레일리,12,12,12,2,5,1,0,1,9,3,0,0,0,1,0,0,0,0.417,0.417,0.750,1.167,42,0.86,2.28,0.289
 장필준,4,4,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,12,2.50,1.65,0.277
 배재준,8,8,6,2,4,1,0,0,5,2,1,1,0,0,0,0,0,0.667,0.750,0.833,1.583,28,1.35,3.31,0.268
 헤일리,10,10,7,5,4,1,1,0,7,4,2,0,0,0,0,0,1,0.571,0.600,1.000,1.600,37,1.25,2.60,0.246
 박종훈,10,10,9,2,4,2,0,2,12,5,1,0,0,1,1,0,0,0.444,0.500,1.333,1.833,34,1.21,3.33,0.246
 장시환,10,10,9,2,5,0,0,0,5,2,1,0,0,1,1,0,0,0.556,0.600,0.556,1.156,38,1.00,2.77,0.241
 김세현,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,3.54,1.88,0.231
 구창모,8,8,6,1,2,0,0,1,5,2,2,0,0,1,1,0,0,0.333,0.500,0.833,1.333,36,0.74,1.89,0.223
 윌랜드,13,13,12,1,3,0,0,1,6,5,1,0,0,2,1,0,0,0.250,0.308,0.500,0.808,51,1.00,1.01,0.219
 후랭코프,9,9,8,0,4,1,0,0,5,2,0,1,0,0,0,0,0,0.500,0.556,0.625,1.181,35,1.07,1.80,0.214
 이우찬,7,7,5,1,2,1,0,0,3,1,2,0,0,0,0,0,0,0.400,0.571,0.600,1.171,27,1.06,2.01,0.192
 박정배,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,1.66,0.82,0.190
 유원상,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,2.32,0.68,0.172
 이형범,6,6,4,1,2,0,0,0,2,0,2,0,1,2,0,0,0,0.500,0.667,0.500,1.167,23,1.48,1.40,0.159
 정찬헌,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,3.73,0.97,0.139
 장원삼,2,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,12,1.25,1.54,0.132
 김대현,5,5,4,1,1,1,0,0,2,1,1,0,0,1,0,0,0,0.250,0.400,0.500,0.900,22,0.81,0.43,0.122
 황인준,3,3,3,1,2,2,0,0,4,0,0,0,0,1,0,0,0,0.667,0.667,1.333,2.000,12,0.89,1.04,0.112
