Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 문경찬,3,3,2,1,1,0,0,1,4,3,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,11,2.66,2.56,0.696
 김민,6,6,6,2,4,1,0,1,8,7,0,0,0,1,0,0,0,0.667,0.667,1.333,2.000,22,1.71,4.80,0.575
 차우찬,9,9,8,2,5,1,0,2,12,5,1,0,0,1,0,0,0,0.625,0.667,1.500,2.167,40,1.14,4.52,0.457
 김이환,4,4,2,2,2,0,0,1,5,2,2,0,0,0,0,0,0,1.000,1.000,2.500,3.500,22,1.26,2.81,0.209
 김태훈,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,2.32,0.68,0.172
 김원중,5,5,3,0,2,0,0,0,2,3,2,0,0,1,0,0,0,0.667,0.800,0.667,1.467,22,1.28,2.17,0.160
 이영하,6,5,3,1,2,0,0,0,2,1,3,0,1,1,0,0,0,0.667,0.833,0.667,1.500,22,0.80,0.91,0.158
 함덕주,4,4,3,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0.333,0.500,0.667,1.167,25,1.85,0.77,0.155
 김영규,2,2,2,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,4,2.05,1.60,0.138
 김동준,5,5,3,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0.667,0.800,0.667,1.467,19,0.87,1.60,0.138
 원종현,2,2,2,1,2,0,0,1,5,3,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,11,1.43,2.91,0.134
 장민재,10,10,9,2,3,2,0,0,5,2,1,0,0,2,0,0,0,0.333,0.400,0.556,0.956,41,0.84,2.30,0.133
 쿠에바스,12,12,9,3,3,1,0,1,7,3,3,0,0,3,0,0,0,0.333,0.500,0.778,1.278,53,0.92,2.32,0.131
 이태양,3,3,3,2,2,1,0,1,6,1,0,0,0,1,0,0,0,0.667,0.667,2.000,2.667,9,1.24,1.97,0.131
 안영명,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.93,0.54,0.127
 문동욱,5,5,5,2,3,1,0,1,7,5,0,0,0,1,0,0,0,0.600,0.600,1.400,2.000,17,0.88,3.10,0.126
 서준원,10,10,7,2,3,3,0,0,6,1,2,1,0,1,0,0,0,0.429,0.600,0.857,1.457,42,0.75,2.21,0.123
 박종훈,6,6,4,1,1,1,0,0,2,1,2,0,0,0,0,0,0,0.250,0.500,0.500,1.000,25,1.27,0.60,0.101
 이승호,2,2,2,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,3,1.35,0.67,0.095
 최성영,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,9,1.21,0.74,0.090
 김대현,6,6,4,1,2,1,0,0,3,0,2,0,0,0,0,0,0,0.500,0.667,0.750,1.417,27,0.44,2.35,0.086
 차명진,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,1.14,0.60,0.080
 임찬규,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,1.16,0.84,0.077
 윌슨,16,15,12,3,3,0,0,1,6,2,3,0,1,3,0,0,1,0.250,0.375,0.500,0.875,70,0.94,0.34,0.076
 장시환,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,11,1.30,0.85,0.068
 금민철,4,4,4,0,2,0,1,0,4,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,15,0.94,0.75,0.066
 서폴드,8,8,7,2,3,1,0,0,4,2,1,0,0,0,1,0,0,0.429,0.500,0.571,1.071,28,0.86,1.48,0.064
 이재학,12,12,11,0,3,0,0,0,3,1,1,0,0,1,0,0,0,0.273,0.333,0.273,0.606,48,1.02,0.71,0.064
 장현식,3,3,3,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,8,0.91,1.15,0.062
 송승준,2,2,1,0,1,1,0,0,2,2,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,11,0.50,1.97,0.059
 이현호,6,6,5,2,3,0,0,0,3,1,1,0,0,1,0,0,0,0.600,0.667,0.600,1.267,27,0.91,1.50,0.056
 루친스키,13,13,11,1,1,0,0,1,4,2,2,0,0,5,0,0,0,0.091,0.231,0.364,0.595,51,0.84,-0.10,0.054
 신재영,2,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,0.90,0.78,0.054
 브리검,12,12,10,1,4,1,0,0,5,1,2,0,0,2,0,0,0,0.400,0.500,0.500,1.000,51,0.90,0.14,0.050
 정찬헌,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.95,0.41,0.046
 유원상,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.64,1.13,0.045
 터너,6,6,6,2,2,1,0,1,6,3,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,25,1.19,1.07,0.038
 김건태,3,3,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.500,0.667,0.500,1.167,16,1.83,-0.02,0.032
 산체스,3,3,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,13,0.96,0.18,0.030
 박윤철,4,4,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.250,0.250,0.500,0.750,19,0.15,-0.05,0.029
 요키시,6,6,6,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0.500,0.500,0.500,1.000,27,0.89,0.44,0.024
 한현희,3,3,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,16,1.54,0.00,0.023
 박치국,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.40,0.27,0.022
 최원태,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,11,1.06,0.18,0.021
 하준호,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,14,0.25,0.29,0.021
 김선기,4,4,4,0,1,1,0,0,2,1,0,0,0,2,0,0,0,0.250,0.250,0.500,0.750,16,1.15,0.06,0.020
 전유수,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.34,0.88,0.020
 유승철,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.07,1.00,0.018
 윤성빈,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.09,0.26,0.017
 주권,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,9,0.70,-0.09,0.015
 강윤구,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.37,0.27,0.014
 김기훈,3,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.333,0.000,0.333,12,0.71,0.12,0.012
 오현택,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,0.69,1.61,0.012
 김범수,13,13,8,3,1,0,0,0,1,1,3,1,0,0,1,0,1,0.125,0.385,0.125,0.510,48,0.91,-0.64,0.009
 양승철,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.12,0.92,0.008
 후랭코프,6,6,4,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0.250,0.500,0.250,0.750,25,0.57,0.58,0.007
 김종수,5,5,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.000,0.400,0.000,0.400,22,0.25,-0.54,0.007
 정성종,4,4,4,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,19,0.09,0.44,0.006
 버틀러,9,9,9,1,2,1,0,0,3,1,0,0,0,1,1,0,0,0.222,0.222,0.333,0.555,29,0.67,0.07,0.006
 배재환,5,5,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.400,0.000,0.400,17,0.41,-0.64,0.006
 김성훈,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,4,0.17,0.04,0.004
 이준영,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,1.000,,,6,0.12,1.00,0.004
 김주한,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.08,0.27,0.003
 송은범,4,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.250,0.250,0.250,0.500,16,0.34,-0.52,0.002
 홍성민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.09,0.41,0.002
 다익손,12,12,10,2,3,0,0,2,9,4,2,0,0,2,0,0,0,0.300,0.417,0.900,1.317,45,0.67,3.71,0.002
 박상원,3,3,3,1,1,0,0,1,4,1,0,0,0,0,1,0,0,0.333,0.333,1.333,1.666,13,0.33,0.21,0.001
 채병용,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.01,0.42,0.001
 장지수,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.01,1.00,0.000
 이인복,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,0.01,1.00,0.000
 박정배,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.01,0.42,0.000
 양기현,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.00,0.44,0.000
