Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 엄상백,2,2,2,2,2,0,0,1,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,9,2.71,2.58,0.469
 장민재,7,7,7,0,3,1,0,0,4,4,0,0,0,1,0,0,0,0.429,0.429,0.571,1.000,32,1.06,2.28,0.286
 원종현,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,10,3.05,1.56,0.255
 후랭코프,11,11,10,1,4,0,0,1,7,2,1,0,0,3,0,0,0,0.400,0.455,0.700,1.155,46,1.02,2.01,0.220
 알칸타라,12,12,10,1,5,1,0,0,6,3,2,0,0,1,0,0,0,0.500,0.583,0.600,1.183,43,1.36,2.60,0.216
 이태양,3,3,2,1,1,0,0,0,1,2,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,11,1.73,1.16,0.209
 윤성환,12,12,10,2,5,1,0,1,9,3,2,0,0,2,0,0,0,0.500,0.583,0.900,1.483,49,1.29,3.32,0.204
 홍건희,8,8,8,2,4,2,0,0,6,2,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,31,1.20,1.95,0.191
 서준원,2,2,1,1,1,0,0,1,4,2,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,9,1.65,2.00,0.190
 이영하,6,6,6,2,4,1,0,1,8,1,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,24,0.75,1.81,0.187
 터너,9,9,7,1,3,2,0,0,5,3,1,1,0,1,0,0,0,0.429,0.556,0.714,1.270,44,1.08,2.83,0.176
 장필준,3,3,2,1,1,0,0,1,4,2,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,8,1.28,1.80,0.171
 우규민,4,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,12,1.34,0.99,0.156
 켈리,9,9,9,1,3,0,1,0,5,3,0,0,0,0,0,0,0,0.333,0.333,0.556,0.889,29,1.41,0.95,0.146
 박세웅,5,5,4,1,1,0,0,1,4,3,1,0,0,1,0,0,0,0.250,0.400,1.000,1.400,20,1.17,1.61,0.143
 김영규,5,5,5,3,3,0,0,1,6,2,0,0,0,0,0,0,0,0.600,0.600,1.200,1.800,17,0.52,2.39,0.138
 김원중,4,4,4,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0.500,0.500,1.250,1.750,13,0.60,2.72,0.126
 정우영,5,5,4,0,2,1,0,0,3,1,1,0,1,1,0,0,0,0.500,0.600,0.750,1.350,13,1.08,0.53,0.108
 윤명준,3,3,3,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,13,1.55,0.74,0.105
 쿠에바스,9,9,8,2,3,1,0,1,7,1,1,0,0,1,0,0,0,0.375,0.444,0.875,1.319,31,0.78,0.91,0.103
 이용찬,15,15,13,2,5,0,0,0,5,1,1,1,0,4,1,0,0,0.385,0.467,0.385,0.852,61,1.19,1.14,0.102
 박준표,4,4,4,0,2,2,0,0,4,1,0,0,0,2,0,0,0,0.500,0.500,1.000,1.500,23,1.19,1.33,0.101
 유희관,2,2,1,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,8,0.35,1.44,0.095
 임찬규,6,6,5,1,1,1,0,0,2,1,1,0,0,1,0,0,0,0.200,0.333,0.400,0.733,23,0.77,0.74,0.090
 김민우,6,6,5,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0.200,0.333,0.200,0.533,22,0.50,1.78,0.087
 김윤동,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,3.07,0.73,0.078
 장현식,5,5,4,1,1,0,0,1,4,1,0,1,0,1,0,0,0,0.250,0.400,1.000,1.400,24,0.78,0.75,0.074
 유원상,2,2,1,1,1,1,0,0,2,1,0,0,0,0,0,0,1,1.000,0.500,2.000,2.500,3,1.41,0.48,0.069
 박시영,5,5,3,1,1,0,0,1,4,3,1,0,0,2,0,0,1,0.333,0.400,1.333,1.733,24,0.61,1.28,0.064
 이우찬,5,5,4,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,21,0.82,1.34,0.062
 김진영,3,3,2,1,1,0,0,1,4,2,0,0,0,0,0,0,1,0.500,0.333,2.000,2.333,8,1.49,0.58,0.058
 윤영삼,4,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.250,0.000,0.250,10,1.24,-0.25,0.055
 안영명,5,5,4,2,2,1,0,1,6,2,1,0,0,0,0,0,0,0.500,0.600,1.500,2.100,20,0.82,1.98,0.055
 원태인,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,15,0.88,1.28,0.050
 다익손,6,6,5,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,23,0.92,0.23,0.048
 정인욱,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,16,1.26,0.62,0.048
 신정락,5,5,4,1,1,1,0,0,2,1,1,0,0,1,0,0,0,0.250,0.400,0.500,0.900,23,1.42,1.21,0.042
 고영창,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,0.65,0.54,0.041
 신재영,2,2,2,1,1,0,0,1,4,1,0,0,0,0,1,0,0,0.500,0.500,2.000,2.500,3,0.27,0.47,0.038
 윌슨,9,9,9,1,3,0,0,0,3,2,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,36,1.04,0.38,0.037
 이우석,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,0.43,1.00,0.037
 박윤철,5,5,3,2,3,0,0,1,6,2,1,0,0,0,0,0,1,1.000,0.800,2.000,2.800,16,0.54,2.35,0.029
 장시환,7,7,6,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0.500,0.571,0.500,1.071,26,1.15,0.19,0.028
 이형범,6,6,6,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,29,1.81,1.10,0.027
 프리드릭,5,5,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0.000,0.600,0.000,0.600,27,0.35,0.46,0.025
 이인복,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.60,0.44,0.023
 요키시,13,13,12,3,3,1,0,1,7,4,1,0,0,0,0,0,0,0.250,0.308,0.583,0.891,62,1.11,1.76,0.022
 김건태,3,3,3,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,12,0.20,0.14,0.021
 강정현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.49,0.44,0.018
 차우찬,5,5,5,2,2,1,0,1,6,1,0,0,0,3,0,0,0,0.400,0.400,1.200,1.600,24,0.80,0.76,0.018
 박진형,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,14,0.48,-0.06,0.017
 김승회,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,12,0.34,-0.28,0.014
 정성종,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.06,1.00,0.009
 김진성,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.14,0.27,0.006
 주권,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,0.50,0.01,0.005
 최하늘,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,7,0.03,1.00,0.004
 김성훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.36,0.26,0.004
 민태호,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.05,2.66,0.002
 임기준,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.01,1.00,0.001
 임준섭,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.05,0.41,0.001
 손동현,6,6,4,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.333,0.000,0.333,23,1.25,-0.40,0.001
 김대유,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.00,2.32,0.000
 박정준,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,10,0.00,1.00,0.000
 김종수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.01,-0.33,0.000
 박주홍,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.00,0.10,0.000
 김이환,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.00,0.32,0.000
 권오준,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.13,0.15,0.000
 임현준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.01,-0.20,0.000
 김승범,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.02,-0.70,-0.001
 김건국,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.02,-0.32,-0.001
 조현우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.02,-0.70,-0.001
 최영환,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,11,0.02,-0.16,-0.001
 조덕길,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.05,-0.16,-0.001
 양승철,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.17,-0.34,-0.005
