Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 손동현,2,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,5,1.09,0.58,0.493
 이용찬,10,10,9,3,5,1,0,1,9,3,1,0,0,1,0,0,0,0.556,0.600,1.000,1.600,44,0.73,4.03,0.408
 이승호,8,8,7,4,3,0,0,1,6,4,1,0,0,0,0,0,0,0.429,0.500,0.857,1.357,26,1.63,2.74,0.328
 전상현,3,3,3,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,10,1.27,-1.11,0.326
 쿠에바스,10,10,9,2,4,2,0,0,6,2,1,0,0,2,0,0,0,0.444,0.500,0.667,1.167,34,1.04,2.08,0.227
 윌랜드,9,9,7,2,5,3,0,0,8,1,1,0,0,1,0,0,1,0.714,0.667,1.143,1.810,35,1.28,1.61,0.222
 박치국,4,4,4,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,16,1.35,0.59,0.205
 브리검,11,11,8,2,3,2,0,0,5,1,3,0,0,1,0,0,0,0.375,0.545,0.625,1.170,45,0.92,1.99,0.178
 하준호,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,1.45,1.00,0.163
 이태양,4,4,4,2,3,0,0,1,6,4,0,0,0,1,0,0,0,0.750,0.750,1.500,2.250,14,0.71,3.27,0.155
 김재윤,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.08,0.56,0.148
 차명진,2,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,4,1.04,1.44,0.142
 서준원,4,4,3,1,1,0,0,1,4,4,1,0,0,0,0,0,0,0.333,0.500,1.333,1.833,15,1.40,2.58,0.139
 알칸타라,6,6,6,3,3,0,0,0,3,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,19,0.98,0.99,0.123
 이우찬,2,2,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.48,1.69,0.122
 고영창,3,3,3,1,2,0,1,0,4,3,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,7,1.62,2.57,0.105
 한현희,6,6,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.200,0.333,0.200,0.533,18,2.10,0.43,0.105
 이영하,7,7,6,1,3,1,0,0,4,0,1,0,0,0,0,0,0,0.500,0.571,0.667,1.238,30,1.25,0.29,0.088
 윤성환,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,7,0.90,0.51,0.074
 류제국,2,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.81,0.68,0.071
 김범수,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,0.60,0.74,0.069
 터너,5,5,4,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0.250,0.400,0.250,0.650,24,1.13,0.22,0.069
 레일리,3,3,3,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,0.57,1.33,0.066
