Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 장현식,6,6,5,1,3,1,0,1,7,3,1,0,0,1,0,0,0,0.600,0.667,1.400,2.067,26,1.35,3.11,0.388
 박상원,3,3,2,1,1,0,0,1,4,1,1,0,0,0,1,0,0,0.500,0.667,2.000,2.667,11,2.01,0.72,0.358
 이승현,2,2,2,1,2,0,0,1,5,3,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,13,2.62,2.13,0.305
 전상현,3,3,3,1,3,0,0,1,6,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,11,1.23,1.34,0.217
 이영하,11,11,8,2,5,1,0,0,6,4,3,0,0,0,1,0,0,0.625,0.727,0.750,1.477,37,1.10,2.95,0.193
 배재준,3,3,3,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,15,1.82,0.80,0.189
 차우찬,6,6,5,0,2,0,0,0,2,3,1,0,0,0,0,0,0,0.400,0.500,0.400,0.900,24,1.22,1.64,0.175
 원종현,5,5,4,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,21,2.88,-0.28,0.173
 레일리,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,2.05,1.15,0.163
 박주홍,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,1.60,1.60,0.161
 신재영,2,2,2,1,2,2,0,0,4,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.18,1.37,0.160
 장시환,10,10,8,0,3,2,0,0,5,2,2,0,0,3,0,0,0,0.375,0.500,0.625,1.125,44,1.11,2.29,0.146
 서준원,7,6,3,1,1,0,0,1,4,3,3,0,0,1,1,1,0,0.333,0.667,1.333,2.000,28,1.22,2.13,0.130
 안영명,3,3,3,0,1,1,0,0,2,1,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,14,1.64,0.66,0.124
 김승회,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,2.39,0.84,0.106
 고영창,5,5,4,0,2,0,0,0,2,2,1,0,0,0,1,0,0,0.500,0.600,0.500,1.100,12,1.23,0.86,0.103
 이형범,2,2,2,0,1,1,0,0,2,3,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,11,1.13,2.33,0.093
 최지광,4,3,2,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0.500,0.333,0.500,0.833,14,1.58,-0.06,0.090
 이재학,4,4,3,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0.333,0.500,0.333,0.833,17,1.00,0.98,0.086
 신정락,2,2,2,2,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,9,0.74,1.44,0.083
 구창모,5,5,4,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.250,0.400,1.000,1.400,16,1.06,0.46,0.066
 장원삼,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,0.88,0.74,0.065
 정우람,4,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,12,2.07,-0.64,0.062
 김영규,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,9,1.87,0.24,0.062
 최충연,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.54,1.52,0.060
 이민우,7,7,6,0,3,1,0,0,4,2,0,1,0,2,0,0,0,0.500,0.571,0.667,1.238,25,1.08,1.25,0.059
 터너,3,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,14,0.99,0.45,0.059
 톰슨,6,6,5,1,1,0,0,0,1,2,1,0,0,2,0,0,0,0.200,0.333,0.200,0.533,27,1.25,-0.14,0.056
 진명호,5,5,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.400,0.000,0.400,23,1.29,-0.84,0.053
 임준섭,7,7,4,1,2,0,0,0,2,2,2,0,0,0,0,0,1,0.500,0.571,0.500,1.071,27,1.00,1.17,0.053
 장민재,3,3,3,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,15,1.04,0.79,0.052
 김건태,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,0.83,0.47,0.052
 윌슨,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,13,0.87,0.91,0.049
 한현희,4,4,4,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.250,0.250,0.250,0.500,18,1.87,0.08,0.048
 김종수,3,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,17,0.74,0.59,0.045
 함덕주,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.09,0.66,0.042
 이태양,2,2,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,7,0.36,0.58,0.040
 신재웅,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.97,0.44,0.040
 켈리,5,5,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,20,0.84,0.54,0.038
 백승건,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.98,0.44,0.037
 홍성무,2,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.39,0.89,0.034
 윌랜드,8,8,7,0,2,1,0,0,3,1,1,0,0,2,1,0,0,0.286,0.375,0.429,0.804,33,1.12,-1.07,0.030
 구승민,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,12,2.24,1.26,0.030
 양현종,11,10,9,1,1,0,0,1,4,1,1,0,0,3,0,1,0,0.111,0.200,0.444,0.644,36,0.76,-0.55,0.030
 최동환,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,14,1.01,-0.34,0.029
 버틀러,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,1.47,0.16,0.017
 최원태,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,10,0.76,-0.38,0.017
 맥과이어,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,0.73,-0.01,0.012
 우규민,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,4.27,0.57,0.012
 김기훈,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,13,0.96,0.22,0.012
 윤지웅,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.35,0.10,0.009
 브리검,6,6,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,25,0.78,-0.41,0.008
 이준영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.12,0.68,0.007
 송은범,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.20,0.88,0.005
 송승준,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.04,1.15,0.005
 양현,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.10,0.27,0.004
 권오준,2,2,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.03,0.61,0.003
 김대현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.04,0.24,0.003
 박진형,3,3,2,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0.500,0.333,0.500,0.833,11,1.32,-1.59,0.002
 유승철,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.05,0.44,0.002
 조무근,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,2,0.08,0.44,0.001
 이영준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.02,0.44,0.001
 최원준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.01,-0.16,0.000
 고효준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.03,-0.20,-0.001
 김성민,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.04,-0.30,-0.001
 장지수,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,0.07,-0.70,-0.004
 진해수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.15,-0.33,-0.004
 안우진,6,6,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.167,0.000,0.167,19,1.00,-0.45,-0.004
 다익손,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.85,-0.02,-0.006
 김태훈,4,4,4,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,1.16,-0.08,-0.006
 이인복,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.65,-0.08,-0.006
 배영수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.27,-0.33,-0.007
 김건국,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.27,-0.16,-0.007
 최영환,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,12,0.14,-0.21,-0.007
 황인준,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.68,-0.16,-0.007
 프리드릭,5,5,4,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,24,1.14,0.53,-0.008
 김이환,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.29,-0.26,-0.008
 정인욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.36,-0.26,-0.009
 김동준,7,7,7,0,2,1,0,0,3,1,0,0,0,3,0,0,0,0.286,0.286,0.429,0.715,25,0.51,0.21,-0.010
 이우찬,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,1.05,-0.10,-0.012
 박준표,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.53,-0.10,-0.014
 박시영,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,9,0.97,-0.10,-0.014
 김상수,5,5,5,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0.200,0.200,0.200,0.400,20,1.54,-0.33,-0.016
 장필준,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,0.96,-0.34,-0.016
 김민우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.74,-0.43,-0.017
 손승락,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.75,-0.26,-0.019
 오현택,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.66,-0.63,-0.019
 권혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,1.06,-0.50,-0.024
 김원중,6,6,4,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0.250,0.333,0.250,0.583,29,0.86,-0.13,-0.025
 임찬규,7,7,5,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.286,0.000,0.286,28,1.03,-0.33,-0.026
 정수민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.12,-0.33,-0.027
 김범수,5,5,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,19,0.82,-0.57,-0.031
 윤명준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,1.09,-0.90,-0.032
 김광현,9,9,8,2,2,0,0,0,2,0,1,0,0,4,0,0,0,0.250,0.333,0.250,0.583,32,1.39,-0.24,-0.033
 백청훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,1.38,-0.26,-0.035
 김대우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,1.25,-0.34,-0.036
 오주원,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.41,-0.10,-0.036
 최성영,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,10,0.50,-0.58,-0.037
 정성종,4,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.250,0.250,0.500,0.750,11,0.77,-0.89,-0.039
 백정현,7,7,7,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.143,0.143,0.286,0.429,28,0.95,-0.85,-0.040
 심수창,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.69,-0.44,-0.044
 박희수,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000,8,0.47,-1.02,-0.044
 박민호,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,22,0.48,-0.83,-0.049
 홍건희,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,15,0.45,-0.86,-0.050
 이용찬,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,14,1.03,-0.32,-0.050
 최채흥,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,14,0.49,-0.57,-0.051
 박세웅,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.02,-0.67,-0.053
 윤영삼,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,10,1.00,-1.07,-0.053
 조영우,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,7,0.76,-0.66,-0.054
 윤성환,8,8,7,1,3,1,0,0,4,0,1,0,0,1,0,0,0,0.429,0.500,0.571,1.071,39,1.07,-0.35,-0.058
 차명진,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,10,0.92,-0.96,-0.061
 린드블럼,6,6,4,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0.000,0.333,0.000,0.333,29,0.99,-0.66,-0.062
 루친스키,6,6,6,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,24,0.93,-0.78,-0.064
 요키시,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,16,0.86,-0.68,-0.065
 배재환,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,16,1.63,-0.04,-0.066
 강지광,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,4,1.64,-0.53,-0.070
 조상우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,2.85,-0.44,-0.073
 이승호,10,10,9,0,2,1,0,0,3,1,1,0,0,2,0,0,0,0.222,0.300,0.333,0.633,42,0.94,0.36,-0.084
 헤일리,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,1.29,-0.70,-0.086
 정우영,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,17,1.01,-0.99,-0.091
 서진용,4,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,12,1.07,-0.73,-0.097
 박종훈,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,20,1.18,-1.03,-0.106
 강윤구,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.000,0.000,0.000,0.000,11,0.87,-2.00,-0.107
 문경찬,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,3.26,-0.70,-0.108
 박치국,4,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,10,1.85,-0.69,-0.108
 문승원,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,20,0.93,-1.13,-0.113
 류제국,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,17,2.20,-1.43,-0.117
 유희관,11,11,10,1,3,0,0,0,3,0,1,0,0,0,1,0,0,0.300,0.364,0.300,0.664,42,1.44,-1.02,-0.125
 임기영,5,5,5,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.200,0.200,0.400,0.600,14,1.11,-0.27,-0.137
 라이블리,6,6,6,0,1,1,0,0,2,0,0,0,0,3,0,0,0,0.167,0.167,0.333,0.500,19,1.15,-1.43,-0.138
 산체스,11,11,10,0,2,0,0,0,2,0,1,0,0,2,0,0,0,0.200,0.273,0.200,0.473,41,1.05,-0.91,-0.141
 박진우,6,6,6,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,27,1.52,-1.40,-0.162
 정영일,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,16,1.69,-1.23,-0.172
 김진성,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000,12,2.32,-1.28,-0.179
 채드벨,8,8,7,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0.000,0.125,0.000,0.125,33,1.10,-2.61,-0.233
 서폴드,14,14,12,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0.000,0.143,0.000,0.143,54,1.11,-2.52,-0.327
 고우석,7,7,6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.167,0.286,0.167,0.453,27,2.03,-1.15,-0.369
 김세현,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,1.000,,,0,,,
