Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 서폴드,5,5,5,1,3,0,1,0,5,3,0,0,0,0,0,0,0,0.600,0.600,1.000,1.600,18,1.55,2.33,0.175
 김민수,2,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.44,1.45,0.167
 하준영,3,3,3,2,2,0,0,1,5,3,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,10,0.68,2.33,0.121
 김태훈,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,2.33,2.04,0.116
 송은범,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,,1.000,,,6,1.79,1.16,0.102
 다익손,5,5,3,3,2,1,0,0,3,0,1,1,0,1,0,0,0,0.667,0.800,1.000,1.800,21,0.86,1.42,0.093
 오현택,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.97,3.25,0.080
 전상현,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.71,0.44,0.078
 김상수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.26,0.44,0.074
 요키시,7,7,7,0,1,1,0,0,2,2,0,0,0,2,0,0,0,0.143,0.143,0.286,0.429,38,1.05,0.36,0.074
 터너,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,0.43,0.59,0.071
 채병용,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,6,3.05,0.28,0.069
 김이환,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.05,0.98,0.069
 윤명준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.85,0.44,0.068
 손승락,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.80,0.27,0.060
 박시영,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.45,0.47,0.059
 김범수,5,5,3,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0.333,0.600,0.333,0.933,22,0.59,0.66,0.051
 정우람,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.81,0.10,0.051
 김동준,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.80,0.42,0.051
 고영창,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,4,1.25,0.24,0.037
 박세웅,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,10,0.96,0.31,0.030
