Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 윤성환,11,11,9,1,5,0,0,0,5,5,0,1,0,0,0,0,1,0.556,0.545,0.556,1.101,36,1.16,3.02,0.340
 고영창,2,2,2,1,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,8,2.33,2.15,0.310
 이태양,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,2.75,1.10,0.267
 임찬규,6,6,4,1,2,0,1,1,7,2,1,1,0,0,0,0,0,0.500,0.667,1.750,2.417,20,0.90,3.18,0.257
 임준섭,7,6,6,4,3,0,1,1,8,4,0,0,0,1,0,1,0,0.500,0.500,1.333,1.833,30,0.98,3.11,0.256
 톰슨,2,2,2,2,2,1,1,0,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,4,1.41,3.12,0.252
 김민,7,7,7,0,3,1,0,0,4,3,0,0,0,0,0,0,0,0.429,0.429,0.571,1.000,23,1.07,2.61,0.235
 쿠에바스,9,9,4,2,1,1,0,0,2,0,5,0,0,0,0,0,0,0.250,0.667,0.500,1.167,43,0.81,2.16,0.176
 김대현,5,5,3,1,3,0,0,0,3,1,1,0,0,0,0,0,1,1.000,0.800,1.000,1.800,23,0.95,0.91,0.163
 배제성,9,9,7,2,2,1,0,0,3,2,2,0,0,0,0,0,0,0.286,0.444,0.429,0.873,45,0.84,1.52,0.158
 원종현,4,4,4,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0.250,0.250,0.250,0.500,15,2.28,-1.36,0.152
 윌슨,3,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,10,0.85,1.09,0.144
 하준영,7,7,7,0,2,1,0,0,3,1,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,16,0.92,1.62,0.125
 버틀러,5,5,5,0,3,3,0,0,6,1,0,0,0,0,0,0,0,0.600,0.600,1.200,1.800,20,1.01,1.25,0.120
 문승원,3,3,2,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.80,1.29,0.114
 산체스,12,10,8,2,2,0,1,0,4,2,2,0,0,1,0,2,0,0.250,0.400,0.500,0.900,44,1.11,-0.76,0.105
 임현준,3,3,3,1,2,1,1,0,5,0,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,13,0.49,1.18,0.103
 황인준,1,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,5,0.98,1.02,0.096
 다익손,11,11,10,3,5,0,1,0,7,0,0,1,0,0,0,0,0,0.500,0.545,0.700,1.245,40,1.09,0.94,0.094
 박주홍,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,14,0.59,0.68,0.086
 김기훈,4,4,3,1,1,0,0,1,4,1,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,23,1.08,0.72,0.083
 이민우,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,13,0.58,1.43,0.067
 배재환,3,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,13,1.31,0.45,0.064
 배재준,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,4,0.65,1.64,0.062
 한현희,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,2.42,0.24,0.061
 정수민,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.36,0.44,0.055
 하재훈,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.500,0.000,0.500,8,3.84,-0.20,0.053
 박진태,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,0.75,0.68,0.051
 강지광,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.09,0.11,0.050
 이재학,5,5,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,21,0.89,-0.18,0.041
 김범수,6,6,4,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0.250,0.500,0.250,0.750,24,1.50,-0.10,0.041
 이보근,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.15,0.27,0.040
 김종수,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.50,1.42,0.037
 박상원,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.77,0.74,0.036
 켈리,11,11,10,2,4,0,0,0,4,2,1,0,0,1,0,0,0,0.400,0.455,0.400,0.855,40,1.08,1.15,0.035
 박세웅,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,8,0.72,0.42,0.034
 문광은,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.54,0.84,0.033
 금민철,3,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,12,1.37,0.24,0.032
 소사,5,5,5,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,24,0.78,0.26,0.029
 김세현,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,15,0.41,0.58,0.027
 정영일,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.33,0.00,0.027
 김원중,7,7,6,2,2,1,0,0,3,1,1,0,0,1,0,0,0,0.333,0.429,0.500,0.929,31,0.67,1.30,0.023
 김대유,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,1.000,,,4,0.49,0.40,0.021
 정성종,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,13,0.27,0.12,0.021
 박희수,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,2.21,0.68,0.021
 권오준,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,10,0.31,1.26,0.018
 장현식,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.52,0.74,0.017
 김성민,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,0.13,1.07,0.015
 이민호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.49,0.71,0.014
 박민호,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,3,0.33,-0.19,0.013
 안영명,4,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,22,2.09,-0.17,0.009
