Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김태훈,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,3.94,1.04,0.239
 원종현,4,4,4,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,17,1.60,0.30,0.161
 윤성환,5,5,4,2,2,0,0,1,5,2,1,0,0,0,0,0,0,0.500,0.600,1.250,1.850,21,0.53,1.87,0.121
 최성영,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.15,1.12,0.091
 이영하,6,6,6,1,4,0,0,0,4,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,22,0.73,1.13,0.076
 김원중,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.84,0.72,0.053
 이재학,5,5,4,1,2,0,0,1,5,2,1,0,0,0,0,0,0,0.500,0.600,1.250,1.850,20,0.66,1.83,0.053
 최원태,5,4,4,1,1,0,1,0,3,0,0,0,0,0,0,1,0,0.250,0.250,0.750,1.000,16,0.96,0.30,0.052
 박종훈,4,4,2,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0.500,0.750,0.500,1.250,17,1.19,0.46,0.047
 장시환,8,8,7,0,2,0,0,0,2,0,1,0,0,2,0,0,0,0.286,0.375,0.286,0.661,41,1.04,0.51,0.046
 신정락,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,0.89,0.25,0.043
 홍성무,2,2,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,1.27,1.17,0.036
 브리검,6,6,5,0,1,1,0,0,2,0,0,1,0,2,0,0,0,0.200,0.333,0.400,0.733,17,0.48,0.09,0.025
 김대우,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,1,0.33,1.04,0.023
 양현,1,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,2,0.18,1.53,0.022
 김상수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.51,0.10,0.022
 박준표,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,17,1.13,-0.32,0.019
 레일리,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.79,0.24,0.018
 윌랜드,5,5,4,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0.250,0.400,0.250,0.650,17,0.73,0.01,0.011
 정우영,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.14,0.68,0.008
 정인욱,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.16,0.44,0.006
 임창민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.18,0.10,0.005
 양기현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.07,1.36,0.004
 유원상,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.03,1.27,0.004
 김건태,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.11,0.71,0.004
 윤규진,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,2,0.03,1.04,0.004
 송은범,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.06,0.44,0.002
 요키시,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,0.09,0.25,0.001
 이용찬,6,6,6,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,21,1.24,0.34,0.001
 조영우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.02,0.41,0.001
 최동환,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.02,0.44,0.001
 조무근,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1,0.11,-0.11,0.000
 차재용,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.00,0.10,0.000
 고우석,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.26,0.000
 여건욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.01,-0.20,0.000
 홍정우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.01,-0.50,0.000
 황영국,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.01,-0.26,0.000
 신재웅,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.01,-0.16,0.000
 장지수,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,5,0.01,-1.10,0.000
 김시현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.05,-0.10,-0.001
 박시영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.12,-0.16,-0.003
 박희수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.14,-0.10,-0.004
 진해수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.15,-0.20,-0.004
 서준원,4,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,11,1.09,-0.18,-0.005
 김건국,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.18,-0.10,-0.005
 양현종,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.27,-0.26,-0.007
 임현준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.31,-0.16,-0.008
 박상원,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.31,-0.10,-0.008
 임준섭,5,5,5,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0.600,0.600,0.600,1.200,11,1.20,-0.26,-0.010
 최충연,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.41,-0.26,-0.010
 조상우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.43,-0.26,-0.011
 정영일,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.48,-0.10,-0.012
 박진우,5,5,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.250,0.400,0.250,0.650,10,1.05,0.10,-0.013
 김승회,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.51,-0.10,-0.014
