Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 진해수,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.86,0.97,0.108
 루친스키,3,3,2,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.500,0.667,0.500,1.167,8,0.85,1.11,0.104
 윌슨,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.39,0.85,0.095
 라이블리,2,2,1,2,1,0,1,0,3,1,1,0,0,0,0,0,0,1.000,1.000,3.000,4.000,8,0.91,2.04,0.092
 이민우,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,1.23,0.45,0.089
 임준섭,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.08,1.59,0.075
 김범수,3,3,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,0.61,0.99,0.070
 고효준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.29,0.41,0.037
 장필준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.03,0.10,0.031
 최성영,3,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,10,1.40,0.47,0.030
 레일리,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,1.000,,,7,1.31,0.32,0.030
 김민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.45,0.27,0.017
 박진형,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.31,0.27,0.011
 김대우,2,2,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.11,0.79,0.007
 박종훈,3,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,9,0.52,-0.09,0.006
 정성종,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.09,0.41,0.002
 김주한,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,7,0.06,0.44,0.002
 심수창,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.09,0.70,0.002
 김시현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.00,0.24,0.000
