Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정우영,4,4,4,1,2,0,1,0,4,3,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,10,1.55,2.53,0.511
 이태양,3,3,3,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,1.85,1.37,0.302
 레일리,14,14,14,3,6,2,0,1,11,3,0,0,0,2,0,0,0,0.429,0.429,0.786,1.215,61,1.08,1.48,0.277
 손승락,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,12,2.19,0.89,0.189
 김영규,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,1.98,1.88,0.187
 김민,6,6,6,1,2,0,0,0,2,3,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,24,1.03,2.10,0.168
 박민호,7,7,7,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0.429,0.429,0.429,0.858,24,0.87,1.09,0.152
 이용찬,9,9,7,2,4,0,1,0,6,1,1,0,0,1,0,0,1,0.571,0.556,0.857,1.413,38,0.91,1.94,0.149
 차우찬,11,11,8,1,5,0,0,0,5,1,3,0,0,0,0,0,0,0.625,0.727,0.625,1.352,51,0.61,2.52,0.117
 김민우,4,4,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,18,0.66,0.97,0.114
 원종현,4,4,4,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0.500,0.500,0.500,1.000,16,3.95,1.31,0.110
 이승현,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,1.26,0.34,0.097
 안우진,6,6,5,2,2,0,0,0,2,2,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,17,0.61,1.21,0.091
 손동현,3,3,3,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,8,0.50,0.97,0.087
 정영일,4,4,3,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.333,0.500,0.333,0.833,11,0.75,0.66,0.082
 유희관,15,14,14,3,6,1,0,0,7,1,0,0,0,0,0,1,0,0.429,0.429,0.500,0.929,64,0.85,1.07,0.082
 장민재,7,7,7,1,2,0,0,0,2,1,0,0,0,2,0,0,0,0.286,0.286,0.286,0.572,28,0.90,0.39,0.080
 박상원,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.87,1.44,0.077
 이대은,5,5,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,19,1.27,0.01,0.072
 송은범,4,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,17,0.60,0.01,0.072
 윌슨,6,6,6,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,20,0.67,0.17,0.069
 이우찬,3,3,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,1.01,0.80,0.065
 이승헌,2,2,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,8,0.43,0.70,0.062
 안영명,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,7,1.25,0.47,0.058
 최지광,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,16,2.08,0.23,0.051
 구승민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.30,0.24,0.048
 함덕주,5,4,4,0,1,0,1,0,3,1,0,0,0,0,0,1,0,0.250,0.250,0.750,1.000,20,1.60,0.73,0.046
 정인욱,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.79,0.63,0.045
 배재환,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,18,1.49,-0.01,0.045
 이인복,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.49,0.71,0.045
 최충연,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.35,1.00,0.044
 다익손,9,9,8,2,2,1,0,0,3,0,1,0,0,1,0,0,0,0.250,0.333,0.375,0.708,39,1.09,0.56,0.044
 김종수,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.54,0.50,0.041
 류희운,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,0.71,0.52,0.041
 서준원,7,7,7,1,2,0,0,0,2,2,0,0,0,3,0,0,0,0.286,0.286,0.286,0.572,28,1.11,0.71,0.035
 문광은,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,12,0.15,0.11,0.034
 장현식,5,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,30,0.86,0.26,0.032
 김동준,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,0.58,1.10,0.032
 박진우,10,10,9,1,3,1,0,0,4,0,1,0,0,0,1,0,0,0.333,0.400,0.444,0.844,35,0.98,-0.35,0.026
