Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 함덕주,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,5.46,1.90,0.687
 장민재,8,8,8,1,4,2,0,1,9,5,0,0,0,1,0,0,0,0.500,0.500,1.125,1.625,36,1.20,4.13,0.435
 헤일리,10,10,8,5,3,0,0,2,9,5,2,0,0,0,0,0,0,0.375,0.500,1.125,1.625,34,1.23,4.01,0.356
 김민,9,9,7,4,4,0,0,1,7,4,2,0,0,0,0,0,0,0.571,0.667,1.000,1.667,30,0.91,3.62,0.336
 류제국,9,9,9,1,5,0,0,1,8,3,0,0,0,1,0,0,0,0.556,0.556,0.889,1.445,36,1.20,1.61,0.274
 배제성,10,10,6,2,2,0,0,1,5,4,3,0,0,2,0,0,1,0.333,0.500,0.833,1.333,43,0.90,3.30,0.241
 박치국,2,2,2,1,1,0,0,1,4,5,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,2.15,2.30,0.235
 린드블럼,13,13,12,2,4,1,0,1,8,2,0,1,0,3,0,0,0,0.333,0.385,0.667,1.052,51,1.01,0.95,0.218
 문승원,3,3,2,1,2,0,0,1,5,2,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,12,1.39,2.85,0.217
 장필준,4,4,3,0,1,1,0,0,2,1,0,0,0,2,0,0,1,0.333,0.250,0.667,0.917,18,3.87,0.29,0.216
 최하늘,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,2.48,2.62,0.214
 김민우,6,6,5,1,3,0,0,0,3,3,1,0,0,1,0,0,0,0.600,0.667,0.600,1.267,17,0.88,2.30,0.201
 유원상,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1.000,0.500,1.000,1.500,8,3.12,0.31,0.197
 윌슨,12,12,12,1,3,2,0,0,5,3,0,0,0,0,0,0,0,0.250,0.250,0.417,0.667,35,1.17,1.25,0.192
 이영하,11,11,9,2,3,3,0,0,6,3,2,0,0,2,0,0,0,0.333,0.455,0.667,1.122,49,1.15,2.33,0.187
 원태인,6,6,5,2,2,1,0,0,3,1,0,1,0,1,0,0,0,0.400,0.500,0.600,1.100,19,1.26,1.05,0.184
 라이블리,2,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,1.03,1.19,0.163
 김광현,13,13,12,3,3,0,0,1,6,2,1,0,0,2,0,0,0,0.250,0.308,0.500,0.808,42,1.09,0.81,0.154
 이현호,2,2,2,0,2,0,1,0,4,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.06,1.47,0.147
 정찬헌,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,6,3.82,1.00,0.138
 이승현,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,2.82,0.23,0.127
 홍건희,6,6,6,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,34,0.96,0.24,0.126
 양현종,9,9,7,1,2,1,0,0,3,1,2,0,0,4,0,0,0,0.286,0.444,0.429,0.873,36,0.82,1.47,0.123
 전유수,5,5,5,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0.200,0.200,0.400,0.600,21,1.18,0.21,0.118
 서폴드,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,,1.000,,,21,1.15,1.09,0.111
 김세현,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.30,0.66,0.111
 서진용,3,3,3,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,10,1.53,1.20,0.111
 서준원,6,6,5,1,3,0,0,0,3,1,1,0,0,1,0,0,0,0.600,0.667,0.600,1.267,20,1.35,1.24,0.111
 윌랜드,10,10,9,4,3,3,0,0,6,0,1,0,0,2,0,0,0,0.333,0.400,0.667,1.067,33,0.60,1.24,0.108
 안영명,4,4,4,1,2,0,0,1,5,1,0,0,0,1,0,0,0,0.500,0.500,1.250,1.750,22,1.03,1.02,0.102
 최지광,4,4,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,20,0.83,1.35,0.098
 켈리,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,4,0.67,0.90,0.096
 박종훈,9,9,7,0,3,1,0,0,4,2,2,0,0,3,0,0,0,0.429,0.556,0.571,1.127,40,1.22,1.43,0.092
 유희관,11,11,7,2,2,0,0,0,2,0,4,0,0,0,0,0,0,0.286,0.545,0.286,0.831,48,0.94,1.23,0.092
 강이준,2,2,2,2,2,1,0,1,6,1,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,14,0.51,1.42,0.089
 소사,6,6,6,2,3,0,0,1,6,1,0,0,0,2,0,0,0,0.500,0.500,1.000,1.500,21,0.99,0.66,0.080
 김윤동,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.09,0.41,0.078
 임준섭,3,3,3,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,12,0.56,0.59,0.073
 최충연,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,0.87,1.12,0.070
 김택형,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,,1.000,,,18,1.00,0.78,0.070
 황인준,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.16,0.79,0.063
 김진영,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,11,1.22,0.68,0.062
 이케빈,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.74,0.54,0.054
 배재준,8,8,7,1,2,1,0,0,3,1,1,0,0,1,0,0,0,0.286,0.375,0.429,0.804,33,1.28,0.47,0.053
 이정현,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,0.89,0.58,0.051
 톰슨,2,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,10,0.53,0.68,0.045
 백정현,8,8,6,2,2,1,0,0,3,0,2,0,0,1,0,0,0,0.333,0.500,0.500,1.000,37,1.25,0.22,0.040
 이민우,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.03,-0.12,0.035
 정성곤,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.26,1.00,0.035
 강정현,2,2,2,2,2,0,0,2,8,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.08,3.63,0.033
 장지훈,2,2,2,1,2,0,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.26,1.38,0.032
 박진형,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.44,1.00,0.025
 최채흥,8,8,8,2,2,0,0,1,5,1,0,0,0,3,0,0,0,0.250,0.250,0.625,0.875,38,0.66,1.08,0.023
