Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 원태인,9,9,8,4,4,1,0,2,11,8,1,0,0,1,0,0,0,0.500,0.556,1.375,1.931,35,1.82,8.06,1.165
 하재훈,3,3,3,1,3,1,0,1,7,2,0,0,0,0,0,0,0,1.000,1.000,2.333,3.333,6,2.27,0.98,0.623
 박진우,6,6,5,3,4,0,0,1,7,4,1,0,0,0,0,0,0,0.800,0.833,1.400,2.233,20,1.13,4.98,0.382
 김태훈,4,4,4,1,1,0,0,1,4,2,0,0,0,2,0,0,0,0.250,0.250,1.000,1.250,12,2.01,0.52,0.341
 최원태,6,6,4,2,2,0,0,2,8,4,2,0,0,1,0,0,0,0.500,0.667,2.000,2.667,24,1.01,3.25,0.312
 이태양,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,3.03,0.84,0.275
 최성영,9,9,7,3,2,0,0,2,8,5,2,0,0,1,0,0,0,0.286,0.444,1.143,1.587,31,1.16,2.58,0.267
 이승진,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,0.88,2.46,0.246
 안우진,6,6,4,3,2,1,0,0,3,3,2,0,0,0,0,0,0,0.500,0.667,0.750,1.417,25,1.42,2.76,0.242
 원종현,5,5,4,1,2,0,0,1,5,4,1,0,0,1,0,0,0,0.500,0.600,1.250,1.850,20,1.75,3.08,0.235
 김이환,3,3,3,1,3,3,0,0,6,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,13,1.11,1.90,0.229
 켈리,12,12,11,3,4,3,0,0,7,3,1,0,0,1,0,0,0,0.364,0.417,0.636,1.053,32,1.10,2.52,0.219
 김범수,10,10,7,2,4,0,0,0,4,2,2,0,0,3,0,0,1,0.571,0.600,0.571,1.171,34,1.27,2.16,0.195
 김기훈,3,3,3,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,11,0.98,1.27,0.188
 김경태,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.98,1.00,0.183
 배제성,11,11,8,2,2,0,0,1,5,4,3,0,0,0,0,0,0,0.250,0.455,0.625,1.080,39,1.12,2.12,0.175
 김광현,6,6,5,1,3,0,0,0,3,1,0,0,0,0,0,0,1,0.600,0.500,0.600,1.100,19,1.19,1.43,0.166
 장시환,10,10,9,3,5,2,0,1,10,2,1,0,0,0,0,0,0,0.556,0.600,1.111,1.711,32,0.75,2.86,0.164
 손동현,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,1.000,,,11,2.19,1.10,0.147
 정재원,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,1.99,3.25,0.143
 주권,3,3,3,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,8,0.63,1.14,0.136
 고우석,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,3.09,0.58,0.109
 헤일리,4,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,15,0.92,0.68,0.098
 알칸타라,8,8,6,1,3,0,0,0,3,0,1,1,0,2,0,0,0,0.500,0.625,0.500,1.125,31,1.12,0.81,0.092
 김상수,3,3,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,15,0.66,0.73,0.091
 박희수,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,11,0.97,0.42,0.088
