Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 최동환,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,9,1.65,0.84,0.314
 이용찬,4,4,4,2,3,1,0,1,7,1,0,0,0,0,0,0,0,0.750,0.750,1.750,2.500,8,1.01,2.38,0.214
 박세웅,3,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,1.17,1.76,0.210
 이승호,7,7,6,3,2,0,1,0,4,1,1,0,0,1,0,0,0,0.333,0.429,0.667,1.096,28,1.05,1.97,0.198
 정우영,4,4,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,11,0.69,0.16,0.188
 우규민,3,3,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,7,2.24,0.24,0.187
 루친스키,4,4,4,2,2,0,0,1,5,2,0,0,0,1,0,0,0,0.500,0.500,1.250,1.750,15,0.66,1.72,0.146
 서진용,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,7,2.19,0.78,0.144
 박민호,4,4,4,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0.250,0.250,0.500,0.750,10,1.81,1.20,0.134
 최원준,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.25,1.31,0.125
 김건태,4,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,12,1.37,0.46,0.115
 전상현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.36,1.00,0.114
 헤일리,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.73,1.08,0.109
 함덕주,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,2.17,0.45,0.105
 장현식,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.45,0.85,0.099
 김광현,6,6,5,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,28,1.73,0.05,0.071
 프리드릭,3,3,3,1,2,0,0,0,2,2,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,8,1.31,0.70,0.069
 최성영,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,1.53,0.55,0.057
 박상원,2,1,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1.000,1.000,2.000,3.000,3,2.44,0.40,0.050
 켈리,5,5,5,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0.400,0.400,0.400,0.800,17,0.99,0.40,0.050
 윤영삼,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.26,1.10,0.044
 김동준,4,3,3,1,1,1,0,0,2,0,0,0,0,1,0,1,0,0.333,0.333,0.667,1.000,12,0.81,0.09,0.043
 장지수,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.54,1.44,0.038
 김세현,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.90,0.44,0.034
 이우찬,3,3,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.000,0.333,0.000,0.333,11,1.60,0.21,0.033
