Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 진해수,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,2.92,-0.53,0.365
 김윤수,2,2,2,2,2,0,0,2,8,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.73,2.00,0.235
 문승원,6,6,6,1,2,0,0,1,5,4,0,0,0,1,0,0,0,0.333,0.333,0.833,1.166,23,1.07,2.70,0.227
 김재윤,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,2.13,1.00,0.185
 한현희,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,1.09,0.98,0.161
 루친스키,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,1.23,1.13,0.132
 이대은,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.94,0.68,0.123
 윤영삼,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,15,0.91,-0.24,0.121
 박상원,3,3,2,2,2,0,0,1,5,1,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,9,0.79,1.71,0.116
 고영창,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,3,0.65,0.84,0.109
 안영명,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,2.31,0.66,0.107
 원태인,5,5,4,0,1,0,0,0,1,2,1,0,0,1,1,0,0,0.250,0.400,0.250,0.650,16,1.25,0.84,0.104
 김진영,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.00,0.84,0.089
 윌슨,2,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,0.78,0.95,0.085
 김광현,6,6,4,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0.250,0.500,0.250,0.750,31,1.00,0.80,0.085
 이태양,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,1.66,0.68,0.076
 윌랜드,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,7,0.79,0.84,0.068
 소사,9,9,7,1,1,0,0,0,1,0,1,1,0,5,0,0,0,0.143,0.333,0.143,0.476,28,1.04,0.74,0.066
 양현,5,5,4,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0.250,0.400,0.500,0.900,20,0.57,0.24,0.063
 김승현,4,4,2,2,1,1,0,0,2,2,2,0,0,0,0,0,0,0.500,0.750,1.000,1.750,18,0.57,1.89,0.063
 이민우,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,13,1.17,0.68,0.061
 송은범,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.92,0.66,0.060
 최원태,3,3,3,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,8,0.71,0.77,0.053
 라이블리,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,10,0.71,0.20,0.051
