Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 류제국,5,5,4,2,3,1,0,0,4,2,1,0,0,0,0,0,0,0.750,0.800,1.000,1.800,18,1.32,3.07,0.299
 윌슨,6,6,3,1,1,0,0,0,1,2,3,0,0,1,0,0,0,0.333,0.667,0.333,1.000,29,0.83,2.28,0.202
 박진우,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,11,1.17,1.58,0.200
 김태훈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.92,0.66,0.189
 후랭코프,3,3,2,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,1.30,1.61,0.163
 박종훈,2,2,2,0,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,9,1.67,-0.43,0.161
 김민수,3,3,2,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,12,0.80,1.10,0.154
 원태인,3,3,2,2,1,0,0,1,4,1,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,13,0.88,1.01,0.145
 이재학,2,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,1.42,1.83,0.131
 소사,3,3,2,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,7,0.88,1.22,0.127
 원종현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.66,0.76,0.116
 이승헌,2,2,2,1,2,2,0,0,4,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.63,1.89,0.094
 김동준,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,1.00,1.74,0.085
 서준원,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,8,0.86,1.12,0.084
 진명호,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,4,0.80,1.40,0.061
 장민재,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,8,1.46,0.66,0.060
 오주원,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.80,0.27,0.060
 윤성환,6,6,6,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,22,1.00,0.47,0.046
 프리드릭,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,1.24,0.30,0.042
 김대현,4,4,4,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,19,0.84,0.30,0.031
 다익손,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.33,0.54,0.029
 박진형,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.50,0.27,0.027
 최지광,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.66,0.26,0.024
 임현준,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.45,-0.16,0.023
 정우영,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.62,0.68,0.022
 헤일리,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,3.33,0.22,0.022
 문승원,6,6,5,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,17,1.09,0.38,0.009
 정성종,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.39,0.24,0.009
 김건태,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.55,0.74,0.008
 김이환,4,4,4,1,2,2,0,0,4,0,0,0,0,1,1,0,0,0.500,0.500,1.000,1.500,17,0.89,0.41,0.008
 신재영,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.02,0.08,0.007
 윤지웅,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.03,1.14,0.003
 이승진,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.06,0.44,0.002
 박주홍,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.02,1.19,0.001
 조근종,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.02,0.44,0.001
 문광은,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.01,0.27,0.000
 정성곤,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.00,0.92,0.000
 여건욱,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.26,0.000
 함덕주,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.00,0.10,0.000
 배재준,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.00,1.14,0.000
 장현식,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.01,-0.16,0.000
 임규빈,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.02,-0.52,0.000
 박상원,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.02,-0.16,0.000
 조상우,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,4,2.11,1.94,-0.001
 임찬규,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.03,-0.53,-0.002
 김민우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.07,-0.16,-0.002
 김대우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.05,-0.70,-0.002
 양현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.11,-0.20,-0.003
 박희수,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,15,0.51,0.19,-0.003
 정인욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.14,-0.16,-0.004
 김진성,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.12,-0.53,-0.005
 송승준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.30,-0.43,-0.007
 전유수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.42,-0.16,-0.011
 김주한,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.49,-0.26,-0.013
 김범수,4,4,4,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0.250,0.250,0.250,0.500,19,0.62,-0.80,-0.013
 알칸타라,6,6,6,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0.333,0.333,0.500,0.833,26,1.07,-0.08,-0.013
 산체스,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.67,-0.16,-0.017
 김경태,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,1.08,-0.41,-0.020
 레일리,5,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.200,0.000,0.200,21,0.83,-0.39,-0.021
 김진영,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,0.80,-0.17,-0.026
 이영하,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,0.40,-0.09,-0.028
 신재웅,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.00,-0.20,-0.028
 고효준,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000,11,0.33,-1.45,-0.029
 김종수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,1.25,-0.44,-0.032
 이대은,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,15,0.79,-0.32,-0.033
 김원중,5,5,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.400,0.000,0.400,21,1.34,-0.56,-0.033
 배제성,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,6,0.74,-0.36,-0.038
 윤명준,4,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.250,0.000,0.250,11,0.73,-0.34,-0.039
 정영일,4,4,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.500,0.000,0.500,16,1.80,-0.48,-0.040
 김민,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,19,0.29,-1.27,-0.042
 유희관,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.88,-0.69,-0.043
 김건국,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,14,0.48,-0.93,-0.049
