Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이보근,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,1.81,1.00,0.262
 이영하,7,7,5,1,3,1,0,0,4,0,2,0,0,0,0,0,0,0.600,0.714,0.800,1.514,39,1.10,1.42,0.215
 윤명준,3,3,3,0,3,2,0,0,5,1,0,0,0,0,0,0,0,1.000,1.000,1.667,2.667,17,0.94,2.19,0.198
 한현희,3,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,16,1.41,0.86,0.130
 문승원,3,3,3,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,4,1.04,0.90,0.124
 김원중,6,6,5,2,3,1,0,0,4,0,1,0,0,0,0,0,0,0.600,0.667,0.800,1.467,21,0.89,1.51,0.115
 김재영,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.72,1.41,0.114
 산체스,6,6,6,1,2,0,1,0,4,0,0,0,0,4,0,0,0,0.333,0.333,0.667,1.000,27,0.91,1.30,0.111
 손승락,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,2.41,1.03,0.099
 고우석,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.63,0.27,0.097
 헤일리,3,3,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,9,1.24,0.77,0.097
 정우람,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.86,0.68,0.094
 이인복,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.88,1.00,0.094
 원종현,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.92,0.89,0.093
 김영규,2,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,6,0.86,1.36,0.091
 박상원,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11,2.09,0.74,0.089
 배재환,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,12,3.13,0.32,0.087
