Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 서폴드,12,12,11,2,5,0,0,0,5,1,1,0,0,0,0,0,0,0.455,0.500,0.455,0.955,35,1.16,2.82,0.219
 백정현,6,6,6,1,3,2,0,0,5,0,0,0,0,1,0,0,0,0.500,0.500,0.833,1.333,15,1.00,1.59,0.154
 켈리,8,7,7,1,4,1,0,0,5,1,0,0,0,1,0,1,0,0.571,0.571,0.714,1.285,18,1.02,1.60,0.146
 전유수,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.16,0.90,0.139
 맥과이어,6,6,6,2,5,0,0,0,5,1,0,0,0,0,0,0,0,0.833,0.833,0.833,1.666,12,0.94,1.83,0.136
 정성종,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,1,4.04,-0.16,0.114
 채드벨,9,9,9,2,5,1,0,0,6,1,0,0,0,0,0,0,0,0.556,0.556,0.667,1.223,26,1.10,1.86,0.082
 강동연,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.92,0.41,0.073
 하재훈,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,4.05,0.15,0.064
 김윤동,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.80,0.27,0.060
 김재윤,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.39,0.27,0.049
 고영창,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.60,-0.28,0.039
 신정락,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,8,0.77,0.29,0.038
 이승호,6,6,5,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0.400,0.500,0.400,0.900,26,0.82,0.54,0.035
 안영명,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.89,0.41,0.034
 정우람,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,6,0.49,0.03,0.032
 엄상백,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.79,0.68,0.028
 이우찬,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,1.99,0.19,0.021
