Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 문승원,9,9,8,4,5,2,0,1,10,5,1,0,0,0,0,0,0,0.625,0.667,1.250,1.917,27,0.87,5.21,0.445
 김재윤,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,2.80,0.10,0.302
 알칸타라,9,9,9,2,3,1,0,1,7,2,0,0,0,1,0,0,0,0.333,0.333,0.778,1.111,37,0.90,1.71,0.237
 고영창,4,4,4,0,2,2,0,0,4,1,0,0,0,0,1,0,0,0.500,0.500,1.000,1.500,19,0.83,0.42,0.224
 박종훈,6,5,5,2,4,0,0,0,4,2,0,0,0,0,0,1,0,0.800,0.800,0.800,1.600,19,0.81,1.94,0.203
 배제성,5,5,4,2,1,0,0,1,4,2,1,0,0,2,0,0,0,0.250,0.400,1.000,1.400,22,1.02,0.82,0.173
 장필준,4,4,3,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,14,1.93,0.83,0.162
 원태인,8,8,8,1,4,0,0,1,7,2,0,0,0,1,0,0,0,0.500,0.500,0.875,1.375,29,1.32,1.09,0.107
 이대은,5,5,3,0,2,1,0,0,3,1,1,0,0,1,0,0,1,0.667,0.600,1.000,1.600,16,0.72,0.51,0.107
 터너,6,6,2,1,1,0,0,0,1,0,4,0,0,1,0,0,0,0.500,0.833,0.500,1.333,32,0.97,1.23,0.106
 채드벨,2,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,3,0.84,1.37,0.099
 장시환,2,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.000,0.500,1.000,1.500,8,0.91,1.44,0.089
 박윤철,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,6,1.27,0.80,0.087
 차우찬,2,2,2,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,8,0.96,0.74,0.086
 다익손,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,15,0.98,0.62,0.066
 신정락,3,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.000,0.667,0.000,0.667,14,1.33,0.58,0.060
 조근종,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.39,2.66,0.049
 차명진,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.24,0.43,0.045
 송은범,4,4,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0.500,0.500,1.250,1.750,6,1.04,1.21,0.040
 손동현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.91,0.97,0.035
 이태양,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.60,0.31,0.033
 김택형,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.63,1.00,0.029
 헤일리,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,0.59,0.78,0.026
 정성곤,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,0.41,-0.04,0.025
 김승회,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.66,0.44,0.024
 김상수,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,8,0.88,0.19,0.019
 최동환,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.49,0.44,0.018
 켈리,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,13,0.57,0.08,0.018
 이영하,3,3,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,16,1.28,0.22,0.018
 이승진,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.35,1.29,0.015
 류제국,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.91,0.19,0.007
 윤규진,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.11,0.44,0.004
 김건국,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.15,0.28,0.004
 엄상백,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,0.57,0.69,0.001
 이보근,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.03,0.41,0.001
 김정우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.02,0.41,0.001
