Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 서폴드,8,8,8,2,5,0,0,0,5,3,0,0,0,0,0,0,0,0.625,0.625,0.625,1.250,34,1.34,2.83,0.439
 브리검,13,13,10,1,4,3,0,0,7,1,3,0,0,1,0,0,0,0.400,0.538,0.700,1.238,54,1.11,2.94,0.283
 다익손,9,9,9,0,5,1,0,0,6,1,0,0,0,1,0,0,0,0.556,0.556,0.667,1.223,37,1.36,2.34,0.278
 전유수,4,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,15,2.87,-1.84,0.251
 김상수,4,4,4,1,2,1,0,0,3,2,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,13,1.94,2.05,0.211
 배재환,5,5,3,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0.333,0.600,0.333,0.933,22,1.54,2.40,0.211
 조상우,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,5.19,1.00,0.204
 김동준,3,3,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,10,1.36,0.59,0.196
 김원중,7,7,6,0,1,1,0,0,2,2,1,0,0,1,0,0,0,0.167,0.286,0.333,0.619,27,1.28,1.82,0.172
 레일리,14,14,14,2,5,1,0,0,6,1,0,0,0,4,0,0,0,0.357,0.357,0.429,0.786,48,1.13,1.75,0.164
 윤성환,9,9,9,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0.333,0.333,0.444,0.777,25,1.00,1.09,0.149
 손승락,3,3,1,0,1,1,0,0,2,0,2,0,0,0,0,0,0,1.000,1.000,2.000,3.000,11,1.78,1.20,0.148
 김건국,6,6,5,2,4,1,0,0,5,0,1,0,0,0,0,0,0,0.800,0.833,1.000,1.833,22,0.75,2.14,0.139
 김광현,11,11,11,1,5,0,0,0,5,1,0,0,0,1,0,0,0,0.455,0.455,0.455,0.910,28,0.82,3.06,0.134
 김기훈,6,6,6,4,5,0,1,0,7,0,0,0,0,0,0,0,0,0.833,0.833,1.167,2.000,23,0.60,2.47,0.132
 고효준,4,4,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0.000,0.750,0.000,0.750,19,1.19,0.41,0.119
 최원태,12,12,12,1,4,0,0,0,4,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,39,0.91,1.60,0.116
 김진영,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,12,0.95,1.26,0.115
 권오준,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.40,1.00,0.106
 정영일,3,3,3,0,1,0,1,0,3,1,0,0,0,2,0,0,0,0.333,0.333,1.000,1.333,14,0.78,0.59,0.102
 루친스키,13,13,12,3,5,0,0,0,5,0,1,0,0,3,0,0,0,0.417,0.462,0.417,0.879,57,0.74,1.38,0.096
 박종훈,6,6,3,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0.333,0.667,0.333,1.000,26,0.81,1.18,0.093
 김선기,6,6,5,2,3,0,0,0,3,0,1,0,0,0,0,0,0,0.600,0.667,0.600,1.267,24,0.79,0.90,0.092
