Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정우람,2,2,2,2,2,1,0,1,6,3,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,8,1.27,4.02,0.505
 정성곤,5,5,5,1,3,0,0,1,6,1,0,0,0,0,0,0,0,0.600,0.600,1.200,1.800,23,1.08,2.02,0.495
 터너,10,10,6,5,6,1,0,1,10,4,3,1,0,0,0,0,0,1.000,1.000,1.667,2.667,32,0.53,5.25,0.310
 구승민,5,4,3,0,1,0,0,0,1,2,2,0,1,2,0,0,0,0.333,0.600,0.333,0.933,19,2.16,1.53,0.288
 채드벨,18,17,15,2,4,1,0,0,5,1,2,0,0,1,0,1,0,0.267,0.353,0.333,0.686,60,0.75,1.00,0.238
 윤영삼,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,8,0.91,0.58,0.180
 레일리,12,12,12,1,3,0,0,1,6,4,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,39,0.96,1.37,0.172
 장시환,5,5,4,1,2,1,0,0,3,2,1,0,0,2,0,0,0,0.500,0.600,0.750,1.350,22,1.44,1.51,0.139
 윤성환,6,6,5,1,2,0,0,1,5,4,0,0,0,0,0,0,1,0.400,0.333,1.000,1.333,21,1.16,1.80,0.122
 문승원,6,6,4,2,1,0,0,1,4,1,2,0,0,1,0,0,0,0.250,0.500,1.000,1.500,21,0.86,1.43,0.118
 진명호,4,4,3,0,1,1,0,0,2,1,0,1,0,0,1,0,0,0.333,0.500,0.667,1.167,13,1.99,0.98,0.115
 최성영,10,10,7,1,3,1,0,0,4,1,2,0,0,0,0,0,1,0.429,0.500,0.571,1.071,43,0.92,0.40,0.111
 박민호,4,4,3,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,17,1.33,1.29,0.106
 소사,5,5,5,2,1,0,0,1,4,3,0,0,0,1,0,0,0,0.200,0.200,0.800,1.000,16,0.92,1.63,0.098
