Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 하준영,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,2.24,2.07,0.320
 김영규,3,3,3,1,2,0,0,1,5,3,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,10,1.71,2.74,0.303
 강지광,2,2,2,1,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,5,1.50,2.39,0.259
 장민재,9,9,8,0,4,1,0,0,5,1,0,1,0,3,0,0,0,0.500,0.556,0.625,1.181,31,1.10,2.97,0.239
 백정현,5,5,4,2,2,0,0,0,2,2,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,19,1.55,2.26,0.236
 박주홍,2,2,2,1,2,2,0,0,4,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,10,1.40,1.93,0.210
 채드벨,6,6,5,1,2,0,0,1,5,3,0,1,0,1,0,0,0,0.400,0.500,1.000,1.500,24,1.14,2.41,0.210
 김민,7,7,6,0,4,1,0,0,5,2,1,0,0,1,0,0,0,0.667,0.714,0.833,1.547,25,1.00,2.45,0.204
 이태양,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.70,0.70,0.176
 김대현,4,4,3,1,3,0,0,0,3,4,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,19,0.91,3.26,0.170
 원태인,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,15,1.99,0.58,0.159
 김민수,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,2.45,0.71,0.145
 버틀러,4,4,4,2,2,0,0,1,5,2,0,0,0,0,0,0,0,0.500,0.500,1.250,1.750,16,0.79,1.87,0.140
 김광현,6,6,5,1,2,1,0,0,3,1,1,0,0,0,0,0,0,0.400,0.500,0.600,1.100,29,1.19,1.72,0.130
 다익손,4,4,4,0,2,1,0,0,3,1,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,17,0.78,1.10,0.118
 우규민,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,11,0.46,0.84,0.114
 김세현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,3.20,1.00,0.108
 이승진,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,2.02,0.84,0.096
 배영수,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.68,0.84,0.095
 황인준,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,9,0.99,1.33,0.090
 김택형,2,2,1,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,11,0.76,1.44,0.089
 문승원,3,3,3,1,1,0,0,1,4,2,0,0,0,0,1,0,0,0.333,0.333,1.333,1.666,7,1.68,0.04,0.076
 김윤동,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,2.85,0.41,0.072
 서진용,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.85,0.97,0.070
