Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 엄상백,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.61,-1.01,0.301
 박세웅,5,5,3,2,3,1,0,0,4,0,2,0,0,0,0,0,0,1.000,1.000,1.333,2.333,25,1.13,1.87,0.187
 안우진,5,5,4,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,17,1.02,1.53,0.133
 최원준,1,1,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,1,1.70,1.00,0.131
 박희수,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.03,1.00,0.126
 산체스,8,8,8,0,3,1,0,0,4,2,0,0,0,2,0,0,0,0.375,0.375,0.500,0.875,24,1.46,0.94,0.125
 터너,11,11,9,1,4,0,0,0,4,1,0,2,0,0,0,0,0,0.444,0.545,0.444,0.989,38,1.02,1.06,0.103
 홍건희,4,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,9,0.83,1.03,0.096
 김민,6,6,5,2,2,1,0,0,3,0,1,0,0,1,0,0,0,0.400,0.500,0.600,1.100,19,0.74,0.97,0.095
 배제성,5,5,5,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.400,0.400,0.600,1.000,13,1.07,0.72,0.074
 김건국,5,5,5,1,2,0,0,0,2,1,0,0,0,1,1,0,0,0.400,0.400,0.400,0.800,20,0.84,-0.20,0.071
 이영준,4,4,4,1,2,0,0,0,2,0,0,0,0,1,1,0,0,0.500,0.500,0.500,1.000,17,0.69,-0.50,0.058
 최충연,3,3,3,1,2,2,0,0,4,1,0,0,0,1,0,0,0,0.667,0.667,1.333,2.000,10,0.36,1.34,0.056
 배재준,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.44,0.68,0.055
 김선기,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.76,0.68,0.051
 진해수,3,3,3,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0.333,0.333,1.000,1.333,9,1.00,0.55,0.050
 윤영삼,6,6,6,0,1,1,0,0,2,1,0,0,0,2,0,0,0,0.167,0.167,0.333,0.500,26,0.71,-0.69,0.050
 루친스키,5,5,5,1,2,0,1,0,4,2,0,0,0,1,0,0,0,0.400,0.400,0.800,1.200,18,1.36,0.68,0.048
 장시환,4,4,3,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,11,0.87,0.52,0.048
 손승락,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.93,0.68,0.047
 김상수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.88,0.44,0.042
 박진우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.97,0.44,0.038
 최원태,8,8,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.125,0.125,0.125,0.250,23,1.02,0.32,0.037
 프리드릭,2,2,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,9,0.67,0.26,0.031
 김승회,3,3,3,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,13,0.50,0.61,0.028
 이정현,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,9,0.57,0.16,0.027
 양현종,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,1.23,0.40,0.026
 조상우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.72,0.27,0.026
 구승민,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,6,0.94,0.07,0.025
 김시현,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.66,0.68,0.024
