Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 터너,13,13,13,1,4,3,0,0,7,1,0,0,0,0,0,0,0,0.308,0.308,0.538,0.846,45,1.28,2.47,0.387
 고우석,4,4,3,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0.333,0.500,0.333,0.833,16,1.76,-0.72,0.376
 이용찬,12,12,12,2,7,1,0,0,8,4,0,0,0,0,0,0,0,0.583,0.583,0.667,1.250,41,1.03,5.04,0.360
 장필준,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,11,1.65,1.02,0.357
 구승민,4,4,3,3,1,0,0,1,4,2,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,18,2.77,1.98,0.329
 최원태,9,8,7,0,2,1,0,0,3,2,1,0,0,1,0,1,0,0.286,0.375,0.429,0.804,33,1.04,2.13,0.265
 김원중,7,7,6,1,4,1,0,1,8,2,1,0,0,0,0,0,0,0.667,0.714,1.333,2.047,33,0.84,2.55,0.231
 김건태,4,4,4,3,3,0,0,1,6,2,0,0,0,1,0,0,0,0.750,0.750,1.500,2.250,17,0.67,2.01,0.209
 김건국,5,4,4,2,2,1,0,0,3,0,0,0,0,1,0,1,0,0.500,0.500,0.750,1.250,12,0.80,1.33,0.195
 안우진,6,6,4,3,3,0,0,0,3,2,2,0,0,0,0,0,0,0.750,0.833,0.750,1.583,23,1.13,2.17,0.195
 최지광,4,4,4,3,3,1,0,0,4,0,0,0,0,0,0,0,0,0.750,0.750,1.000,1.750,13,1.58,1.07,0.180
 루친스키,9,9,6,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0.167,0.444,0.167,0.611,41,0.97,2.32,0.171
 박준표,1,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,6,1.39,0.80,0.170
 김상수,4,4,4,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,17,1.79,0.91,0.140
 배제성,10,10,10,2,4,1,0,0,5,1,0,0,0,0,0,0,0,0.400,0.400,0.500,0.900,40,1.12,0.82,0.132
 맥과이어,12,12,9,1,2,1,0,0,3,1,2,0,0,2,0,0,1,0.222,0.333,0.333,0.666,63,0.67,0.89,0.128
 김태훈,2,2,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,10,1.57,0.51,0.127
 톰슨,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,8,1.07,1.18,0.126
 유희관,3,3,3,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,10,1.03,1.00,0.116
 금민철,2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.36,1.12,0.106
 김주한,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.44,0.71,0.098
 요키시,10,10,10,1,4,0,1,0,6,0,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,33,0.59,0.92,0.097
 김승현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,1.77,1.88,0.096
 윌슨,9,9,9,1,1,1,0,0,2,1,0,0,0,2,0,0,0,0.111,0.111,0.222,0.333,36,0.91,0.39,0.095
 배재준,4,4,4,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,15,1.02,0.77,0.090
 김민수,6,6,5,1,1,1,0,0,2,1,1,0,0,1,0,0,0,0.200,0.333,0.400,0.733,19,1.22,0.79,0.074
 정우영,4,4,4,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,17,0.72,0.25,0.068
 임기영,5,5,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,23,0.62,0.84,0.068
 서준원,7,7,6,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0.333,0.429,0.500,0.929,32,1.04,0.20,0.067
 신정락,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,3.23,0.44,0.064
 백정현,3,3,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.51,0.65,0.055
 원종현,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,6,0.66,0.21,0.053
 박종훈,12,12,9,0,3,0,0,0,3,0,3,0,0,2,0,0,0,0.333,0.500,0.333,0.833,61,0.87,0.97,0.050
 강지광,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.500,0.500,0.500,1.000,9,2.20,0.12,0.046
 박세웅,4,4,4,1,1,0,1,0,3,0,0,0,0,2,0,0,0,0.250,0.250,0.750,1.000,19,1.18,0.13,0.043
 홍성무,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.60,1.10,0.040
 후랭코프,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.500,0.000,0.500,10,1.02,0.41,0.040
 문경찬,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.75,0.44,0.038
 채병용,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.61,1.00,0.035
 최채흥,7,7,7,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0.429,0.429,0.571,1.000,26,0.87,0.47,0.034
 신재영,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,0.89,0.78,0.034
 진명호,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,0.54,0.54,0.033
 김진성,4,4,3,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0.333,0.500,0.667,1.167,17,0.14,1.24,0.026
 손동현,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,0.34,-0.05,0.022
 윤길현,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.33,1.59,0.020
 임정호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.84,0.24,0.020
 정인욱,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,16,1.03,0.44,0.016
 김시현,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.43,0.44,0.016
 쿠에바스,6,6,6,1,3,0,0,0,3,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,24,1.08,0.30,0.014
 최영환,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.23,0.44,0.009
 김기훈,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.41,0.00,0.007
 류원석,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,0.03,1.90,0.007
 이현호,5,5,4,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,19,0.68,-0.05,0.005
 정수민,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.13,0.44,0.005
 강정현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.18,0.41,0.005
 박정배,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,0.08,0.68,0.004
 이영준,4,4,3,2,1,0,1,0,3,0,1,0,0,2,0,0,0,0.333,0.500,1.000,1.500,18,0.33,0.59,0.003
 박시영,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,10,0.56,0.14,0.002
 박근홍,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.05,0.44,0.002
 최충연,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.16,0.10,0.001
 이민우,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.02,0.27,0.001
 윤지웅,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.10,0.000
 윤강민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.20,0.000
 장지훈,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.00,0.24,0.000
 홍성민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.01,-0.10,0.000
