Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 알칸타라,6,6,6,1,3,0,0,1,6,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,22,1.27,2.28,0.358
 다익손,8,8,8,2,2,0,0,2,8,5,0,0,0,5,0,0,0,0.250,0.250,1.000,1.250,34,1.42,2.35,0.314
 이대은,2,2,2,1,2,0,0,1,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,6,0.52,2.00,0.193
 레일리,9,9,8,2,3,0,0,1,6,1,1,0,0,0,0,0,0,0.375,0.444,0.750,1.194,31,0.84,1.24,0.186
 채드벨,6,6,6,2,3,0,0,1,6,3,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,14,1.35,2.07,0.177
 소사,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,1.63,1.71,0.160
 최원준,2,2,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.90,1.71,0.159
 고효준,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,5,1.84,1.12,0.122
 쿠에바스,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.48,1.12,0.115
 김택형,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.32,0.68,0.093
 김광현,4,4,4,1,1,0,0,1,4,2,0,0,0,3,0,0,0,0.250,0.250,1.000,1.250,23,1.03,1.11,0.087
 후랭코프,3,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,14,0.99,0.95,0.086
 김건국,4,4,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,17,0.67,1.03,0.085
 루친스키,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,14,0.80,0.70,0.053
 톰슨,9,9,8,0,2,0,0,0,2,1,0,1,0,1,0,0,0,0.250,0.333,0.250,0.583,21,0.77,0.42,0.048
 산체스,6,6,6,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,21,0.89,0.62,0.042
 구승민,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,2.99,0.78,0.039
 차명진,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,1.00,0.43,0.029
 김원중,6,6,5,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0.400,0.500,0.400,0.900,18,0.65,-0.25,0.027
 헤일리,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.53,0.54,0.026
 맥과이어,3,3,2,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0.500,0.333,0.500,0.833,9,0.91,0.59,0.025
 이형범,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.41,0.92,0.022
 강지광,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,12,1.88,0.49,0.022
 이태양,3,3,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0.333,0.333,0.333,0.666,10,0.72,-0.36,0.020
 김승회,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,15,0.24,-0.35,0.020
 박종훈,3,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,17,0.61,0.24,0.019
 함덕주,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,0.35,0.00,0.015
 서준원,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.37,0.27,0.014
 김성민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.35,0.44,0.014
 요키시,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,5,1.78,-0.11,0.011
 원종현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.18,0.10,0.010
 장현식,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.16,0.44,0.008
 조한욱,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.19,0.47,0.007
 김현수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.08,0.68,0.004
 최채흥,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.25,0.44,0.004
