Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 박상원,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,3.35,1.71,0.285
 브리검,3,3,2,0,1,1,0,0,2,3,0,1,0,0,0,0,0,0.500,0.667,1.000,1.667,7,1.65,2.24,0.213
 소사,2,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,7,0.86,1.24,0.168
 홍건희,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,1.32,1.15,0.162
 장필준,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,18,2.17,-0.06,0.147
 전상현,2,2,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,11,1.52,0.43,0.125
 장원삼,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,3,0.81,1.57,0.107
 윤성환,3,3,3,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,19,0.87,0.85,0.089
 유희관,3,3,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,9,0.71,0.79,0.064
 김윤수,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,1.29,0.48,0.064
 김민,5,5,5,0,1,1,0,0,2,2,0,0,0,3,0,0,0,0.200,0.200,0.400,0.600,22,0.88,0.79,0.062
 정찬헌,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,4.05,0.26,0.055
 김재윤,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,1.46,0.76,0.052
 최충연,3,3,2,1,1,0,0,1,4,1,1,0,0,1,0,0,0,0.500,0.667,2.000,2.667,11,0.55,1.00,0.049
 금민철,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.27,0.64,0.043
