Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 조상우,3,3,3,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,6,1.73,0.16,0.528
 장필준,2,1,1,1,1,0,0,1,4,1,1,0,1,0,0,0,0,1.000,1.000,4.000,5.000,3,3.47,1.00,0.437
 홍건희,5,5,5,1,4,0,0,1,7,4,0,0,0,1,0,0,0,0.800,0.800,1.400,2.200,19,0.96,3.51,0.337
 김민수,6,6,5,1,3,1,0,1,7,4,0,0,0,0,1,0,1,0.600,0.500,1.400,1.900,13,1.36,1.73,0.328
 윌슨,9,9,9,2,5,0,0,0,5,1,0,0,0,1,0,0,0,0.556,0.556,0.556,1.112,25,0.99,1.93,0.227
 이용찬,11,11,11,2,4,1,0,1,8,4,0,0,0,1,0,0,0,0.364,0.364,0.727,1.091,34,0.98,1.13,0.189
 원태인,9,9,9,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0.222,0.222,0.556,0.778,39,1.12,0.82,0.187
 이우찬,9,9,9,1,2,0,0,1,5,3,0,0,0,3,0,0,0,0.222,0.222,0.556,0.778,37,1.02,1.20,0.173
 브리검,5,5,5,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,17,1.18,1.27,0.170
 이승호,9,9,8,4,4,3,0,1,10,2,1,0,0,1,0,0,0,0.500,0.556,1.250,1.806,27,1.01,1.72,0.159
 금민철,2,2,2,1,2,0,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.93,1.44,0.154
 최채흥,3,3,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,11,1.21,1.71,0.150
 루친스키,7,7,7,2,2,0,0,1,5,2,0,0,0,1,1,0,0,0.286,0.286,0.714,1.000,23,1.05,0.76,0.149
 장시환,4,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,16,1.28,1.07,0.149
 박희수,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,1.25,1.32,0.134
 전상현,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,9,1.21,0.45,0.132
 켈리,9,9,8,2,3,1,0,0,4,0,1,0,0,1,0,0,0,0.375,0.444,0.500,0.944,31,0.82,1.70,0.129
 이정현,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,0.87,1.04,0.118
 프리드릭,3,3,3,1,2,0,0,0,2,2,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,1.11,1.14,0.117
 백정현,3,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,10,0.98,1.27,0.112
 톰슨,3,3,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,16,1.11,1.00,0.099
 안우진,5,5,5,1,3,0,0,0,3,2,0,0,0,1,1,0,0,0.600,0.600,0.600,1.200,18,1.29,1.75,0.094
 이현호,5,5,3,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0.333,0.600,0.333,0.933,15,0.75,0.66,0.091
 김민,9,9,8,2,2,0,0,0,2,1,1,0,0,1,0,0,0,0.250,0.333,0.250,0.583,32,0.90,0.55,0.091
 다익손,3,3,3,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,6,1.34,0.91,0.084
 후랭코프,3,3,2,1,1,0,0,1,4,1,1,0,1,0,0,0,0,0.500,0.667,2.000,2.667,11,1.11,0.55,0.082
