Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 박세웅,2,2,2,1,2,0,0,1,5,3,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,6,1.70,2.69,0.293
 라이트,2,2,2,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,5,0.77,0.92,0.104
 김원중,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.63,0.29,0.097
 임정호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.34,0.46,0.052
 문경찬,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.39,0.29,0.049
 노성호,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.91,0.29,0.040
 윤대경,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,0.21,0.45,0.027
 허윤동,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1.000,,,8,1.32,0.09,0.014
 송승준,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.87,-0.06,0.014
 이대은,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.21,0.22,0.012
 이태양,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,6,0.31,0.28,0.011
 윤명준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.29,0.46,0.011
 최지광,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.14,0.12,0.004
 김현수,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.08,0.38,0.002
 이원준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.02,0.29,0.001
 한승지,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,0.01,0.99,0.000
 이승현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.02,0.12,0.000
 배재환,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1,0.04,0.17,0.000
 문동욱,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.01,0.29,0.000
 오현택,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.12,0.000
