Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이영하,4,4,4,2,3,1,0,1,7,3,0,0,0,0,0,0,0,0.750,0.750,1.750,2.500,15,1.44,2.78,0.578
 박상원,3,3,3,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,15,1.99,2.34,0.476
 이현호,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,3.69,1.02,0.412
 서준원,8,8,7,2,3,0,0,1,6,4,1,0,0,2,0,0,0,0.429,0.500,0.857,1.357,36,1.35,4.12,0.406
 진해수,5,5,5,1,2,0,0,0,2,2,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,13,2.16,1.16,0.312
 스트레일리,13,13,12,2,4,2,0,1,9,5,0,0,0,5,0,0,1,0.333,0.308,0.750,1.058,49,0.87,1.92,0.298
 양현종,6,6,6,3,5,0,0,1,8,2,0,0,0,0,0,0,0,0.833,0.833,1.333,2.166,32,0.69,4.20,0.262
 김정빈,3,3,2,1,2,0,0,1,5,5,0,1,0,0,0,0,0,1.000,1.000,2.500,3.500,8,1.72,3.77,0.256
 배제성,3,3,3,1,2,0,0,1,5,2,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,14,1.45,1.97,0.223
 조현우,3,3,3,0,2,1,0,0,3,2,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,11,1.04,1.78,0.208
 라이트,6,6,5,1,2,1,0,0,3,2,1,0,0,1,0,0,0,0.400,0.500,0.600,1.100,23,1.30,1.11,0.197
 데스파이네,14,13,12,1,5,1,0,0,6,1,1,0,0,2,0,1,0,0.417,0.462,0.500,0.962,51,0.98,0.20,0.190
 장시환,6,6,5,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0.400,0.500,0.400,0.900,28,1.31,1.25,0.184
 김태훈,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,1.43,0.50,0.174
 가뇽,12,12,12,1,6,2,0,0,8,2,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,41,0.88,2.55,0.171
 박종훈,9,9,7,3,5,2,0,0,7,1,1,1,0,1,0,0,0,0.714,0.778,1.000,1.778,31,0.52,2.55,0.164
 윌슨,7,7,7,2,2,1,0,0,3,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,22,0.95,1.85,0.164
 소형준,6,6,5,2,3,1,0,0,4,1,0,1,0,0,0,0,0,0.600,0.667,0.800,1.467,20,1.08,1.33,0.152
 이승진,6,6,5,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0.400,0.500,0.400,0.900,21,1.06,0.74,0.152
 임기영,12,12,12,2,6,2,0,1,11,2,0,0,0,3,0,0,0,0.500,0.500,0.917,1.417,40,0.78,1.69,0.150
 송명기,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.61,0.90,0.149
 박주홍,2,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,4,1.14,1.52,0.139
 백승건,3,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,13,0.94,1.60,0.132
 문승원,8,8,8,1,3,1,0,0,4,3,0,0,0,2,0,0,0,0.375,0.375,0.500,0.875,32,1.16,1.58,0.119
