Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 주권,4,4,3,1,1,0,0,1,4,2,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,14,2.55,1.39,0.542
 알칸타라,13,13,12,3,6,0,0,2,12,2,1,0,0,1,0,0,0,0.500,0.538,1.000,1.538,60,0.88,2.46,0.381
 김태훈,2,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,7,2.25,1.72,0.335
 이형범,3,3,2,1,1,0,0,0,1,2,0,1,0,1,0,0,0,0.500,0.667,0.500,1.167,18,3.23,1.49,0.232
 이승현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,3.73,1.00,0.177
 이승헌,7,7,6,3,3,0,0,0,3,1,1,0,0,1,0,0,0,0.500,0.571,0.500,1.071,40,0.91,1.11,0.168
 이승민,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,1.86,1.64,0.168
 이민호,14,14,9,2,3,1,0,0,4,0,3,2,0,1,0,0,0,0.333,0.571,0.444,1.015,64,0.99,1.39,0.160
 플렉센,6,5,4,1,1,0,0,1,4,3,1,0,0,1,0,1,0,0.250,0.400,1.000,1.400,30,1.56,1.16,0.159
 핀토,6,6,4,1,2,0,0,1,5,2,2,0,0,1,0,0,0,0.500,0.667,1.250,1.917,34,0.79,1.64,0.144
 조상우,4,4,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0.500,0.750,0.500,1.250,14,1.15,1.08,0.133
 구승민,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.62,1.00,0.126
 김민,3,3,2,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,14,0.46,2.06,0.113
 이건욱,6,6,5,2,2,0,0,0,2,1,0,1,0,0,0,0,0,0.400,0.500,0.400,0.900,25,0.93,1.93,0.100
 한현희,5,5,4,1,2,1,0,0,3,2,0,1,0,0,1,0,0,0.500,0.600,0.750,1.350,17,0.92,0.77,0.080
 임규빈,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,0.90,0.59,0.078
 김주한,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.11,0.71,0.073
 김범수,3,3,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,1.000,1.000,2.000,3.000,16,0.50,1.12,0.069
 박상원,3,3,3,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,10,0.28,1.29,0.061
 안영명,2,2,2,2,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,6,0.49,1.68,0.059
 최채흥,8,8,6,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0.167,0.375,0.167,0.542,32,0.75,-0.06,0.058
 신정락,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.01,0.49,0.055
 박준표,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,4.05,0.22,0.055
 박종기,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.64,0.49,0.054
 김건국,4,4,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.500,0.000,0.500,18,0.60,0.20,0.050
 가뇽,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,16,1.00,0.37,0.050
 함덕주,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.30,0.28,0.048
 홍상삼,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.05,0.28,0.047
 서진용,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,6,2.60,-0.10,0.046
 이준영,4,4,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,22,0.37,0.00,0.043
 김대우,3,3,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,11,0.45,0.64,0.043
 이인복,3,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,11,0.67,0.51,0.043
 김태훈,8,8,4,3,1,0,0,0,1,0,4,0,0,1,1,0,0,0.250,0.625,0.250,0.875,45,0.97,1.16,0.040
 임기영,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.82,0.46,0.033
 백승건,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,13,0.42,-0.09,0.033
 양현,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.74,0.28,0.032
 박희수,4,4,4,0,3,1,0,0,4,1,0,0,0,0,0,0,0,0.750,0.750,1.000,1.750,15,0.29,1.52,0.032
 유원상,4,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,25,0.63,-0.40,0.031
 문경찬,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.38,0.12,0.029
 백정현,3,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,12,0.79,0.54,0.024
 김대우,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.31,0.56,0.023
 조영우,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.44,-0.44,0.023
 이정용,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.47,0.67,0.022
 이대은,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,3.07,0.01,0.021
 최원준,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,14,0.53,-0.22,0.020
