Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 양현종,10,10,9,2,5,1,0,0,6,3,1,0,0,0,1,0,0,0.556,0.600,0.667,1.267,34,1.14,2.06,0.327
 김재윤,5,5,5,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,17,1.50,1.70,0.278
 이민우,6,6,6,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,19,1.02,0.95,0.215
 김진호,2,2,1,1,1,0,0,1,4,3,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,1.00,2.79,0.205
 김민우,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,1.53,0.32,0.148
 샘슨,5,5,4,1,1,1,0,0,2,1,0,1,0,0,1,0,0,0.250,0.400,0.500,0.900,11,1.04,0.28,0.123
 정우람,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,3.13,0.57,0.111
 김태훈,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.99,1.21,0.110
 장민재,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.92,0.72,0.108
 오승환,2,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,2.00,0.83,0.105
 김민수,4,4,2,1,2,0,0,0,2,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,20,0.66,1.69,0.091
 고영창,3,3,3,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666,15,0.85,-0.36,0.086
 김윤식,2,2,1,0,1,0,0,0,1,3,0,0,0,0,0,0,1,1.000,0.500,1.000,1.500,7,0.97,1.15,0.084
 가뇽,3,3,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,16,1.05,0.69,0.081
 송명기,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,3.04,0.49,0.080
 라이트,10,10,8,1,2,0,0,0,2,0,2,0,0,3,0,0,0,0.250,0.400,0.250,0.650,41,1.36,0.12,0.066
 문경찬,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.23,-1.94,0.063
 이재학,5,5,3,1,1,0,1,0,3,1,2,0,0,0,0,0,0,0.333,0.600,1.000,1.600,29,0.94,0.71,0.063
 브룩스,3,3,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,9,0.56,1.04,0.062
 조상우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.80,0.28,0.062
