Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 유희관,3,3,3,2,2,1,1,0,5,0,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,11,0.82,1.42,0.150
 원태인,3,3,1,2,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,0.89,1.58,0.105
 김진영,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.83,0.46,0.092
 임창민,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,11,1.28,0.61,0.086
 노경은,3,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,13,0.48,0.53,0.085
 하준호,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.01,1.10,0.077
 조현우,2,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,1.75,0.40,0.073
 박시영,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.12,1.72,0.067
 박세웅,3,3,3,1,1,0,0,1,4,1,0,0,0,2,0,0,0,0.333,0.333,1.333,1.666,10,0.95,0.43,0.049
 뷰캐넌,3,3,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,17,1.40,0.04,0.041
 플렉센,3,3,3,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,16,0.62,0.40,0.036
 김민수,3,3,3,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,15,0.57,2.16,0.027
 김민,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,11,0.59,0.05,0.027
 송승준,2,2,2,1,2,0,1,0,4,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.37,1.62,0.022
 이영하,3,3,3,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,17,1.02,-0.01,0.019
 류진욱,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.79,0.28,0.018
 송은범,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,0.16,0.96,0.012
 신민혁,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,0.96,0.00,0.009
 박민호,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.72,-0.57,0.007
