Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김태훈,2,2,2,1,2,1,0,1,6,2,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,6,1.23,2.44,0.252
 윌슨,3,3,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,1.19,1.71,0.192
 김진영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,3.46,0.90,0.180
 최원태,4,4,4,2,3,0,0,1,6,1,0,0,0,0,0,0,0,0.750,0.750,1.500,2.250,23,1.04,1.63,0.170
 조영건,2,2,2,1,2,1,0,1,6,2,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,4,0.89,2.32,0.169
 문승원,5,5,5,1,2,1,0,1,6,4,0,0,0,1,0,0,0,0.400,0.400,1.200,1.600,20,0.69,2.97,0.168
 이승현,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,8,1.15,0.76,0.162
 조현우,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.21,0.74,0.152
 이영하,2,2,2,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,2.15,0.91,0.150
 허윤동,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,1.000,,,3,2.23,1.00,0.077
 켈리,4,4,4,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0.250,0.250,0.250,0.500,23,1.06,0.25,0.076
 배제성,5,5,4,0,1,1,0,0,2,1,1,0,0,1,0,0,0,0.250,0.400,0.500,0.900,20,1.45,0.20,0.060
 원종현,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,0.65,2.00,0.044
 김민수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.28,0.49,0.037
 송명기,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.500,0.500,0.500,1.000,8,0.54,-0.63,0.033
 노경은,2,2,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,8,0.76,0.37,0.027
 박세웅,4,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,12,1.17,0.08,0.027
 김종수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.66,0.46,0.024
 김범수,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.60,0.17,0.023
 핀토,6,6,5,1,3,0,0,0,3,0,1,0,0,1,0,0,0,0.600,0.667,0.600,1.267,24,1.07,0.61,0.022
 스트레일리,5,5,5,1,3,0,0,0,3,0,0,0,0,1,0,0,0,0.600,0.600,0.600,1.200,16,0.86,0.08,0.020
 박상원,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.25,0.68,0.016
 김상수,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,10,0.56,-0.45,0.015
 채지선,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.24,0.46,0.011
 오현택,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.39,0.49,0.011
 김대현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.31,0.12,0.008
 송승준,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,0.18,0.00,0.007
 최성훈,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.15,0.46,0.006
 임규빈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.16,0.29,0.006
 김성훈,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,1,0.35,-0.34,0.005
 박치국,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.09,0.49,0.004
 김명신,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.09,0.46,0.004
 김원중,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.04,0.12,0.003
 윤정현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.11,0.28,0.002
 김주온,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.05,0.40,0.002
 홍정우,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,4,0.02,0.34,0.001
 최준용,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.02,0.29,0.001
 장지훈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.00,0.46,0.000
 황영국,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.02,-0.55,0.000
 최영환,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.02,-0.18,0.000
 여건욱,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.02,-0.44,-0.001
 김성민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.02,0.88,-0.001
