Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 유희관,10,10,8,3,6,2,0,2,14,6,1,0,0,1,0,0,1,0.750,0.700,1.750,2.450,38,0.93,6.05,0.470
 진해수,8,8,7,4,4,1,0,1,8,1,1,0,0,2,0,0,0,0.571,0.625,1.143,1.768,43,1.77,2.09,0.444
 이승호,7,7,4,4,2,0,0,2,8,5,3,0,0,0,0,0,0,0.500,0.714,2.000,2.714,31,0.87,5.59,0.391
 여건욱,2,2,2,2,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,9,1.21,0.08,0.369
 이승현,4,4,4,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.250,0.250,1.000,1.250,12,1.30,0.96,0.367
 윌슨,8,8,8,2,5,0,0,2,11,5,0,0,0,1,0,0,0,0.625,0.625,1.375,2.000,30,0.76,3.84,0.355
 켈리,10,10,8,3,4,0,0,2,10,3,2,0,0,0,1,0,0,0.500,0.600,1.250,1.850,33,1.14,3.61,0.353
 김윤수,5,5,5,1,3,0,0,1,6,3,0,0,0,0,0,0,0,0.600,0.600,1.200,1.800,13,0.79,2.90,0.351
 권휘,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,3.44,1.54,0.345
 라이트,12,12,9,2,5,1,0,0,6,2,3,0,0,2,1,0,0,0.556,0.667,0.667,1.334,39,1.67,2.87,0.336
 정우람,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,11,3.20,-0.76,0.331
 핀토,15,15,15,4,7,2,0,1,12,4,0,0,0,2,1,0,0,0.467,0.467,0.800,1.267,57,1.16,2.88,0.329
 이영하,3,3,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,1.90,1.40,0.285
 최준용,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,2.53,1.89,0.282
 최원태,12,12,12,2,5,0,0,2,11,4,0,0,0,3,0,0,0,0.417,0.417,0.917,1.334,50,0.90,1.83,0.255
 이민우,8,8,7,1,4,0,0,0,4,4,0,0,0,2,0,0,1,0.571,0.500,0.571,1.071,26,0.99,2.44,0.255
 김태훈,6,6,5,2,1,0,0,1,4,1,1,0,0,2,0,0,0,0.200,0.333,0.800,1.133,23,0.88,0.57,0.223
 샘슨,6,6,4,1,2,1,0,0,3,1,2,0,0,1,0,0,0,0.500,0.667,0.750,1.417,34,1.23,2.09,0.215
 문승원,6,6,4,1,2,0,0,1,5,1,2,0,0,0,0,0,0,0.500,0.667,1.250,1.917,22,0.77,1.71,0.205
 서폴드,6,6,6,2,2,1,0,1,6,2,0,0,0,2,0,0,0,0.333,0.333,1.000,1.333,27,0.62,1.04,0.190
 가뇽,9,9,9,2,4,1,0,0,5,1,0,0,0,2,0,0,0,0.444,0.444,0.556,1.000,34,1.06,1.82,0.188
 박종훈,8,8,8,1,2,0,0,1,5,4,0,0,0,1,0,0,0,0.250,0.250,0.625,0.875,35,1.02,1.53,0.184
 이건욱,9,9,8,2,3,0,1,0,5,2,1,0,0,0,0,0,0,0.375,0.444,0.625,1.069,35,0.64,2.64,0.172
 이원준,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,2.32,0.77,0.172
 임기영,5,5,5,2,2,1,0,0,3,2,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,18,1.29,1.69,0.169
 양현종,8,8,8,3,3,1,0,0,4,3,0,0,0,3,0,0,0,0.375,0.375,0.500,0.875,27,1.48,0.77,0.158
 서준원,6,6,6,1,2,1,0,1,6,2,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,24,0.87,2.05,0.154
 이민호,6,6,6,1,3,1,0,1,7,1,0,0,0,1,0,0,0,0.500,0.500,1.167,1.667,23,0.69,1.36,0.151
 최원준,7,7,6,2,2,0,0,1,5,1,1,0,0,1,0,0,0,0.333,0.429,0.833,1.262,25,0.64,0.98,0.146
 원태인,9,8,8,2,4,0,0,1,7,2,1,0,1,2,0,0,0,0.500,0.556,0.875,1.431,33,0.83,0.73,0.143
 박시영,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.36,0.90,0.140
 루친스키,15,15,15,2,5,1,0,2,12,3,0,0,0,5,0,0,0,0.333,0.333,0.800,1.133,52,0.97,0.06,0.139
 송은범,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.58,1.88,0.133
 이상민,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.85,1.00,0.127
 강윤구,3,3,2,1,2,1,0,0,3,1,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500,13,0.92,1.66,0.124
 임정호,2,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,12,1.63,1.12,0.123
 이승민,5,5,5,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0.400,0.400,1.000,1.400,20,1.15,0.70,0.118
 한현희,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,8,1.18,1.02,0.106
 요키시,11,11,8,3,4,1,0,0,5,0,3,0,0,2,1,0,0,0.500,0.636,0.625,1.261,61,0.96,2.26,0.102
 김건국,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,1.34,0.37,0.102
 차우찬,6,6,6,2,2,1,0,1,6,1,0,0,0,1,0,0,0,0.333,0.333,1.000,1.333,24,0.60,1.12,0.101
 이용찬,6,6,6,2,3,0,0,1,6,3,0,0,0,2,0,0,0,0.500,0.500,1.000,1.500,26,0.78,1.71,0.100
 이상규,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.99,0.95,0.090
 윤성환,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.90,1.01,0.089
 스트레일리,12,12,11,2,4,3,0,0,7,0,1,0,0,3,0,0,0,0.364,0.417,0.636,1.053,52,0.78,0.93,0.086
 함덕주,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.29,0.74,0.086
 이재학,3,3,2,1,2,0,0,1,5,2,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,18,0.45,2.15,0.082
 김상수,5,5,4,2,3,1,0,0,4,1,1,0,0,1,0,0,0,0.750,0.800,1.000,1.800,19,1.39,1.67,0.080
 장현식,4,4,3,1,1,0,0,1,4,3,0,0,0,1,0,0,1,0.333,0.250,1.333,1.583,20,1.32,0.22,0.078
 오동욱,3,3,3,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,10,0.71,0.60,0.072
 조성운,3,3,3,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,12,0.45,0.63,0.067
 박치국,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,0.49,1.27,0.065
 채드벨,9,9,6,2,1,0,0,1,4,2,2,1,0,2,0,0,0,0.167,0.444,0.667,1.111,35,0.82,1.09,0.060
 박세웅,13,13,11,2,4,0,0,1,7,1,2,0,0,3,0,0,0,0.364,0.462,0.636,1.098,54,0.84,1.34,0.051
 황영국,2,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,13,0.50,0.75,0.048
 김이환,5,5,4,1,2,1,0,0,3,1,0,0,0,0,0,0,1,0.500,0.400,0.750,1.150,14,1.08,0.68,0.047
 이태양,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,0.35,0.55,0.044
 이현호,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.29,1.00,0.041
 박진우,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.34,2.23,0.034
 장필준,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.35,0.26,0.033
 허윤동,4,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,16,0.67,0.41,0.029
 박민호,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,9,0.73,0.43,0.028
 임창민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.71,0.38,0.027
 홍성민,1,1,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.44,2.17,0.026
 문경찬,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.50,1.16,0.018
 김택형,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.65,0.49,0.018
 김진영,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,11,0.36,0.51,0.018
 박진태,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.21,2.00,0.017
 김선기,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.37,0.34,0.016
 장시환,5,5,5,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,23,0.74,0.34,0.015
 정해영,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,11,1.33,0.00,0.015
 이재익,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.05,1.00,0.014
 신재웅,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,0.23,0.08,0.009
 김동혁,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,7,0.04,1.71,0.006
 뷰캐넌,6,6,5,1,1,0,0,1,4,1,1,0,0,2,1,0,0,0.200,0.333,0.800,1.133,29,0.85,0.05,0.005
 문대원,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.15,0.49,0.004
 박희수,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,10,0.25,0.01,0.004
 김민우,6,6,5,1,1,1,0,0,2,1,1,0,0,2,0,0,0,0.200,0.333,0.400,0.733,29,0.90,0.17,0.004
 김범수,6,6,6,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,22,1.22,-0.27,0.004
 박주홍,2,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,8,0.02,1.03,0.002
 김진욱,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.08,0.12,0.002
 임준섭,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.02,0.59,0.002
 최지광,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.03,0.12,0.001
 정영일,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.06,0.28,0.001
 김현준,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.04,0.29,0.001
 윤대경,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,1.29,-0.27,0.001
 송윤준,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,5,0.03,0.49,0.001
 장원삼,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.01,1.71,0.001
 황인준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.01,0.12,0.000
 김찬호,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,0.00,1.88,0.000
 임규빈,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,0.13,0.14,0.000
 배민서,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.01,-0.20,0.000
 윤호솔,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.00,-0.34,0.000
 서동민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.00,0.46,0.000
 박신지,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,8,0.02,0.67,0.000
 고영창,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,5,0.02,0.34,0.000
 서덕원,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.01,-0.29,0.000
 김주한,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.03,-0.29,-0.001
 고효준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.06,-0.24,-0.002
 조영우,5,5,4,1,2,1,0,1,6,3,0,0,0,1,0,0,1,0.500,0.400,1.500,1.900,21,0.62,1.05,-0.002
 최세창,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.13,-0.29,-0.003
 오승환,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.15,-0.34,-0.004
 권오준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.14,-0.12,-0.004
 장민재,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,18,0.52,-0.42,-0.004
 홍성무,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,4,0.07,1.71,-0.005
 김대우,4,4,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,12,0.20,0.96,-0.005
 김건태,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.23,-0.18,-0.006
 최동환,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,17,1.45,-0.21,-0.006
 브룩스,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.12,-0.70,-0.007
 김진성,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.13,-0.30,-0.007
 김영규,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,1,0.94,-0.11,-0.008
 하재훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.35,-0.12,-0.009
 한승혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.36,-0.29,-0.009
 양승철,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,11,0.39,-0.45,-0.011
 김세현,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000,10,0.28,-1.59,-0.015
 윤명준,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,0.21,-1.16,-0.016
 이승진,8,8,6,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0.000,0.250,0.000,0.250,37,1.17,-0.40,-0.017
 안영명,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.35,-0.52,-0.017
 김원중,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,13,1.01,-0.34,-0.018
 김현수,4,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,21,0.73,-0.41,-0.020
 김재웅,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.40,-0.24,-0.021
 알칸타라,8,8,8,0,2,1,0,0,3,1,0,0,0,3,0,0,0,0.250,0.250,0.375,0.625,29,1.00,-0.45,-0.023
 김강률,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.91,-0.29,-0.023
 김대우,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,16,0.37,-0.91,-0.026
 박정수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,8,0.87,-0.68,-0.031
 임현준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,1.34,-0.29,-0.034
 진명호,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,14,0.34,-0.10,-0.035
 구승민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.39,-0.18,-0.035
