Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정우영,6,6,5,1,1,0,0,1,4,4,1,0,0,4,0,0,0,0.200,0.333,0.800,1.133,27,2.36,1.35,0.447
 이승진,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,4.13,1.78,0.369
 서폴드,12,12,10,2,2,0,0,1,5,4,1,0,0,4,0,0,1,0.200,0.250,0.500,0.750,58,1.03,2.13,0.251
 김윤식,6,6,5,3,3,0,0,2,9,3,0,1,0,1,0,0,0,0.600,0.667,1.800,2.467,23,0.72,2.93,0.192
 임정호,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,2.30,1.44,0.165
 홍건희,2,2,2,2,2,0,0,2,8,5,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,8,0.68,4.10,0.162
 윤명준,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.99,1.71,0.146
 진명호,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,3.74,1.00,0.137
 핀토,6,6,4,1,1,0,0,0,1,2,2,0,0,1,0,0,0,0.250,0.500,0.250,0.750,25,0.90,1.58,0.137
 유원상,5,5,4,3,3,1,0,0,4,0,1,0,0,1,0,0,0,0.750,0.800,1.000,1.800,21,0.72,2.08,0.128
 신정락,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,1.57,1.18,0.127
 박치국,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,0.87,1.94,0.112
 최채흥,3,3,2,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,11,1.25,1.12,0.107
 김건태,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.92,1.23,0.099
 김민,4,4,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0.000,0.750,0.000,0.750,16,1.20,1.04,0.093
 김재윤,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.38,0.49,0.082
 김영규,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,8,0.83,0.76,0.079
 김이환,5,5,4,2,1,0,0,1,4,2,1,0,0,1,0,0,0,0.250,0.400,1.000,1.400,28,1.68,1.31,0.077
 정영일,2,2,1,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,17,0.36,1.12,0.076
 윤대경,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.92,0.49,0.073
 전상현,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,13,0.92,0.16,0.071
 최영환,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.38,1.00,0.068
 백정현,5,5,4,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0.250,0.400,0.250,0.650,26,1.05,0.37,0.065
 송윤준,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,0.90,0.17,0.058
 김대현,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.000,0.500,0.000,0.500,6,1.71,-0.21,0.052
 문승원,6,6,4,2,2,0,0,0,2,0,2,0,0,1,0,0,0,0.500,0.667,0.500,1.167,24,0.90,0.54,0.051
 가뇽,3,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.500,0.667,0.500,1.167,13,0.97,0.44,0.044
 최동환,2,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,4,0.08,1.28,0.039
 박종기,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.05,0.64,0.039
 이대은,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.93,0.46,0.038
 장민재,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,12,0.82,0.81,0.037
 켈리,6,6,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0.000,0.500,0.000,0.500,22,1.21,0.13,0.036
 이상규,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.49,0.77,0.035
 이민우,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,17,1.04,0.33,0.029
 박진우,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,0.95,0.03,0.029
 장시환,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,16,1.47,0.38,0.028
 윤성환,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.67,0.17,0.025
 최원준,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,11,0.97,0.22,0.025
 김대우,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,15,0.59,0.23,0.023
 김민규,4,4,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,16,0.60,-0.71,0.018
 김주한,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,13,0.91,0.11,0.016
 오현택,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.18,1.00,0.016
 이건욱,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.000,0.333,0.000,0.333,9,1.35,-0.18,0.012
 김현준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.40,0.49,0.012
 장현식,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,12,0.12,0.23,0.008
 서균,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.24,0.12,0.007
 노경은,5,5,3,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0.000,0.200,0.000,0.200,18,1.01,-0.06,0.006
 윤규진,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,0.11,1.19,0.005
 최준용,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.11,1.00,0.005
 강동호,2,2,1,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,12,0.05,1.46,0.005
 김민수,6,6,6,2,2,0,0,1,5,2,0,0,0,1,1,0,0,0.333,0.333,0.833,1.166,22,0.65,1.30,0.003
 김명신,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.07,0.46,0.003
 조병욱,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,0.03,1.00,0.001
 송은범,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.02,0.46,0.001
 이원준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.11,0.21,0.001
 고영창,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.02,0.12,0.000
 송명기,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.00,0.46,0.000
 이강준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.18,0.000
 박정수,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,16,0.85,0.41,0.000
 홍정우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.05,-0.89,-0.001
 권휘,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.06,-0.29,-0.002
 박상원,3,3,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0.000,0.667,0.000,0.667,10,0.26,0.11,-0.002
 정찬헌,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,17,0.87,-0.24,-0.004
 정해영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.20,-0.29,-0.005
 송승준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.24,-0.12,-0.006
 김종수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.27,-0.18,-0.007
 조영우,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,12,0.17,-0.83,-0.008
 금민철,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,1,0.13,-1.30,-0.008
 구승민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.35,-0.18,-0.009
 김세현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.35,-0.29,-0.009
 우규민,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,19,0.43,-0.68,-0.011
 조현우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.42,-0.62,-0.012
 박시영,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.51,-0.18,-0.013
 박세웅,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,12,1.03,-0.29,-0.014
 이태양,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000,13,0.24,-0.87,-0.014
 이현호,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.66,-0.52,-0.017
 이영하,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,0.18,-1.45,-0.018
 신민혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.72,-0.24,-0.020
 이형범,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.90,-0.29,-0.023
 변시원,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.90,-0.29,-0.023
 김정빈,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.90,-0.52,-0.023
 노성호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.99,-0.46,-0.023
 유희관,5,5,4,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.200,0.000,0.200,29,0.66,-0.93,-0.023
 이인복,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.05,-0.34,-0.025
 박진형,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.56,0.10,-0.025
 홍성민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.11,-0.46,-0.025
 임기영,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.52,-0.40,-0.027
 채지선,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.68,0.13,-0.028
 김민우,5,5,3,0,1,0,0,0,1,1,2,0,0,1,1,0,0,0.333,0.600,0.333,0.933,24,1.26,0.19,-0.029
 최성영,4,4,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.333,0.500,0.333,0.833,21,1.20,-0.33,-0.030
 데스파이네,6,6,6,0,2,1,0,0,3,0,0,0,0,3,0,0,0,0.333,0.333,0.500,0.833,25,1.03,-0.24,-0.030
 최지광,3,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.000,0.333,0.000,0.333,6,0.59,-0.36,-0.030
 루친스키,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11,0.37,-0.54,-0.031
 구창모,6,6,5,1,1,0,0,0,1,0,1,0,0,3,0,0,0,0.200,0.333,0.200,0.533,29,0.81,-0.36,-0.035
 스트레일리,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,12,0.48,-0.58,-0.036
 서준원,5,5,5,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,25,1.44,-0.65,-0.039
 윌슨,6,6,3,1,0,0,0,0,0,0,2,1,0,3,0,0,0,0.000,0.500,0.000,0.500,30,1.21,-0.31,-0.039
 서진용,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,1.23,-0.32,-0.042
 김강률,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,9,1.39,0.22,-0.043
 쿠에바스,12,12,10,1,2,0,0,1,5,3,1,0,0,2,1,0,1,0.200,0.250,0.500,0.750,61,1.12,-0.95,-0.045
 이보근,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,13,0.72,-0.35,-0.046
 박주홍,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.000,0.333,0.000,0.333,12,1.50,-0.91,-0.047
 박민호,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,15,0.57,-1.55,-0.048
 하준호,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,8,0.79,0.06,-0.050
 오승환,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,2.32,-0.29,-0.059
 김윤수,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,1.81,-0.35,-0.060
 여건욱,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666,11,0.48,-0.05,-0.063
 손동현,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,10,0.80,-0.97,-0.066
 전유수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,1.93,-0.63,-0.069
 알칸타라,9,9,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.000,0.000,0.000,0.000,32,0.97,-1.25,-0.072
 임찬규,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,15,0.71,-1.21,-0.074
 배재환,4,4,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.000,0.250,0.000,0.250,17,0.74,-1.86,-0.078
 박종훈,6,6,5,1,1,0,0,1,4,1,1,0,0,3,0,0,0,0.200,0.333,0.800,1.133,30,1.52,-0.70,-0.080
 원태인,5,5,4,2,1,0,0,1,4,3,1,0,0,0,0,0,0,0.250,0.400,1.000,1.400,20,1.59,0.68,-0.080
