Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 전상현,4,4,4,1,3,0,0,1,6,5,0,0,0,0,0,0,0,0.750,0.750,1.500,2.250,16,1.51,3.17,0.413
 류희운,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,2.26,-0.58,0.363
 김진영,5,5,5,2,3,0,0,0,3,3,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,22,1.17,2.14,0.340
 백정현,6,6,5,2,3,0,0,2,9,3,1,0,0,1,0,0,0,0.600,0.667,1.800,2.467,22,0.89,2.50,0.276
 김민수,3,3,2,2,1,0,0,1,4,2,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,18,1.35,1.39,0.270
 박진형,3,3,3,2,2,0,0,1,5,2,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,12,1.31,2.29,0.247
 한현희,8,8,7,2,4,0,0,0,4,1,0,1,0,1,0,0,0,0.571,0.625,0.571,1.196,25,0.95,3.34,0.221
 요키시,6,6,4,1,2,0,0,0,2,1,2,0,0,0,0,0,0,0.500,0.667,0.500,1.167,27,1.36,1.61,0.221
 서폴드,4,4,3,2,2,0,0,1,5,2,1,0,0,0,0,0,0,0.667,0.750,1.667,2.417,18,0.97,2.34,0.192
 이형범,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,16,2.41,1.08,0.182
 김진욱,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,2.83,0.90,0.171
 양현종,6,6,5,2,4,1,0,0,5,1,1,0,0,1,0,0,0,0.800,0.833,1.000,1.833,18,0.89,2.84,0.159
 문승원,5,5,3,1,2,0,0,0,2,0,2,0,0,1,0,0,0,0.667,0.800,0.667,1.467,29,1.02,1.41,0.135
 정해영,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.68,0.79,0.131
 최원태,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,0.80,0.71,0.109
 이승호,7,7,4,1,1,0,0,1,4,3,3,0,0,1,0,0,0,0.250,0.571,1.000,1.571,34,0.77,2.37,0.109
 김현수,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.41,1.43,0.103
 조병욱,2,2,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,0.64,1.44,0.103
 이승민,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.65,0.90,0.101
 이건욱,7,7,4,1,1,1,0,0,2,1,1,1,0,1,0,0,1,0.250,0.429,0.500,0.929,30,0.95,0.79,0.093
 라이블리,5,5,5,1,2,1,0,0,3,1,0,0,0,2,0,0,0,0.400,0.400,0.600,1.000,17,1.10,0.39,0.089
 오현택,4,4,3,0,3,1,0,0,4,2,1,0,0,0,0,0,0,1.000,1.000,1.333,2.333,22,0.33,3.41,0.089
 송승준,2,1,1,1,1,1,0,0,2,2,0,0,0,0,0,1,0,1.000,1.000,2.000,3.000,5,2.43,1.25,0.086
 샘슨,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.72,1.00,0.085
 구승민,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,,1.000,,,18,0.69,0.86,0.085
 백승건,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,14,0.89,0.62,0.083
 최채흥,2,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,17,0.71,1.06,0.081
 조제영,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.10,0.79,0.081
 장시환,9,9,7,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0.143,0.333,0.143,0.476,40,1.14,0.23,0.076
 권휘,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.28,1.63,0.075
 전유수,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,0.61,0.82,0.074
 김상수,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,1.44,0.71,0.073
 김윤식,6,6,6,1,2,1,0,0,3,1,0,0,0,2,0,0,0,0.333,0.333,0.500,0.833,22,0.88,1.56,0.065
 뷰캐넌,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,16,0.92,1.31,0.065
 함덕주,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,11,2.22,0.40,0.064
 채지선,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.99,0.90,0.064
 이정용,6,6,5,1,2,0,0,1,5,1,1,0,0,1,0,0,0,0.400,0.500,1.000,1.500,24,1.14,1.07,0.058
