Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 서준원,6,6,5,1,3,0,0,1,6,3,1,0,0,0,0,0,0,0.600,0.667,1.200,1.867,35,1.13,3.04,0.343
 안영명,3,3,2,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,17,1.48,1.74,0.224
 문승원,9,9,6,2,3,0,0,0,3,0,2,1,0,2,0,0,0,0.500,0.667,0.500,1.167,41,0.74,3.16,0.219
 우규민,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,1.38,0.98,0.186
 정우람,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,2.34,0.74,0.170
 뷰캐넌,10,10,9,0,3,0,0,0,3,2,1,0,0,2,0,0,0,0.333,0.400,0.333,0.733,41,1.28,0.71,0.150
 쿠에바스,9,9,6,3,3,1,0,0,4,0,3,0,0,2,0,0,0,0.500,0.667,0.667,1.334,37,1.03,1.23,0.138
 이태양,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.87,1.71,0.130
 박주홍,5,5,4,2,2,0,0,0,2,0,1,0,0,0,1,0,0,0.500,0.600,0.500,1.100,18,0.89,1.12,0.128
 라이트,2,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.69,1.44,0.126
 배제성,6,6,4,3,1,0,1,0,3,2,1,0,0,0,0,0,1,0.250,0.333,0.750,1.083,18,0.76,1.32,0.124
 김윤식,6,6,5,1,2,0,0,0,2,1,0,1,0,1,0,0,0,0.400,0.500,0.400,0.900,24,0.98,1.07,0.120
 주권,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.91,1.00,0.114
 김민우,4,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,14,0.90,0.92,0.109
 손동현,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,2.99,1.00,0.108
 김민수,6,6,4,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0.500,0.667,0.500,1.167,20,0.67,0.76,0.078
 구승민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.91,0.46,0.077
 이인복,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,2.26,0.46,0.074
 금민철,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,1.11,1.43,0.073
 장시환,3,3,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0.000,0.667,0.000,0.667,14,1.20,0.80,0.072
 송은범,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,6,1.44,0.26,0.071
 백정현,4,4,3,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,24,1.51,0.40,0.070
 김종수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.81,0.46,0.064
 켈리,6,5,5,2,2,0,0,1,5,1,0,0,0,2,0,1,0,0.400,0.400,1.000,1.400,22,0.93,0.52,0.061
 김주한,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.667,0.000,0.667,10,1.35,0.76,0.060
 윤성환,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.96,0.34,0.048
 고영창,3,3,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,11,0.54,0.38,0.048
 이승진,3,3,3,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,12,0.62,0.02,0.041
 김범수,3,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,11,1.02,-0.20,0.040
 최준용,3,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,11,0.29,0.74,0.038
 김명신,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.27,-0.61,0.036
 전상현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.25,0.12,0.036
 함덕주,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,12,0.96,0.28,0.036
 이형범,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.99,0.67,0.035
 스트레일리,7,7,3,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0.000,0.571,0.000,0.571,26,0.97,0.10,0.032
 김이환,3,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,17,1.43,0.00,0.029
 최지광,2,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,6,0.67,0.28,0.028
 김원중,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.50,0.28,0.027
 오승환,3,3,2,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0.500,0.667,1.000,1.667,12,1.35,0.66,0.025
 이대은,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.96,0.17,0.022
 백승건,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.28,0.56,0.020
 임현준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.56,0.29,0.020
 장원삼,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1,1.63,0.27,0.016
 신민혁,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,0.22,0.00,0.015
 이민우,2,2,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,5,0.65,0.03,0.013
 원태인,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,2,0.43,0.12,0.013
 김민,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,4,0.52,0.17,0.012
 김명찬,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.52,0.28,0.011
 이상규,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.61,0.35,0.010
 송윤준,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,0.46,0.34,0.010
 브룩스,8,8,8,0,2,0,0,0,2,1,0,0,0,5,0,0,0,0.250,0.250,0.250,0.500,32,1.20,-0.28,0.008
 박세웅,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,5,1.12,0.17,0.008
 이교훈,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.11,0.77,0.008
 한승혁,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,8,0.31,0.17,0.007
 임찬규,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,14,0.25,0.32,0.006
 유희관,4,4,4,1,2,1,0,0,3,1,0,0,0,0,1,0,0,0.500,0.500,0.750,1.250,19,0.88,-0.47,0.006
 박정수,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4,0.53,0.28,0.006
 이원준,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.08,0.55,0.005
 심창민,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.13,0.49,0.005
 김현준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.17,0.12,0.005
 최성영,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,1.38,0.09,0.005
 정해영,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2,1.43,0.28,0.005
 정우영,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,6,2.34,-0.17,0.005
 이준영,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,9,0.45,0.10,0.004
 하재훈,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.11,0.46,0.004
 정찬헌,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.41,0.17,0.004
 박민호,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,2.28,-0.88,0.004
 김윤수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.12,0.12,0.003
 이재익,2,2,1,2,1,1,0,0,2,2,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,10,0.09,2.00,0.003
 권휘,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.06,0.46,0.002
 이창재,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.04,0.29,0.001
 최성훈,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.09,-0.23,0.001
 류희운,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.01,0.72,0.000
 양선률,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.01,0.46,0.000
 서덕원,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.01,0.46,0.000
 김유영,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.01,0.29,0.000
 이강준,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,6,0.00,-0.06,0.000
 박진우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.34,0.000
 박상원,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,0.09,0.34,0.000
 문광은,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.02,-0.34,0.000
 윤규진,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.03,-0.29,-0.001
 최동환,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.06,-0.12,-0.002
 이현승,6,6,6,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,18,0.98,0.15,-0.002
 홍정우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.10,-0.46,-0.002
 김택형,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.10,-0.18,-0.003
 노경은,6,6,5,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,29,0.84,0.29,-0.003
 강윤구,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.11,-0.29,-0.003
 김민규,7,6,5,1,2,0,0,0,2,0,1,0,0,1,0,1,0,0.400,0.500,0.400,0.900,26,1.09,-0.37,-0.003
 이현호,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,4,0.37,-0.20,-0.004
 김강률,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,0.08,0.17,-0.004
 장지훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.18,-0.34,-0.004
 강동호,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,9,0.11,-0.67,-0.005
 김진욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.20,-0.45,-0.005
 김현수,5,5,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0.000,0.600,0.000,0.600,20,0.45,0.46,-0.005
 강동연,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.22,-0.18,-0.006
 가뇽,6,6,6,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,23,0.63,-0.02,-0.006
 박치국,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.27,-0.29,-0.007
 김대우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.30,-0.18,-0.008
 김기훈,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.40,-0.29,-0.010
 김건국,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.41,-0.29,-0.011
 여건욱,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.20,-0.73,-0.011
 소이현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.48,-0.34,-0.012
 김진성,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,0.17,-1.59,-0.012
 이정용,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.50,-0.34,-0.013
 임기영,5,5,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,18,0.81,-0.31,-0.014
 박희수,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.34,-0.74,-0.014
 장현식,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,12,0.37,0.15,-0.015
 최채흥,3,3,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,14,0.97,-0.41,-0.016
 하준호,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,0.41,-0.16,-0.019
 유원상,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,9,0.44,-0.93,-0.022
 김건태,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000,16,0.28,-2.22,-0.023
 박준표,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.97,-0.18,-0.024
 이승현,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,8,0.47,-0.40,-0.024
 플렉센,3,2,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.500,0.500,0.500,1.000,12,0.77,-0.36,-0.025
 서진용,4,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,16,1.57,-1.14,-0.025
 루친스키,5,5,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.200,0.000,0.200,28,0.84,-0.73,-0.026
 임정호,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.03,-0.12,-0.026
 노성호,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,10,0.33,-0.23,-0.027
 윌슨,9,9,8,1,1,0,0,0,1,1,0,1,0,3,0,0,0,0.125,0.222,0.125,0.347,32,0.75,-0.54,-0.035
 송명기,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,25,1.05,-0.45,-0.038
 김대우,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.76,-0.40,-0.039
 강재민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.54,-0.29,-0.039
 조영우,7,7,7,2,3,1,0,0,4,0,0,0,0,2,0,0,0,0.429,0.429,0.571,1.000,26,0.41,-0.34,-0.040
 김재윤,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,9,2.66,-0.32,-0.041
 정영일,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,1.85,-0.18,-0.046
 이재학,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,9,0.62,-0.83,-0.047
 박진형,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,10,1.06,-0.67,-0.050
 문경찬,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,10,1.02,-0.63,-0.052
 김진호,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,1.02,-0.53,-0.055
 배재환,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,7,2.38,-0.73,-0.059
 김세현,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,21,0.82,-1.35,-0.061
 김진영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,2.22,-0.45,-0.061
 차우찬,6,4,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0.000,0.500,0.000,0.500,24,1.09,-0.91,-0.068
 김영규,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,0.93,-0.75,-0.070
 서폴드,10,9,9,1,2,0,0,0,2,0,0,0,0,3,0,1,0,0.222,0.222,0.222,0.444,35,0.78,-1.24,-0.077
 임준섭,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,3.46,-0.46,-0.077
 데스파이네,5,5,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,17,1.01,-0.91,-0.081
 양현종,11,11,9,1,2,0,0,0,2,0,2,0,0,3,0,0,0,0.222,0.364,0.222,0.586,57,0.95,-1.35,-0.100
 김정빈,5,5,4,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000,0.200,0.000,0.200,25,1.09,-0.43,-0.110
 라이블리,4,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,18,1.14,-1.10,-0.111
 박종훈,7,7,6,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0.167,0.286,0.167,0.453,32,1.22,-1.49,-0.114
 최원준,7,7,6,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.000,0.143,0.000,0.143,38,0.82,-1.44,-0.120
 홍건희,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,1.12,-1.60,-0.125
 핀토,9,9,8,2,1,0,0,1,4,2,0,1,0,3,0,0,0,0.125,0.222,0.500,0.722,30,0.81,-0.07,-0.128
 이영하,6,6,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.167,0.000,0.167,24,1.00,-1.54,-0.130
