Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이민호,4,4,2,1,1,1,0,0,2,2,2,0,0,0,0,0,0,0.500,0.750,1.000,1.750,20,1.08,2.16,0.275
 정우영,4,4,3,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0.333,0.500,0.333,0.833,12,1.87,0.96,0.247
 박진우,2,2,2,2,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,7,1.59,1.93,0.206
 뷰캐넌,7,7,7,2,3,1,0,1,7,1,0,0,0,1,1,0,0,0.429,0.429,1.000,1.429,20,1.14,0.67,0.199
 문승원,5,5,5,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.200,0.200,0.800,1.000,29,1.03,1.40,0.161
 박세웅,3,3,3,2,2,1,0,1,6,1,0,0,0,0,0,0,0,0.667,0.667,2.000,2.667,9,0.77,1.32,0.151
 김민규,3,3,3,1,1,0,0,1,4,4,0,0,0,2,0,0,0,0.333,0.333,1.333,1.666,18,0.84,1.16,0.146
 윤정현,4,4,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,19,0.80,1.94,0.117
 켈리,9,9,7,0,3,2,0,0,5,1,2,0,0,0,0,0,0,0.429,0.556,0.714,1.270,35,0.71,1.25,0.116
 한현희,5,5,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,16,1.10,0.91,0.108
 이승민,4,4,4,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.250,0.250,1.000,1.250,10,0.61,0.52,0.103
 데스파이네,4,4,3,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0.333,0.500,0.333,0.833,18,1.31,1.20,0.095
 최원태,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,0.67,0.71,0.089
 김동혁,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1,2.32,0.46,0.082
 김대현,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,1.59,-0.06,0.079
 정찬헌,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,8,1.62,0.37,0.073
 김현수,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.34,0.76,0.072
 남재현,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,10,0.53,1.48,0.053
 홍상삼,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,6,1.82,-0.42,0.052
 이영하,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,1.60,0.10,0.051
 박진형,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.61,0.38,0.051
 조성운,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.30,0.67,0.048
 원종현,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.91,0.46,0.046
 오승환,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,2.53,1.28,0.043
 김강률,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,0.68,0.00,0.042
 구승민,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,9,1.72,0.24,0.040
 신민혁,3,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.500,0.667,0.500,1.167,14,0.96,0.32,0.036
 샘슨,6,6,6,0,3,1,0,0,4,1,0,0,0,2,0,0,0,0.500,0.500,0.667,1.167,30,0.64,1.02,0.033
 브리검,6,6,5,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,26,1.08,0.01,0.032
 김윤식,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,15,1.01,0.64,0.031
 박정수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.75,0.49,0.029
 이승헌,3,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.500,0.667,0.500,1.167,13,0.36,0.28,0.027
 양기현,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.19,1.71,0.027
 루친스키,6,6,5,2,2,1,0,0,3,0,1,0,0,0,0,0,0,0.400,0.500,0.600,1.100,26,0.85,1.09,0.023
 임창민,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.41,0.46,0.019
 소형준,6,6,6,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,16,0.78,-0.17,0.017
