Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이영준,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,2.48,1.00,0.303
 샘슨,3,3,2,2,2,0,0,0,2,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,1.29,2.90,0.210
 유희관,5,5,4,1,1,0,0,1,4,2,1,0,0,0,0,0,0,0.250,0.400,1.000,1.400,18,0.98,0.94,0.104
 조병욱,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,1.06,0.91,0.086
 박치국,4,4,4,1,2,1,0,0,3,0,0,0,0,2,0,0,0,0.500,0.500,0.750,1.250,21,0.63,0.14,0.084
 원태인,2,2,2,1,1,0,0,1,4,1,0,0,0,0,1,0,0,0.500,0.500,2.000,2.500,5,1.05,0.08,0.056
 윤명준,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,0.78,0.74,0.053
 정영일,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.32,0.12,0.031
 이현승,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.52,0.90,0.028
 박세웅,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,3,0.50,0.15,0.025
 김대현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.50,0.49,0.024
 이승호,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,5,0.64,0.54,0.019
 백정현,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,0.27,-0.24,0.016
 이대은,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.23,0.55,0.015
