Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 오현택,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,6.65,1.16,0.464
 뷰캐넌,7,7,7,3,4,0,0,1,7,2,0,0,0,0,0,0,0,0.571,0.571,1.000,1.571,13,0.77,2.04,0.272
 고우석,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,9,3.09,0.52,0.245
 박진형,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,1.40,1.71,0.191
 최준용,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.15,0.91,0.162
 서진용,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,2.21,1.34,0.138
 김기훈,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.29,1.38,0.133
 이건욱,2,2,2,2,2,1,0,1,6,1,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,4,0.68,1.55,0.124
 한현희,5,5,4,2,2,0,0,1,5,1,0,1,0,0,0,0,0,0.500,0.600,1.250,1.850,14,0.80,1.16,0.122
 킹엄,3,3,3,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,7,0.86,1.37,0.115
 윤정현,3,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,10,1.40,0.80,0.108
 임기영,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,1.18,0.61,0.096
 양기현,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.48,1.71,0.071
 심창민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.07,0.49,0.068
 김민수,3,3,3,1,1,0,0,1,4,3,0,0,0,1,1,0,0,0.333,0.333,1.333,1.666,8,0.84,0.88,0.062
 최원준,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,1.16,0.21,0.061
