Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 강재민,2,2,2,2,2,1,0,0,3,3,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,9,3.90,2.72,0.535
 최지광,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,5.17,1.44,0.289
 한현희,9,9,9,1,4,0,0,0,4,3,0,0,0,1,0,0,0,0.444,0.444,0.444,0.888,29,0.97,2.30,0.171
 박상원,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,1.70,1.79,0.169
 이재학,10,10,9,3,3,0,0,2,9,2,1,0,0,1,0,0,0,0.333,0.400,1.000,1.400,32,0.88,0.72,0.127
 루친스키,4,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,19,1.02,0.92,0.124
 샘슨,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,9,1.33,0.99,0.105
 정찬헌,3,3,2,2,2,1,0,0,3,0,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500,11,0.45,1.13,0.071
 쿠에바스,3,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,12,0.69,0.72,0.068
 원종현,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.10,1.26,0.066
 데스파이네,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.62,0.56,0.062
 고영창,3,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,15,0.61,0.67,0.054
 김진성,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.25,0.46,0.053
 김태훈,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,8,0.92,0.59,0.046
 김진욱,3,3,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0.500,0.667,1.000,1.667,11,0.82,0.59,0.035
 임찬규,4,4,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.000,0.500,0.000,0.500,25,0.95,0.17,0.031
 양현,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,2.16,0.28,0.024
 김민우,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,0.77,0.29,0.018
 가뇽,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,8,0.92,-0.57,0.017
 조상우,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.18,0.12,0.010
 홍성무,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.06,0.17,0.004
 김민,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.17,-0.12,0.002
 브룩스,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,16,1.04,-0.32,0.002
 고우석,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,0.03,1.00,0.002
 송명기,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.00,0.49,0.000
 최동환,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.00,0.77,0.000
 정용운,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.00,0.12,0.000
 오동욱,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.01,-0.52,0.000
 이찬혁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,-0.24,0.000
 양창섭,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,-0.29,0.000
 조성운,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.02,-0.52,0.000
 강동연,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.01,-0.18,-0.001
 안영명,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.05,-0.29,-0.001
 김선기,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.07,-0.41,-0.002
 양기현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,4,0.09,-0.92,-0.003
 함덕주,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.16,-0.29,-0.004
 양승철,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.18,-0.62,-0.005
 이형범,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.23,-0.62,-0.006
 김상수,2,2,2,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,4,1.03,0.83,-0.007
 유원상,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.55,-0.46,-0.013
 최채흥,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.89,-0.12,-0.014
 황영국,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.66,-0.29,-0.017
 이창재,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.40,0.10,-0.019
 박치국,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,15,0.68,-0.61,-0.019
 김재웅,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.92,-0.29,-0.024
 김대우,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.98,-0.29,-0.025
