Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 유원상,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,1.49,1.71,0.279
 샘슨,3,3,3,2,3,1,0,1,7,2,0,0,0,0,0,0,0,1.000,1.000,2.333,3.333,4,1.11,2.77,0.253
 윌슨,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,6,1.17,1.18,0.110
 장시환,4,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,12,0.88,0.65,0.087
 쿠에바스,6,6,5,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0.400,0.500,0.600,1.100,26,0.94,1.86,0.086
 데스파이네,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.18,0.76,0.080
 브룩스,4,4,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,15,1.14,0.79,0.079
 루친스키,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,13,1.53,0.41,0.079
 브리검,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,5,2.59,1.00,0.077
 권휘,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.38,0.46,0.059
 박진형,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,1.23,0.71,0.055
 정우영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.06,0.29,0.046
 이민우,2,1,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1.000,1.000,2.000,3.000,4,1.14,0.35,0.043
 스트레일리,6,6,6,1,2,0,0,1,5,1,0,0,0,2,0,0,0,0.333,0.333,0.833,1.166,22,1.10,-0.25,0.036
