Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 배재환,4,4,2,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,22,3.34,2.18,0.730
 핀토,10,10,9,0,5,1,0,0,6,6,0,0,0,1,1,0,1,0.556,0.500,0.667,1.167,27,1.44,3.36,0.408
 송은범,4,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,13,1.92,1.30,0.328
 최원준,5,5,5,2,3,1,0,1,7,5,0,0,0,0,0,0,0,0.600,0.600,1.400,2.000,22,1.05,3.36,0.292
 박세웅,10,10,10,1,6,0,0,0,6,6,0,0,0,1,0,0,0,0.600,0.600,0.600,1.200,38,1.00,3.74,0.282
 이용찬,5,5,5,1,2,0,0,1,5,3,0,0,0,1,0,0,0,0.400,0.400,1.000,1.400,17,0.86,2.69,0.273
 이건욱,7,7,5,2,2,0,0,2,8,7,1,0,0,0,0,0,1,0.400,0.429,1.600,2.029,23,0.90,3.22,0.189
 서준원,6,6,5,1,1,0,0,1,4,4,1,0,0,0,0,0,0,0.200,0.333,0.800,1.133,25,1.24,1.79,0.188
 최원태,6,6,6,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0.333,0.333,0.833,1.166,19,1.10,1.06,0.179
 노경은,5,5,4,2,2,0,0,1,5,1,1,0,0,2,0,0,0,0.500,0.600,1.250,1.850,25,0.58,1.27,0.130
 최채흥,4,4,2,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,23,1.00,1.21,0.129
 최성영,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.84,1.16,0.120
 권오준,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,15,1.78,0.81,0.117
 이민우,4,4,4,1,1,0,0,1,4,3,0,0,0,1,0,0,0,0.250,0.250,1.000,1.250,18,0.78,1.95,0.111
 알칸타라,7,7,6,0,3,0,0,0,3,1,1,0,0,1,0,0,0,0.500,0.571,0.500,1.071,28,1.39,0.93,0.108
 정우람,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.06,1.04,0.107
 양현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.45,0.74,0.096
 이영준,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.11,0.95,0.095
 원태인,8,8,8,1,2,1,0,1,6,2,0,0,0,1,0,0,0,0.250,0.250,0.750,1.000,38,0.83,0.20,0.091
 김현준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.32,0.46,0.082
 유희관,12,12,12,3,5,2,0,0,7,0,0,0,0,0,1,0,0,0.417,0.417,0.583,1.000,39,0.77,0.23,0.082
 샘슨,6,6,6,0,2,0,0,0,2,1,0,0,0,3,0,0,0,0.333,0.333,0.333,0.666,22,1.06,0.47,0.075
 루친스키,12,12,11,2,5,0,0,1,8,1,1,0,0,1,0,0,0,0.455,0.500,0.727,1.227,47,1.04,1.23,0.071
 서폴드,5,5,5,1,3,0,0,1,6,3,0,0,0,1,0,0,0,0.600,0.600,1.200,1.800,22,0.40,2.72,0.070
 김기훈,7,7,4,1,1,0,0,0,1,1,3,0,0,2,0,0,0,0.250,0.571,0.250,0.821,33,0.37,1.27,0.056
 함덕주,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,0.78,1.28,0.054
 구승민,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.88,0.77,0.054
 원종현,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,17,1.98,0.12,0.052
 김윤수,4,4,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,10,0.92,0.50,0.051
 박정수,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,2,0.96,0.23,0.047
 임기영,4,4,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.000,0.250,0.000,0.250,13,1.34,-0.28,0.046
 임창민,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,2.18,0.08,0.044
 김영규,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.67,0.82,0.041
