Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이상규,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,2.41,-1.35,0.366
 박치국,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,15,1.96,1.19,0.245
 배재환,3,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,8,1.25,0.77,0.209
 구승민,3,3,3,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,10,1.20,0.76,0.199
 김재윤,5,5,5,0,2,0,1,0,4,1,0,0,0,1,0,0,0,0.400,0.400,0.800,1.200,25,1.21,0.57,0.184
 강동연,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,1.42,2.60,0.182
 이승현,5,5,4,1,1,0,0,1,4,2,1,0,0,1,0,0,0,0.250,0.400,1.000,1.400,21,0.73,0.70,0.163
 유원상,4,4,4,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0.500,0.500,1.250,1.750,15,1.26,1.46,0.157
 김민우,8,8,8,1,3,1,0,1,7,3,0,0,0,2,0,0,0,0.375,0.375,0.875,1.250,33,1.23,1.17,0.144
 백승건,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.98,1.43,0.137
 쿠에바스,8,8,6,1,2,0,0,0,2,1,2,0,0,3,0,0,0,0.333,0.500,0.333,0.833,33,0.67,0.74,0.107
 김태훈,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.48,0.46,0.098
 노성호,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,1.33,1.44,0.093
 백정현,4,4,3,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0.667,0.750,1.000,1.750,13,1.13,0.78,0.087
 장필준,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.96,0.67,0.084
 전상현,2,2,2,0,1,0,1,0,3,1,0,0,0,1,0,0,0,0.500,0.500,1.500,2.000,7,1.71,1.03,0.071
 서폴드,4,4,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,14,0.64,0.61,0.070
 조영우,4,4,3,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.333,0.500,1.333,1.833,16,0.28,0.98,0.070
 장현식,5,5,4,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0.000,0.200,0.000,0.200,23,1.06,-0.21,0.067
 김원중,4,4,3,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0.333,0.500,0.667,1.167,24,0.79,0.51,0.065
 송은범,4,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,8,0.63,-0.22,0.064
 켈리,5,5,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,24,1.07,0.10,0.049
 우규민,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.10,0.17,0.048
 핀토,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.68,0.41,0.047
 라이블리,3,3,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.000,0.333,0.000,0.333,15,1.91,0.24,0.042
 김주한,3,3,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0.500,0.667,0.500,1.167,28,0.66,0.59,0.041
 채지선,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.64,0.50,0.040
 스트레일리,8,8,5,1,2,0,0,0,2,1,2,0,0,1,0,0,1,0.400,0.500,0.400,0.900,37,0.76,0.42,0.039
 김건국,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.79,0.17,0.030
 김이환,4,4,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,16,0.66,0.17,0.027
 신재웅,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.68,0.29,0.024
 김건태,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.42,0.39,0.023
 채드벨,2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.35,0.41,0.022
 박주홍,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.90,0.00,0.022
 김정빈,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.40,0.46,0.015
 양선률,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.20,1.89,0.012
 윤규진,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.15,0.79,0.011
 김민수,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.18,0.29,0.010
 이재학,4,4,4,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0.250,0.250,0.250,0.500,18,0.60,0.31,0.009
 조현우,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.21,0.46,0.008
 플렉센,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,0.50,0.16,0.007
 원태인,5,5,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.200,0.000,0.200,17,1.31,-0.37,0.007
 루친스키,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,12,0.25,0.07,0.006
 이정용,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.09,1.71,0.004
 장지훈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.10,0.29,0.004
 윤명준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.08,0.29,0.003
 박민호,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,0.58,0.19,0.003
 류원석,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.07,0.67,0.003
 송윤준,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.500,0.000,0.500,9,1.30,0.11,0.001
 조병욱,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.02,0.46,0.001
 이재익,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.01,0.67,0.000
 김주온,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.01,0.46,0.000
 이승진,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,13,0.35,0.39,0.000
 박진우,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,-0.62,0.000
 장원삼,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.20,0.000
 서동민,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.41,0.000
