Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 원종현,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,6.65,-0.52,0.829
 강윤구,2,2,2,2,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,6,2.30,2.34,0.348
 박상원,3,3,3,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,11,1.43,0.70,0.301
 박민호,4,4,3,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0.333,0.500,0.667,1.167,11,1.86,0.94,0.196
 임기영,6,6,5,2,3,0,0,1,6,1,1,0,0,0,0,0,0,0.600,0.667,1.200,1.867,19,0.99,1.60,0.182
 전유수,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,12,1.97,0.10,0.174
 양현,3,3,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,21,1.44,1.45,0.167
 김재웅,5,5,4,2,3,2,0,1,8,2,1,0,0,1,0,0,0,0.750,0.800,2.000,2.800,19,0.67,3.20,0.155
 김택형,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.47,1.00,0.136
 유원상,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,4.66,1.00,0.134
 김이환,7,7,6,2,2,0,0,1,5,2,1,0,0,1,0,0,0,0.333,0.429,0.833,1.262,32,1.04,1.27,0.129
 이보근,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,9,0.88,1.35,0.126
 정우영,3,3,2,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,16,2.02,1.12,0.120
 문경찬,3,3,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,1.36,0.82,0.119
 데스파이네,5,5,4,2,2,1,0,0,3,0,1,0,0,2,0,0,0,0.500,0.600,0.750,1.350,20,0.95,1.16,0.118
 라이트,10,9,9,2,6,0,0,1,9,1,0,0,0,0,0,1,0,0.667,0.667,1.000,1.667,31,1.13,1.65,0.116
 박치국,4,4,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.500,0.000,0.500,19,1.05,1.26,0.111
 김재윤,2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.61,0.94,0.103
 함덕주,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.48,0.46,0.098
 임창민,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.94,1.18,0.087
 한현희,7,7,6,1,2,0,0,0,2,2,1,0,0,2,0,0,0,0.333,0.429,0.333,0.762,29,1.38,0.93,0.072
 김세현,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,3.36,0.66,0.070
 김대우,4,4,4,1,2,2,0,0,4,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,20,0.93,0.71,0.069
 정해영,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,15,1.23,-0.06,0.068
 최원태,9,9,7,2,3,1,0,0,4,0,2,0,0,2,0,0,0,0.429,0.556,0.571,1.127,28,1.02,0.47,0.066
