Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 윌슨,3,3,3,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,15,1.20,1.33,0.168
 이재학,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,8,0.61,0.82,0.097
 샘슨,3,3,3,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,8,0.31,0.21,0.026
 임현준,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,9,0.33,0.46,0.015
 이우찬,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,0.09,0.77,0.005
 정우영,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,3,0.08,0.29,0.005
 장현식,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.07,0.38,0.003
 한현희,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.01,0.29,0.001
 양현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.12,0.000
 정영일,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.03,-0.18,-0.001
 원종현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.03,-0.18,-0.001
 여건욱,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,9,0.02,-0.36,-0.001
 이인복,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.07,-0.29,-0.002
 김대현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.19,-0.46,-0.004
 이승민,3,3,3,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,10,1.08,0.08,-0.004
 홍성무,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.11,-0.57,-0.005
 오승환,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.54,-0.52,-0.014
 윤명준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.50,-0.24,-0.015
 소형준,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.31,-0.30,-0.016
 노경은,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.67,-0.29,-0.017
 정찬헌,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,0.32,-0.26,-0.018
 김진호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.97,-0.29,-0.025
 유희관,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.56,-0.40,-0.028
 배재환,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,1.45,-0.29,-0.037
 가뇽,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,0.80,-0.63,-0.044
 구창모,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,0.88,-0.47,-0.044
 플렉센,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,8,1.06,-0.58,-0.050
 최채흥,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,1.57,-0.48,-0.053
 장필준,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,1.09,-0.52,-0.053
 김영규,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,2.12,-0.52,-0.055
 임찬규,4,4,4,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0.250,0.250,0.500,0.750,19,1.14,-0.89,-0.090
