Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이영하,8,8,7,3,4,0,0,2,10,3,1,0,0,1,0,0,0,0.571,0.625,1.429,2.054,33,1.09,3.13,0.823
 장시환,15,15,11,3,6,2,0,1,11,6,1,2,0,1,0,0,1,0.545,0.600,1.000,1.600,49,1.15,4.90,0.573
 홍상삼,4,4,3,2,2,1,0,1,6,1,1,0,0,1,0,0,0,0.667,0.750,2.000,2.750,16,1.07,0.58,0.476
 서폴드,10,10,8,1,1,0,0,1,4,3,2,0,0,0,0,0,0,0.125,0.300,0.500,0.800,40,0.81,1.85,0.322
 김태훈,5,5,3,0,1,1,0,0,2,2,1,1,0,0,0,0,0,0.333,0.600,0.667,1.267,25,1.39,3.37,0.316
 조병욱,4,4,3,2,2,0,0,1,5,2,1,0,0,1,0,0,0,0.667,0.750,1.667,2.417,18,0.77,1.84,0.256
 박세웅,9,9,8,2,2,0,0,2,8,3,1,0,0,3,0,0,0,0.250,0.333,1.000,1.333,39,0.78,1.52,0.252
 김대우,6,6,5,2,2,1,0,1,6,1,1,0,0,0,0,0,0,0.400,0.500,1.200,1.700,23,0.72,1.59,0.233
 임기영,8,8,5,2,2,0,0,1,5,4,1,2,0,0,1,0,0,0.400,0.625,1.000,1.625,24,0.97,2.68,0.226
 원태인,7,7,6,3,3,1,0,0,4,4,1,0,0,1,0,0,0,0.500,0.571,0.667,1.238,30,1.24,2.54,0.223
 김원중,3,3,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,12,2.76,1.11,0.210
 가뇽,9,9,6,4,3,0,0,1,6,1,3,0,0,2,0,0,0,0.500,0.667,1.000,1.667,35,0.81,1.88,0.209
 김민우,9,9,9,2,3,0,0,1,6,2,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,23,0.92,1.43,0.195
 샘슨,11,11,10,4,3,1,0,1,7,4,1,0,0,0,1,0,0,0.300,0.364,0.700,1.064,44,0.98,0.64,0.186
