Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 진해수,6,6,6,0,2,1,0,0,3,2,0,0,0,2,0,0,0,0.333,0.333,0.500,0.833,21,1.61,0.93,0.310
 뷰캐넌,9,9,9,1,5,2,0,1,10,3,0,0,0,0,0,0,0,0.556,0.556,1.111,1.667,30,1.05,1.72,0.244
 박정수,4,4,3,1,3,1,0,1,7,3,1,0,0,0,0,0,0,1.000,1.000,2.333,3.333,17,0.71,3.49,0.239
 박종훈,9,9,6,4,2,1,0,0,3,1,2,1,0,1,0,0,0,0.333,0.556,0.500,1.056,46,1.05,2.00,0.211
 정우람,4,4,3,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0.333,0.500,0.667,1.167,14,1.31,0.87,0.207
 백정현,9,9,9,2,3,0,0,2,9,5,0,0,0,1,0,0,0,0.333,0.333,1.000,1.333,37,0.81,2.68,0.200
 데스파이네,20,20,16,3,6,0,0,1,9,2,2,2,0,2,0,0,0,0.375,0.500,0.563,1.063,88,0.94,2.14,0.198
 장민재,11,11,10,3,7,1,0,0,8,1,0,0,0,0,0,0,1,0.700,0.636,0.800,1.436,39,0.70,2.66,0.197
 임현준,3,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,10,0.56,1.48,0.185
 신민혁,2,2,2,1,2,0,0,1,5,2,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,2,1.18,2.00,0.184
 이용찬,3,3,3,2,3,2,0,1,8,6,0,0,0,0,0,0,0,1.000,1.000,2.667,3.667,6,0.78,4.92,0.183
 노경은,9,9,8,3,3,0,0,1,6,1,1,0,0,1,0,0,0,0.375,0.444,0.750,1.194,37,0.63,1.46,0.165
 이승민,3,3,3,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,9,0.96,2.14,0.160
 소형준,9,9,9,3,4,1,0,1,8,2,0,0,0,1,0,0,0,0.444,0.444,0.889,1.333,25,1.07,1.67,0.157
 서폴드,9,9,6,3,3,1,0,0,4,0,3,0,0,0,1,0,0,0.500,0.667,0.667,1.334,33,1.28,1.60,0.145
 배제성,6,6,5,1,2,1,0,1,6,2,1,0,0,0,0,0,0,0.400,0.500,1.200,1.700,20,1.01,1.24,0.126
 임창민,3,3,2,2,1,1,0,0,2,2,1,0,0,1,0,0,0,0.500,0.667,1.000,1.667,12,1.05,2.19,0.122
 이승호,3,3,3,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,10,0.71,1.35,0.121
 박세웅,8,8,8,0,4,1,0,0,5,1,0,0,0,1,0,0,0,0.500,0.500,0.625,1.125,29,0.74,2.18,0.121
 서진용,4,4,3,2,2,0,0,1,5,1,1,0,0,0,0,0,0,0.667,0.750,1.667,2.417,16,1.05,1.76,0.120
 임정호,6,6,4,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0.250,0.500,0.250,0.750,31,1.01,1.32,0.119
 송명기,12,12,9,1,2,0,0,1,5,3,1,1,0,1,0,0,1,0.222,0.333,0.556,0.889,56,1.01,-0.27,0.118
 김정후,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.62,1.00,0.114
 라이블리,9,9,9,2,2,0,0,2,8,4,0,0,0,2,0,0,0,0.222,0.222,0.889,1.111,36,1.07,0.42,0.111
 김성민,2,2,2,1,2,0,0,1,5,3,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,6,0.64,2.51,0.106
 이상민,2,2,2,2,2,0,0,2,8,5,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.38,4.38,0.098
 홍성무,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,1.17,1.56,0.098
 우규민,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.68,0.67,0.091
 박상원,3,2,2,1,1,1,0,0,2,0,1,0,1,0,0,0,0,0.500,0.667,1.000,1.667,4,1.26,1.08,0.085
 김범수,3,3,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,1.000,1.000,2.000,3.000,16,0.43,1.30,0.085
 정찬헌,6,6,4,1,1,1,0,0,2,0,2,0,0,1,0,0,0,0.250,0.500,0.500,1.000,24,1.24,0.95,0.083
 홍건희,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.000,0.333,0.000,0.333,10,2.18,0.37,0.082
 노성호,5,5,4,2,1,0,0,1,4,4,1,0,0,1,0,0,0,0.250,0.400,1.000,1.400,18,1.05,1.51,0.080
 강재민,2,2,1,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,10,1.91,1.37,0.072
 이정용,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.81,1.54,0.068
 김재웅,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,0.73,1.49,0.067
 윌슨,6,6,6,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,21,1.20,0.27,0.063
 김민,2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.82,1.12,0.062
 김태훈,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.81,0.41,0.055
 허윤동,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.44,0.67,0.055
 조상우,4,4,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,16,2.11,0.50,0.050
 켈리,12,12,10,2,3,0,0,1,6,1,2,0,0,1,0,0,0,0.300,0.417,0.600,1.017,35,0.72,0.77,0.049
 원태인,5,5,2,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0.500,0.800,1.000,1.800,29,0.92,0.98,0.049
 김택형,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.07,0.46,0.049
 이현승,6,6,5,1,1,0,0,1,4,1,1,0,0,2,0,0,0,0.200,0.333,0.800,1.133,28,0.83,0.30,0.046
 최원태,12,12,11,0,5,2,0,0,7,3,1,0,0,1,1,0,0,0.455,0.500,0.636,1.136,47,1.14,2.12,0.041
 임찬규,11,11,9,1,1,0,0,1,4,2,2,0,0,2,0,0,0,0.111,0.273,0.444,0.717,51,1.00,-0.73,0.039
 문승원,9,9,8,0,2,0,0,0,2,2,1,0,0,1,0,0,0,0.250,0.333,0.250,0.583,34,0.72,0.47,0.033
 구승민,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.71,1.00,0.031
 조영건,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.17,0.26,0.026
 김주한,6,6,6,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,34,0.88,-0.45,0.025
 유희관,15,15,15,1,4,3,0,0,7,3,0,0,0,0,0,0,0,0.267,0.267,0.467,0.734,52,1.05,0.65,0.024
 최동환,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,1.25,0.35,0.023
 임준섭,2,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.92,0.67,0.022
 루친스키,6,6,6,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,21,1.59,0.55,0.021
 조영우,5,5,4,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,17,0.35,1.07,0.020
 주권,6,6,6,0,2,0,0,0,2,2,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666,30,2.35,-3.02,0.019
 고효준,3,3,2,2,2,0,0,1,5,3,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,14,0.06,3.26,0.018
 최성훈,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,14,0.71,0.91,0.017
 브리검,8,8,6,1,2,0,0,0,2,1,2,0,0,1,1,0,0,0.333,0.500,0.333,0.833,33,0.50,0.04,0.015
 고우석,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.16,0.93,0.014
 핀토,7,7,7,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.143,0.143,0.571,0.714,26,1.43,-0.37,0.013
 김강률,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.32,0.49,0.013
 박종기,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.31,0.29,0.011
 김이환,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.667,0.000,0.667,8,0.81,0.05,0.011
 유원상,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.16,0.44,0.010
 심창민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.33,0.12,0.009
 조성운,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.15,0.00,0.009
 한현희,8,8,7,2,1,0,0,1,4,1,1,0,0,3,0,0,0,0.143,0.250,0.571,0.821,25,0.96,-0.37,0.009
 배재환,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,1.68,-0.17,0.009
 조현우,4,4,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,10,1.33,0.40,0.008
 박치국,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.06,1.26,0.007
 이상화,2,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,7,0.26,0.12,0.007
 알칸타라,9,9,9,2,3,0,0,1,6,1,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,31,1.01,-0.18,0.007
 장필준,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,0.26,0.17,0.005
 이승헌,3,3,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,14,0.04,0.29,0.005
 김성훈,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.13,0.46,0.005
 김윤식,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,13,0.46,-0.84,0.005
 홍성민,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,12,0.32,-0.07,0.002
 이찬혁,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.08,0.49,0.002
 이강준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.07,0.99,0.002
 정용운,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.05,0.46,0.002
 손정욱,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.06,0.49,0.002
 김유영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.03,0.29,0.002
 배민서,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.01,1.88,0.001
 김기탁,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.02,1.56,0.001
 김동혁,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.02,0.46,0.001
 박승주,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.02,1.00,0.001
 문동욱,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.03,0.75,0.000
