Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김대우,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,3.52,-0.67,0.363
 양현,3,3,3,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,1.99,1.74,0.250
 이민우,6,6,4,0,3,0,0,0,3,2,1,0,0,0,0,0,1,0.750,0.667,0.750,1.417,16,1.40,2.07,0.222
 이건욱,5,5,5,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0.200,0.200,0.400,0.600,23,0.93,1.41,0.212
 가뇽,6,6,5,1,2,1,0,0,3,1,1,0,0,2,0,0,0,0.400,0.500,0.600,1.100,23,0.48,0.91,0.157
 한현희,8,8,7,1,3,1,0,1,7,2,1,0,0,0,0,0,0,0.429,0.500,1.000,1.500,40,1.14,0.71,0.146
 송승준,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,3.17,1.00,0.110
 윤정현,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,1.25,1.73,0.108
 장현식,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.52,0.79,0.105
 스트레일리,9,9,9,1,4,2,0,0,6,1,0,0,0,2,0,0,0,0.444,0.444,0.667,1.111,35,0.87,0.50,0.098
 킹엄,3,3,3,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0.333,0.333,0.333,0.666,9,1.48,0.37,0.090
 김민수,3,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,12,0.87,1.04,0.090
 원태인,4,4,4,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,9,0.90,1.38,0.084
 라이트,3,3,3,0,2,1,0,0,3,3,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,9,0.91,2.60,0.075
 김민규,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,0.97,0.87,0.067
 강윤구,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,0.74,1.00,0.064
 신민혁,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,1.13,0.71,0.062
 진해수,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,14,0.76,-0.29,0.043
 김주한,4,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,0.59,0.01,0.025
 박진형,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.80,0.12,0.025
 김태훈,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,9,1.27,-0.03,0.024
 김대우,4,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,15,0.93,0.36,0.022
 임창민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.49,0.67,0.022
 김윤식,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,0.25,0.79,0.019
