Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김진영,3,3,3,1,2,0,0,1,5,2,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,11,2.09,1.66,0.415
 여건욱,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,2.06,2.15,0.407
 김범수,3,3,3,2,2,0,0,2,8,4,0,0,0,0,0,0,0,0.667,0.667,2.667,3.334,12,0.82,3.42,0.331
 가뇽,11,11,8,2,3,0,0,1,6,4,2,1,0,3,0,0,0,0.375,0.545,0.750,1.295,50,1.06,2.89,0.326
 김윤수,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,14,2.41,1.69,0.298
 이재학,5,5,4,1,3,0,0,1,6,3,1,0,0,0,0,0,0,0.750,0.800,1.500,2.300,18,1.07,3.01,0.205
 박민호,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,1.04,1.00,0.166
 류원석,2,2,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,12,1.25,1.84,0.143
 김재웅,3,3,3,1,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,15,1.23,1.68,0.143
 윌슨,9,8,7,3,4,0,0,1,7,2,1,0,0,1,0,1,0,0.571,0.625,1.000,1.625,27,0.82,1.69,0.138
 홍성민,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.69,0.57,0.121
 허윤동,2,2,2,0,2,2,0,0,4,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,0.99,1.21,0.112
 정수민,2,2,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,13,1.64,1.04,0.111
 김정빈,3,3,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,16,1.58,1.28,0.099
 전상현,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,2.64,0.55,0.096
 김태훈,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,12,1.81,0.94,0.094
 조상우,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.86,0.67,0.094
 김재윤,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,0.69,0.94,0.090
 양현종,6,6,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.000,0.333,0.000,0.333,28,1.50,0.45,0.089
 김종수,3,2,2,1,1,1,0,0,2,2,0,0,0,0,0,1,0,0.500,0.500,1.000,1.500,10,0.85,1.32,0.083
 채지선,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,2.32,0.46,0.082
 임기영,9,9,8,2,3,0,0,0,3,0,1,0,0,0,0,0,0,0.375,0.444,0.375,0.819,34,0.97,0.45,0.078
 우규민,5,5,5,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,18,1.17,0.74,0.075
 최채흥,7,7,7,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0.143,0.143,0.286,0.429,27,0.98,-2.68,0.071
 김이환,6,6,5,1,3,0,0,0,3,1,1,0,0,1,0,0,0,0.600,0.667,0.600,1.267,19,0.88,1.26,0.067
 차우찬,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,18,0.75,0.74,0.062
 박치국,8,8,7,1,2,0,0,0,2,0,1,0,0,4,0,0,0,0.286,0.375,0.286,0.661,34,1.09,-1.14,0.057
 이현승,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.41,0.29,0.054
 신재영,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.75,0.77,0.053
 박종훈,6,6,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.200,0.333,0.200,0.533,24,1.01,0.00,0.053
 김민수,5,5,5,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,18,1.12,0.36,0.052
 소이현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.42,0.49,0.052
 최원태,5,5,5,0,2,1,0,0,3,2,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,24,1.09,0.28,0.050
 전유수,5,4,4,0,2,1,0,0,3,0,0,0,0,2,0,1,0,0.500,0.500,0.750,1.250,14,1.74,-0.03,0.041
 서진용,4,4,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0.000,0.250,0.000,0.250,23,1.46,0.30,0.038
 루친스키,7,7,7,1,3,0,0,0,3,0,0,0,0,1,0,0,0,0.429,0.429,0.429,0.858,22,0.68,0.42,0.036
 이민우,4,4,3,2,2,1,0,0,3,0,1,0,0,0,0,0,0,0.667,0.750,1.000,1.750,17,0.64,0.86,0.034
