Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 송승준,3,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,8,1.53,-0.09,0.391
 브룩스,6,6,5,1,5,1,0,0,6,1,1,0,0,0,0,0,0,1.000,1.000,1.200,2.200,26,0.89,3.60,0.296
 송명기,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,12,2.43,0.62,0.254
 루친스키,7,7,6,1,3,1,0,0,4,2,1,0,0,2,0,0,0,0.500,0.571,0.667,1.238,23,0.97,2.15,0.205
 데스파이네,12,12,11,3,4,2,0,0,6,3,1,0,0,0,0,0,0,0.364,0.417,0.545,0.962,45,1.09,1.61,0.199
 장민재,5,5,5,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,14,0.66,0.75,0.179
 이재학,6,6,5,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0.400,0.500,0.400,0.900,20,1.28,1.49,0.171
 핀토,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,7,1.69,1.59,0.165
 정우영,4,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.333,0.333,0.333,0.666,12,1.75,0.40,0.149
 박상원,3,3,3,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,13,0.83,2.09,0.146
 채드벨,3,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,1.31,1.35,0.144
 서진용,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,9,1.61,0.95,0.131
 김원중,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,2,5.88,0.08,0.123
 우규민,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,1.60,0.66,0.121
 김진호,2,2,2,2,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,7,0.64,1.12,0.115
 박종훈,4,4,4,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,13,0.65,0.71,0.114
 이승호,12,11,8,1,3,1,0,0,4,2,1,1,0,1,0,1,1,0.375,0.455,0.500,0.955,39,1.01,0.77,0.109
 장현식,3,3,3,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,10,0.67,2.54,0.101
 성재헌,2,2,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,6,0.88,1.47,0.099
 김진욱,4,4,3,2,1,0,0,1,4,2,0,1,0,0,0,0,0,0.333,0.500,1.333,1.833,15,0.84,0.77,0.091
 장원삼,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.76,0.72,0.078
 이태양,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,0.41,1.60,0.077
 라이트,8,8,7,3,4,0,0,0,4,0,1,0,0,0,0,0,0,0.571,0.625,0.571,1.196,29,0.76,0.69,0.074
 차우찬,6,6,5,2,3,1,0,0,4,0,1,0,0,0,0,0,0,0.600,0.667,0.800,1.467,26,1.00,0.92,0.074
 최성영,5,5,4,3,2,1,0,0,3,0,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,17,0.69,0.89,0.070
 김태훈,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,6,0.87,0.17,0.058
 이대은,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.80,0.29,0.055
 샘슨,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,0.63,-0.33,0.055
 문성현,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,0.69,0.81,0.052
 윤대경,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,7,0.78,0.34,0.045
 박희수,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,6,0.57,0.71,0.043
