Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 장현식,2,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,6,2.52,1.79,0.579
 이상규,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,5.04,0.84,0.421
 서진용,3,3,3,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,8,2.00,1.76,0.393
 강동연,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,6.14,1.63,0.378
 임창민,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,4.30,-1.07,0.292
 조영우,5,5,5,2,3,0,0,2,9,4,0,0,0,0,0,0,0,0.600,0.600,1.800,2.400,28,0.74,3.99,0.269
 장시환,4,4,4,1,2,1,0,1,6,4,0,0,0,1,0,0,0,0.500,0.500,1.500,2.000,12,1.99,2.35,0.259
 노경은,10,10,9,3,3,1,0,1,7,3,1,0,0,2,0,0,0,0.333,0.400,0.778,1.178,43,0.73,1.08,0.208
 장원삼,2,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,3,1.08,1.77,0.178
 유원상,7,7,6,1,2,1,0,0,3,3,1,0,0,3,0,0,0,0.333,0.429,0.500,0.929,32,1.23,1.29,0.127
 데스파이네,9,9,7,2,3,0,0,0,3,1,2,0,0,2,0,0,0,0.429,0.556,0.429,0.985,39,1.00,0.69,0.109
 김정빈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,2.48,0.46,0.098
 홍성민,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,1.15,0.55,0.074
 뷰캐넌,10,10,9,0,3,0,0,0,3,1,1,0,0,1,2,0,0,0.333,0.400,0.333,0.733,40,1.05,0.34,0.072
 이승진,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,9,1.20,0.71,0.072
 이건욱,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,10,1.60,0.82,0.065
 송승준,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.57,0.46,0.063
 구승민,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,13,1.09,0.17,0.060
 고우석,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.91,0.46,0.046
 이보근,5,5,4,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,17,0.77,0.19,0.042
 차우찬,5,5,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,17,0.68,0.33,0.039
 스트레일리,3,3,3,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,14,0.73,0.43,0.039
 이영하,4,4,4,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,15,1.93,0.13,0.038
 브룩스,9,9,9,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0.444,0.444,0.444,0.888,36,0.66,0.66,0.035
 정해영,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.87,-0.06,0.034
 박상원,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.87,0.29,0.033
 김민수,5,5,5,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,21,0.62,0.38,0.031
 김태훈,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.64,0.46,0.029
 김진욱,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.74,0.46,0.029
 최채흥,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,22,0.60,0.21,0.028
 김윤수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.72,0.29,0.027
 김세현,2,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,9,0.28,1.57,0.026
 전유수,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,16,0.76,-0.18,0.026
 유희관,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,0.97,0.31,0.026
 이형범,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.66,0.46,0.024
 소이현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.64,0.67,0.023
 홍상삼,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,2.61,-0.68,0.020
 송은범,4,4,4,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0.750,0.750,1.000,1.750,18,0.34,0.48,0.016
 서균,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.90,0.37,0.014
 가뇽,3,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,11,1.91,-0.03,0.011
 박진형,3,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.500,0.667,0.500,1.167,16,0.77,0.06,0.010
 박희수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,0.22,0.46,0.008
 손정욱,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.16,0.29,0.008
 김유영,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,0.09,0.17,0.008
 최성영,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.73,0.11,0.006
 이원준,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,0.14,1.00,0.006
 전상현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.23,0.28,0.005
 김찬호,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.13,0.46,0.005
 김진호,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.47,0.01,0.004
 권오준,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,0.02,1.71,0.002
