Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 우규민,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,1.61,1.88,0.398
 킹험,6,6,6,0,3,1,0,0,4,2,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,21,1.40,3.26,0.365
 이승현,3,3,2,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,15,2.05,1.44,0.352
 김대우,3,3,2,1,1,0,0,1,4,3,0,0,0,0,0,0,1,0.500,0.333,2.000,2.333,14,2.35,1.26,0.325
 정찬헌,4,4,3,1,3,1,0,1,7,2,1,0,0,0,0,0,0,1.000,1.000,2.333,3.333,17,1.28,2.96,0.304
 정수민,4,4,3,2,2,1,0,1,6,2,1,0,0,0,0,0,0,0.667,0.750,2.000,2.750,17,0.79,2.32,0.242
 김영규,6,6,6,2,3,0,0,2,9,4,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,16,0.91,2.85,0.242
 카펜터,9,9,9,2,3,0,0,2,9,5,0,0,0,4,0,0,0,0.333,0.333,1.000,1.333,45,0.88,3.36,0.240
 서진용,3,3,3,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,10,1.49,1.04,0.227
 홍건희,4,4,4,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0.750,0.750,1.000,1.750,16,1.17,1.61,0.223
 김대유,5,5,5,0,2,0,0,0,2,2,0,0,0,3,0,0,0,0.400,0.400,0.400,0.800,21,1.47,1.01,0.213
 박세웅,15,15,13,2,6,1,0,1,10,2,2,0,0,2,0,0,0,0.462,0.533,0.769,1.302,66,0.72,2.73,0.205
 브룩스,5,5,4,0,2,1,0,0,3,1,1,0,0,2,0,0,0,0.500,0.600,0.750,1.350,22,1.03,1.75,0.192
 김현수,3,3,3,1,2,2,0,0,4,5,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,13,1.34,2.96,0.186
 김건우,3,3,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,16,1.69,2.09,0.184
 가빌리오,5,5,4,1,2,1,0,0,3,1,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,16,1.25,1.63,0.176
 로켓,6,6,5,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0.600,0.667,0.600,1.267,28,0.85,1.68,0.171
 정우영,4,4,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,11,2.28,1.13,0.169
 이민호,4,4,3,1,1,0,0,1,4,2,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,23,1.08,1.78,0.166
 김원중,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,4.61,0.71,0.164
 최원태,12,12,10,3,4,1,0,0,5,0,2,0,0,1,0,0,0,0.400,0.500,0.500,1.000,41,0.60,1.63,0.161
 미란다,14,14,13,0,4,0,0,0,4,4,1,0,0,6,0,0,0,0.308,0.357,0.308,0.665,73,1.11,1.38,0.157
 장시환,6,6,4,1,3,0,0,0,3,0,2,0,0,1,0,0,0,0.750,0.833,0.750,1.583,27,1.03,1.81,0.153
 수아레즈,7,7,5,1,2,1,0,0,3,2,2,0,0,2,0,0,0,0.400,0.571,0.600,1.171,38,1.25,1.67,0.151
 요키시,9,9,8,1,4,1,0,0,5,1,0,0,0,1,1,0,1,0.500,0.444,0.625,1.069,30,1.12,1.54,0.146
 이재학,8,8,7,2,3,0,0,1,6,2,1,0,0,0,0,0,0,0.429,0.500,0.857,1.357,26,1.22,0.76,0.144
 김민우,7,7,6,1,3,1,0,0,4,0,1,0,0,1,0,0,0,0.500,0.571,0.667,1.238,31,0.72,1.96,0.142
 홍성민,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.35,0.37,0.134
 김범수,3,3,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,1.21,1.09,0.129
 최지광,3,3,1,0,1,0,0,0,1,3,1,0,0,0,0,0,1,1.000,0.667,1.000,1.667,10,2.37,0.99,0.123
