Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정해영,3,3,2,1,1,0,0,1,4,1,0,1,0,0,0,0,0,0.500,0.667,2.000,2.667,6,2.78,1.01,0.415
 강동연,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,1.24,2.51,0.294
 김윤식,2,2,2,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,6,2.32,1.34,0.285
 강윤구,2,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,10,1.34,1.46,0.212
 강태경,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,1.32,1.71,0.195
 김성민,4,3,1,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0.000,0.667,0.000,0.667,14,2.43,0.48,0.106
 이준영,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,0.79,0.69,0.099
 김현준,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,10,0.75,1.00,0.098
 김강률,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.26,0.15,0.077
 임정호,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,9,1.30,0.27,0.072
 최원태,8,8,8,2,4,0,0,1,7,2,0,0,0,0,0,0,0,0.500,0.500,0.875,1.375,19,0.71,1.78,0.069
 정우영,2,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,10,0.93,0.21,0.068
 김범수,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,14,0.97,0.53,0.065
 이승호,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,10,1.33,0.83,0.055
 미란다,5,5,4,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.250,0.400,1.000,1.400,18,0.88,1.28,0.053
 요키시,5,5,4,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0.500,0.600,0.500,1.100,20,0.77,0.78,0.052
 최지광,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.39,0.71,0.049
 김명신,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.19,-0.13,0.048
 임기영,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,0.97,0.40,0.041
 멩덴,3,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.000,1.000,1.000,2.000,8,0.95,0.29,0.040
 몽고메리,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,0.82,0.53,0.039
 안우진,4,4,3,1,1,0,0,1,4,1,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,19,0.78,0.49,0.037
 송은범,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,11,0.43,0.37,0.033
 뷰캐넌,5,5,4,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,20,0.45,2.01,0.030
 최준용,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,15,1.25,0.99,0.026
 손정욱,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,5,1.12,0.10,0.025
 최성훈,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.46,1.00,0.023
 류진욱,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.38,0.25,0.021
 브리검,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.51,0.18,0.019
 이우찬,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,0.90,0.17,0.019
 유희관,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,11,1.11,0.22,0.017
 남재현,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,11,0.84,0.15,0.015
