Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 프랑코,3,3,3,1,3,1,0,1,7,3,0,0,0,0,0,0,0,1.000,1.000,2.333,3.333,13,1.34,3.10,0.320
 이강준,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,2.03,1.38,0.203
 장지훈,4,4,4,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,10,1.06,0.94,0.190
 다카하시,3,3,3,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,8,1.07,1.17,0.131
 파슨스,6,6,4,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0.250,0.500,0.250,0.750,22,1.52,0.18,0.093
 강재민,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,8,1.96,0.71,0.084
 구승민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.31,0.72,0.082
 오원석,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.70,-0.36,0.079
 이우찬,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.98,0.82,0.076
 정해영,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.18,0.60,0.067
 박주홍,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.91,0.72,0.058
 오현택,3,3,3,1,2,1,0,1,6,1,0,0,0,0,0,0,0,0.667,0.667,2.000,2.667,11,0.17,1.27,0.043
 고영창,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.87,0.57,0.034
 윤명준,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.54,0.92,0.033
 스트레일리,6,6,5,2,2,1,0,0,3,2,0,0,0,2,0,0,1,0.400,0.333,0.600,0.933,28,0.69,1.38,0.032
 김명신,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.33,0.01,0.021
 유희관,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.71,0.46,0.021
 이건욱,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,7,0.83,-0.05,0.019
 한현희,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,1.08,0.46,0.015
 데스파이네,6,6,6,1,2,0,0,0,2,1,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,24,0.97,0.12,0.014
 김태훈,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,10,1.50,-0.43,0.011
 장원준,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.16,0.75,0.009
 한승혁,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,0.69,-0.12,0.008
 신재영,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,0.11,0.49,0.007
 이민호,5,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.000,0.400,0.000,0.400,11,0.58,0.37,0.006
 오주원,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.07,1.00,0.004
 박주성,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.07,0.40,0.003
 요키시,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,9,0.46,-0.16,0.003
 박소준,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,0.27,0.03,0.002
 하재훈,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.02,0.46,0.001
 김재윤,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0.000,,,2,0.27,-0.24,0.000
 강지광,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.01,0.82,0.000
 배성근,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.00,-0.46,0.000
 김유영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,3,0.02,-1.13,0.000
 이승관,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,-0.26,0.000
 진해수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.01,-0.11,0.000
