Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김대우,2,2,1,1,1,0,0,1,4,3,0,0,0,0,0,0,1,1.000,0.500,4.000,4.500,6,3.06,0.10,0.269
 장지훈,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,3,1.29,0.78,0.228
 김진성,2,2,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,12,1.54,1.24,0.204
 뷰캐넌,4,4,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,8,0.97,1.46,0.177
 김태훈,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,2.18,0.88,0.169
 김선기,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,2.73,1.00,0.162
 현도훈,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,10,1.56,0.68,0.128
 스미스,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.64,1.29,0.114
 김기탁,2,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.45,1.11,0.106
 전유수,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,9,3.02,1.00,0.099
 배제성,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,1.29,0.65,0.088
 최준용,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,9,1.48,0.15,0.083
 김민수,2,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,12,2.36,0.85,0.070
 브리검,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,10,1.81,0.23,0.068
 김상수,3,3,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,18,1.44,1.03,0.066
 고우석,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,2.34,0.37,0.065
 송명기,5,5,4,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,17,0.93,0.96,0.065
 이재학,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,,1.000,,,7,0.94,0.86,0.063
 송윤준,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.57,0.40,0.063
 데스파이네,9,8,5,2,1,0,0,0,1,0,3,0,0,0,0,1,0,0.200,0.500,0.200,0.700,43,1.36,0.19,0.060
 신정락,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,4.46,0.36,0.057
 원종현,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,5,0.45,1.31,0.057
 고영표,3,3,2,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,14,0.92,0.56,0.055
 장원준,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,1.26,1.04,0.049
 이정용,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,11,0.56,1.01,0.045
 나균안,3,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,15,0.46,0.35,0.041
 르위키,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.21,0.46,0.039
 심재민,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,14,0.58,0.31,0.038
 배동현,3,3,3,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,13,0.28,0.13,0.036
 파슨스,3,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,13,1.48,0.40,0.036
 폰트,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,22,0.92,0.16,0.032
 남지민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.77,0.40,0.031
 장민재,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,1.13,0.15,0.027
 최민준,3,3,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,21,0.94,0.61,0.027
 함덕주,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.65,0.29,0.026
 이태양,6,6,4,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0.250,0.500,0.500,1.000,27,0.70,1.04,0.025
 박정수,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,12,0.68,0.29,0.025
 황영국,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.43,1.00,0.020
 김도규,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,9,1.97,-0.01,0.014
