Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 박세웅,9,9,9,3,5,1,0,0,6,2,0,0,0,1,0,0,0,0.556,0.556,0.667,1.223,39,1.10,3.00,0.357
 오승환,4,4,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,16,2.24,0.72,0.165
 루친스키,9,9,9,2,3,1,0,0,4,5,0,0,0,0,1,0,0,0.333,0.333,0.444,0.777,26,1.36,2.37,0.130
 김재웅,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.18,0.83,0.095
 김진욱,2,1,1,0,1,1,0,0,2,1,0,0,0,0,0,1,0,1.000,1.000,2.000,3.000,6,1.78,0.95,0.080
 이인복,3,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,6,1.49,0.66,0.077
 고우석,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,2.26,0.40,0.074
 이정용,2,2,2,1,2,0,1,0,4,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,10,0.72,1.83,0.065
 이재학,3,3,3,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,12,0.90,0.87,0.058
 조영우,3,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.83,0.85,0.057
 황영국,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.32,0.40,0.051
 이태양,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,1.76,0.46,0.050
 이의리,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,0.91,0.30,0.043
 원종현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.41,0.12,0.043
 노경은,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.500,0.000,0.500,7,0.77,0.05,0.042
 파슨스,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,6,1.34,0.46,0.039
 요키시,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,1.11,0.50,0.036
 이민호,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,6,0.87,0.40,0.036
 스트레일리,6,6,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0.250,0.500,0.250,0.750,34,0.69,0.25,0.033
 정수민,3,3,3,1,1,0,1,0,3,1,0,0,0,2,0,0,0,0.333,0.333,1.000,1.333,18,0.69,0.48,0.031
