Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김상수,2,2,2,0,2,1,0,0,3,2,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,6,5.69,2.45,0.455
 카펜터,12,12,12,0,5,2,0,0,7,6,0,0,0,1,1,0,0,0.417,0.417,0.583,1.000,48,1.46,3.31,0.402
 정우람,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,11,2.35,1.22,0.365
 김진성,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,3.12,2.12,0.360
 양현,3,3,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,9,1.88,0.75,0.313
 이정용,2,2,1,0,1,1,0,0,2,2,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,1.92,2.00,0.307
 곽빈,9,9,6,2,3,1,0,0,4,4,3,0,0,0,1,0,0,0.500,0.667,0.667,1.334,36,1.38,2.87,0.278
 루친스키,6,6,4,2,1,0,0,1,4,2,2,0,0,0,0,0,0,0.250,0.500,1.000,1.500,26,0.67,1.48,0.219
 송명기,11,11,10,3,5,2,0,0,7,5,1,0,0,1,0,0,0,0.500,0.545,0.700,1.245,36,1.06,3.28,0.214
 나균안,6,6,5,2,4,1,0,0,5,3,1,0,0,0,0,0,0,0.800,0.833,1.000,1.833,25,0.73,3.05,0.197
 로켓,3,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,1.31,1.98,0.194
 윤대경,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,2.23,0.65,0.156
 김민규,4,4,4,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,19,0.75,1.98,0.152
 신민혁,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,9,0.78,1.64,0.145
 박진형,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,2.02,1.18,0.144
 최원준,6,6,6,1,2,1,0,0,3,2,0,0,0,1,0,0,0,0.333,0.333,0.500,0.833,24,1.40,1.18,0.137
 오승환,5,5,5,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,15,2.25,1.82,0.135
 이태양,7,7,7,0,4,1,0,0,5,1,0,0,0,1,0,0,0,0.571,0.571,0.714,1.285,18,0.60,0.76,0.128
 김강률,4,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.500,0.000,0.500,19,0.82,0.06,0.102
 장지훈,4,4,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.92,0.79,0.095
